x	Y_20180130_15100b_22_12g
0	35787.59
0.1334	36891.707
0.2668	34772.996
0.4003	35925.07
0.5337	37108.875
0.6671	36500.16
0.8005	37260.441
0.934	37024.895
1.0674	37100.277
1.2008	36960.348
1.3342	36308.859
1.4676	37538.188
1.6011	37102.336
1.7345	37806.805
1.8679	38612.039
2.0013	36607.434
2.1348	35153.598
2.2682	36049.426
2.4016	34892.059
2.535	35194.012
2.6684	36453.582
2.8019	37310.434
2.9353	38784.086
3.0687	37046.504
3.2021	39273.547
3.3356	42614.652
3.469	57856.504
3.6024	88587.844
3.7358	126578.773
3.8692	119688.469
4.0027	81401.258
4.1361	55792.762
4.2695	46563.695
4.4029	NaN
4.5363	NaN
4.6698	NaN
4.8032	NaN
4.9366	NaN
5.07	NaN
5.2035	NaN
5.3369	NaN
