x	Y_20181208_15100_18_4g_left	Y_20181208_15100_2_4g	Y_20181208_15100_21_2g_left	Y_20181208_15100_5_14g	Y_20181208_15100_7_2g	Y_20181208_15100_14_8g	Y_20181208_15100_15_7g_right	Y_20181208_15100_24_2g
0	12045.4834	10642.582	9838.3525	10832.3203	15733.3721	9914.1504	12953.9023	10640.1035
0.1334	12556.9355	12557.5215	10043.5137	13194.2646	21156.2539	10642.623	17913.8633	11753.2432
0.2668	12555.54	14383.1729	12906.7871	15771.1787	22827.123	11851.2705	22656.623	14174.3672
0.4003	13173.7119	19765.2422	17784.082	16529.8496	19018.5938	12788.2031	21098.1328	15463.3301
0.5337	16001.3896	23956.5566	24951.4941	15981.6562	17270.2148	12732.8955	16428.2148	14875.6123
0.6671	21528.5488	22639.3125	29371.6602	15721.5527	15859.6504	12962.9961	13830.8037	13433.0527
0.8005	23869.668	18779.9414	27731.7441	14932.0703	14934.4756	13983.2881	13447.623	12329.0957
0.934	21685.5977	18468.4141	24136.7637	15082.2686	15109.6445	16263.6494	13416.1055	12009.7715
1.0674	19181.2578	17848.2246	19907.7598	14451.8154	15647.2646	18178.4844	12644.5713	12087.1172
1.2008	18026.8223	16523.5918	17658.082	14043.6084	16460.9961	16495.4492	12571.6084	12797.3057
1.3342	17312.2812	15636.1777	18461.0195	14264.7402	15858.6201	14670.7344	12859.9893	13031.9941
1.4676	17712.0898	15863.3379	19952.832	14144.3174	15591.9414	13407.9336	14211.7285	12997.7363
1.6011	16287.3037	15617.0664	19007.9883	14878.2461	15246.5312	12849.8818	13793.1123	13108.5693
1.7345	15766.1572	15369.9199	19071.3672	16484.377	14098.9043	11816.3203	14435.2285	14982.6348
1.8679	14084.2969	15099.8027	18128.7344	16806.6309	13632.7041	10991.5586	14663.7314	17146.5254
2.0013	14498.9209	15641.5166	17282.0234	14101.5713	14213.8057	11288.5332	14223.4746	16353.4834
2.1347	13855.0918	14675.9375	17418.3398	12862.6797	16107.416	11126.5254	13862.5986	14935.8301
2.2682	13297.8301	14389.5273	16241.9619	13737.8828	17202.2129	10736.0986	14912.8184	15054.4082
2.4016	14006.8447	14360.2207	14988.3896	13887.9102	19026.957	10678.1992	15479.0811	14541.0713
2.535	14693.4053	14141.5527	13501.5068	13673.8613	19170.8926	10721.6953	15394.9932	14319.6309
2.6684	15961.5312	15412.8438	13795.9688	15494.2881	18472.1621	10640.042	15050.9033	12961.4717
2.8019	15170.9199	14973.0225	15083.5098	15747.5752	17003.8477	11346.4854	14478.2734	12687.207
2.9353	15598.0605	15699.248	15945.2031	14693.3555	15569.0303	12382.8438	14796.085	13247.3887
3.0687	14763.334	14936.0967	16838.6719	14009.75	15583.626	12773.5693	14723.0449	12296.0996
3.2021	14702.4355	15211.0322	16619.4355	13995.4014	15120.0566	14956.2256	13698.0195	11881.3477
3.3355	15922.4541	13740.3281	17583.7363	13465.5781	16248.4062	14260.0684	12070.7168	11882.6689
3.469	16550.4141	14209.4707	18224.998	13369.9814	17779.084	13374.8428	11116.5186	11723.9658
3.6024	16777.6602	13567.9443	16268.7646	12986.8135	20232.3457	13008.0635	9886.874	11354.3545
3.7358	17233.9297	13551.332	14126.2764	13082.1533	NaN	11933.2109	NaN	10657.6133
3.8692	16318.8018	13399.917	13414.6426	12004.4932	NaN	11459.1963	NaN	NaN
4.0027	16774.6328	12705.5615	12755.8848	12111.1758	NaN	11072.8457	NaN	NaN
4.1361	15398.9727	13113.0029	12399.8359	NaN	NaN	11291.4688	NaN	NaN
4.2695	NaN	13026.627	13439.3906	NaN	NaN	11484.8057	NaN	NaN
4.4029	NaN	12691.7998	13347.3789	NaN	NaN	11014.126	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
