x	Y_20180130_15100_6_3g
0	10043.39
0.1334	10094.854
0.2668	12346.543
0.4003	16432.348
0.5337	17339.441
0.6671	16058.241
0.8005	14329.455
0.934	13776.256
1.0674	13767.379
1.2008	14469.376
1.3342	14178.577
1.4676	14015.02
1.6011	14204.433
1.7345	13484.397
1.8679	13610.326
2.0013	13729.282
2.1348	13507.254
2.2682	14098.936
2.4016	13649.288
2.535	14176.108
2.6684	13894.034
2.8019	14062.868
2.9353	14055.722
3.0687	14695.398
3.2021	14690.918
3.3356	15201.508
3.469	15954.368
3.6024	17474.92
3.7358	16651.207
3.8692	15185.179
4.0027	13137.334
4.1361	11836.67
4.2695	11715.929
4.4029	11979.855
4.5363	11604.863
4.6698	11452.054
4.8032	NaN
4.9366	NaN
