x	Y_20181208_15693_1_12g	Y_20181208_15693_11_15g	Y_20181208_15693_11_1g	Y_20181208_15693_12_4g	Y_20181208_15693_13_14g	Y_20181208_15693_14_8g	Y_20181208_15693_16_1g	Y_20181208_15693_17_3g	Y_20181208_15693_17_6g	Y_20181208_15693_17_7g	Y_20181208_15693_18_12g	Y_20181208_15693_2_9g	Y_20181208_15693_4_5g	Y_20181208_15693_4_6g	Y_20181208_15693_6_4g
0	29639.4062	29756.8574	29682.8691	29525.6309	29882.9316	31530.1133	31896.8984	29122.6133	30089.75	32187.3418	31800.9336	29611.5039	31167.3418	26296.7988	31802.625
0.1334	31606	31270.5879	30023.9043	30421.8203	31432.5703	30316.9004	31175.7715	29256.3926	31513.6504	31927.248	31170.0762	30961.8652	31504.373	26343.2695	32699.9336
0.2668	31405.2637	32158.7383	29451.9805	30123.9023	29723.791	31169.502	35175.2422	30072.7422	30330.4844	33357.8789	31810.4336	32080.8281	31682.584	26559.623	33264.7578
0.4003	31512.6816	33284.9062	29779.127	28545.4141	30641.7812	30273.7168	35488.6094	29327.3008	32372.5723	33243.8672	32100.2539	31606.0605	33364.7109	26662.5137	31960.4844
0.5337	32753.6348	32823.1445	29377.5605	30109.1094	29418.7109	31429.0859	33736.8672	31095.4258	32586.6055	33019.125	31721.9922	31272.1309	32204.4531	26299.7969	33076.8828
0.6671	33930.9375	33365.9375	30542.9688	30143.0879	29201.9883	30592.3262	34940.2109	30964.2715	31942.9824	33345.6719	32416.6289	31157.6426	31753.4746	25656.9941	33853.8203
0.8005	35116.7266	33017.1641	32604.2949	29615.959	30192.7031	30146.2734	34068.5547	31772.2344	31784.3359	32746.334	33971.0703	31564.3242	31659.8398	25879.0723	33964.5508
0.934	36945.5781	33214.9883	30057.1211	29516.0879	30331.5391	31045.3809	33176.0469	32667.6934	31857.7129	32252.9414	34629.5977	32910.8516	31632.9922	26062.1035	33786.1953
1.0674	37915.1445	33937.7383	29898.084	30858.3223	31186.2129	32131.5762	33320.375	33676.4375	31781.7266	32208.3145	36275.7969	33335.4023	31371.3555	24132.1816	34209.9414
1.2008	38007.6641	32809.3359	31989.8633	31394.5156	31373.1816	31896.1465	33075.0391	35442.4961	30889.0918	32714.7754	35839.1719	33970.5508	32242.7559	24234.5527	34076.6445
1.3342	38052.2148	33427.0078	31016.0781	29722.8828	31031.9199	31793.1367	34767.0117	37471.7266	31435.2031	35433.5469	36156.9883	33918.6016	33120.7773	27432.0352	34321.2383
1.4676	39223.5273	33875.25	30779.3594	31019.584	30722.5137	34066.4805	35901.7578	43746.9375	33305	33700.1289	36923.2773	32634.1465	32972.9727	26419.4434	35912.6406
1.6011	38799.9336	34897.3984	33146.8984	34044.9727	33712.3281	36137.9336	35402.7344	46128.2344	34442.1758	35924.2617	35590.8242	33172.293	33755.8047	29748.1523	36609.6328
1.7345	43579.8984	36270.8242	39122.9375	36127.3398	32528.9121	44757.7461	38152.2773	43483.9219	39706.1875	44979.3086	35971.7617	35652.8789	36939.0273	38697.6523	41497.3555
1.8679	57426.3242	37227.0273	55514.6406	43333.1758	32075.1445	53726.918	40297.5273	37488.5234	53764.2305	60427.8008	36863.5703	40540.6016	44149.4336	48719.9258	49686.2891
2.0013	80039.8906	44400.2188	68861.25	48647.4805	29999.4609	64144.2422	46586.0117	32196.1289	75814.9688	80838.7344	35912.8164	51198	63021.4531	48627.6914	72170.2891
