x	Y_20181208_15692_30_12g	Y_20181208_15692_30_1g	Y_20181208_15692_30_4g	Y_20181208_15692_30_5g	Y_20181208_15692_31_13g	Y_20181208_15692_31_16g	Y_20181208_15692_31_18g	Y_20181208_15692_31_9g	Y_20181208_15692_32_11g	Y_20181208_15692_32_13g	Y_20181208_15692_32_14g	Y_20181208_15692_32_6g	Y_20181208_15692_33_11g	Y_20181208_15692_34_3g	Y_20181208_15692_34_6g	Y_20181208_15692_34_7g	Y_20181208_15692_34_8g	Y_20181208_15692_34_9g	Y_20181208_15692_36_10g	Y_20181208_15692_36_5g	Y_20181208_15692_37_9g	Y_20181208_15692_38_14g	Y_20181208_15692_38_15g	Y_20181208_15692_38_1g	Y_20181208_15692_38_3g	Y_20181208_15692_38_4g	Y_20181208_15692_38_7g	Y_20181208_15692_38_8g	Y_20181208_15692_39_12g	Y_20181208_15692_39_13g	Y_20181208_15692_39_4g	Y_20181208_15692_39_5g	Y_20181208_15692_40_15g	Y_20181208_15692_40_5g	Y_20181208_15692_40_7g	Y_20181208_15692_41_8g	Y_20181208_15692_42_12g	Y_20181208_15692_42_15g	Y_20181208_15692_42_4g	Y_20181208_15692_42_6g	Y_20181208_15692_43_11g	Y_20181208_15692_43_14g	Y_20181208_15692_43_19g	Y_20181208_15692_43_5g	Y_20181208_15692_44_12g	Y_20181208_15692_44_8g	Y_20181208_15692_45_14g	Y_20181208_15692_45_4g	Y_20181208_15692_45_9g	Y_20181208_15692_46_10g	Y_20181208_15692_46_12g	Y_20181208_15692_47_3g	Y_20181208_15692_47_4g	Y_20181208_15692_6_12g	Y_20181208_15692_6_1g	Y_20181208_15692_6_2g	Y_20181208_15692_7_13g	Y_20181208_15692_7_8g	Y_20181208_15692_8_5g	Y_20181208_15692b_1_2g	Y_20181208_15692b_1_5g	Y_20181208_15692b_10_1g	Y_20181208_15692b_11_10g	Y_20181208_15692b_11_22g	Y_20181208_15692b_11_24g	Y_20181208_15692b_12_17g	Y_20181208_15692b_12_2g	Y_20181208_15692b_12_6g	Y_20181208_15692b_12_7g	Y_20181208_15692b_12_9g	Y_20181208_15692b_14_3g	Y_20181208_15692b_15_3g	Y_20181208_15692b_15_4g	Y_20181208_15692b_16_10g	Y_20181208_15692b_16_2g	Y_20181208_15692b_16_9g	Y_20181208_15692b_17_1g	Y_20181208_15692b_2_3g	Y_20181208_15692b_2_4g	Y_20181208_15692b_2_5g	Y_20181208_15692b_3_1g	Y_20181208_15692b_3_2g	Y_20181208_15692b_3_7g	Y_20181208_15692b_7_3g	Y_20181208_15692b_8_8g
1.3342	14233.8594	14750.5859	16905.2188	13104.6699	11985.1924	10120.3887	15045.3906	15640.4492	12205.291	11899.3877	14966.3359	14634.7051	13357.0234	18096.3672	14030.3857	11442.2217	13282.6201	12121.2578	12583.0986	12989.2422	13669.0703	12800.5723	17123.168	14150.6201	12703.2119	12724.4629	11074.6533	12395.3428	11729.5273	12523.7051	11431.5596	10587.3652	12573.9678	15293.3828	11438.0654	16753.5625	16148.0801	15052.624	16012.6475	11404.5938	13667.3682	14450.5967	11542.6543	11999.6865	15202.3477	13346.4922	13487.3369	16254.1045	12714.6982	15495.7676	15433.5117	16100.4385	12774.6758	15024.0166	13660.1562	15709.7275	16577.9941	14583.1074	13862.7227	15211.4189	13313.3477	11099.9395	14063.2021	11631.1094	17340.1758	12483.0889	12188	16303.3096	14320.2822	12415.4746	14810.6943	15253.2129	12941.1689	14415.5664	13333.3828	15868.9316	13724.3604	16647.1738	12493.748	14087.4395	14494.7236	11681.0713	16781.7852	12906.8633	12102.8164
1.4676	13259.9287	13464.8281	16496.4766	13037.5488	11929.4805	10208.9873	14466.1816	15030.8633	13095.2363	12186.3389	14596.4033	13847.498	13672.5303	16855.7402	12693.4414	11540.3838	12616.2119	11816.2051	12580.1943	12597.1387	13907.7002	13039.6572	15481.7383	13418.1885	12367.9072	12453.5898	11118.8613	11759.5205	11486.2959	11472.8066	12091.7822	11708.584	12728.7861	14009.1475	10653.2373	15410.1025	17097.4102	14022.7041	14245.252	11386.748	14053.6855	13825.5898	11827.1699	12666.0146	14676.9609	12664.459	12987.6064	16426.6406	12831.1182	14251.1465	15218.124	15733.0371	11731.3672	13954.7383	13479.9307	16397.5996	14465.1357	14991.8223	13529.0166	15123.415	12008.7305	11214.8604	13309.2793	11283.8564	16545.3691	12630.1133	12295.0029	15423.6182	13053.3467	11852.0049	13652.3955	13949.0371	12973.4736	14585.6074	13657.748	13904.125	14011.3184	14222.6123	11958.418	14167.3467	13168.1211	11605.2334	15646.7705	12107.5107	12153.5127
1.6011	12934.1387	13245.1826	15714.2051	12621.3535	11972.4482	10100.3623	15657.5303	16530.7227	11791.9219	12199.21	14078.1914	13181.4199	12934.3906	14986.3301	12423.333	11383.0752	12860.3105	12027.4912	12236.4941	12771.4941	13141.4717	12841.3418	14430.7969	12782.7461	11877.1348	11854.1787	11091.1816	11887.5059	10953.1553	10909.6572	11611.7998	11380.2666	11768.9678	12850.2637	10441.6592	13580.6006	14665.9688	12711.3984	13366.0049	11001.8545	14057.0479	13722.583	11771.7432	11581.7559	13446.7773	11969.9326	12251.8477	14776.0234	13248.7695	13259.6426	14015.7686	14327.5146	11109.0215	12394.6582	13792.2021	14909.7754	12979.8936	14736.0088	12183.4199	13390.4043	11369.5977	11521.3037	13493.2695	11184.7119	14878.0088	12818.293	12582.7969	14460.4629	12187.4971	11521.749	13159.377	12935.6064	12229.1152	13867.5146	12586.8789	12752.1553	13701.4902	13239.1055	12845.3438	12851.9355	12546.3486	12086.6396	15618.1816	12184.7539	11561.2383
1.7345	12662.3291	12421.1641	14420.5459	12125.3428	12460.6025	10698.9121	15985.8027	17083.4922	11779.9102	12319.9336	15283.7188	12484.7412	12237.7373	14792.3799	12081.2969	11887.4775	NaN	12488.2656	12113.1846	11603.1768	12685.7832	NaN	14153.5361	12313.2715	11838.4795	11645.0859	11244.1592	11900.3594	11319.6367	10951.0049	12210.2002	10972.5605	11971.1611	12305.1787	10269.3408	13850.3096	13387.127	12509.8047	12940.25	10563.5557	13227.2461	13561.3447	11418.8535	11884.2646	13091.1533	11702.2852	12691.4902	13787.1553	12133.9395	12327.7217	13682.8379	13056.8486	11396.5137	11763.1621	13431.999	14328.0146	12618.3477	14448.0107	12320.8701	13518.9297	11100.6035	11107.8369	13324.7852	10570.0605	14259.5596	12353.9131	12393.832	14107.6836	12706.0137	11632.1738	12819.8965	12200.4541	12726.7793	13445.9062	12600.0391	12626.3115	12910.2686	12916.9854	12677.9268	13050.5146	11926.2246	12062.6465	16204.0205	12246.8398	NaN
1.8679	12100.8301	12568.3916	14933.8135	11869.3467	11672.1738	10132.3174	14134.4453	15347.375	12002.168	12496.5215	NaN	12622.7598	12078.8779	14128.6328	12027.5488	13186.5	NaN	NaN	11931.4209	11558.5996	12201.0303	NaN	14217.2334	11760.6924	NaN	11932.2861	11615.1729	11346.4961	10945.0166	11362.251	12801.2402	10943.8447	12364.9971	12140.6641	10463.3477	13049.5996	12635.7812	12675.2109	13139.2236	11487.793	12480.9219	15224.3193	12001.5977	NaN	13709.5244	11655.46	12083.0488	13041.8789	11509.249	12189.9336	13128.0342	11286.1846	11877.6816	11197.5293	12916.9766	13587.0146	12526.5537	13599.2637	11891.9541	13549.9248	11564.4971	11992.9443	12505.6211	10610.1865	12798.4199	12845.3428	12664.7402	14041.8213	12447.582	11473.4121	11859.3574	11694.207	12591.8477	13053.3662	12262.7529	12433.582	12388.3398	12752.0635	12609.3613	12509.0615	12115.6475	12355.791	17123.4004	NaN	NaN
2.0013	12518.4746	12850.5332	13296.8477	11482.5195	11042.3545	10224.0908	12650.8389	14019.6953	11412.8369	13202.7939	NaN	12477.8516	12473.1533	13957.8467	11264.7119	NaN	NaN	NaN	12346.3887	NaN	11852.4092	NaN	13667.2617	11959.9229	NaN	NaN	11671.9844	11591.9375	10831.8389	11576.9854	NaN	NaN	12307.8535	12099.002	10295.9248	12970.3213	12575.4492	12610.0146	12461.4502	11413.4912	12724.4287	14024.0254	12012.0332	NaN	14237.3174	11209.7598	13012.4717	12410.7217	11824.3057	12155.8447	12396.7773	10562.7959	11733.3154	10896.417	12973.7139	14291.5332	11878.2305	12681.583	12082.2002	13472.6172	11404.1191	11438.7998	12266.4502	10895.1875	13465.335	NaN	12868.8213	12789.834	12687.6445	11973.6992	11007.708	12030.5918	12423.5361	12791.6631	12908.9277	12387.2393	12606.8652	12468.5635	NaN	12146.5205	11840.0361	12132.9287	15762.5547	NaN	NaN
2.1347	12293.6699	13202.8818	12568.5801	11577.8359	10832.7803	9841.9404	12060.1758	14219.127	11494.5381	13528.3701	NaN	11514.8164	12340.2861	12678.1494	NaN	NaN	NaN	NaN	11833.0146	NaN	12256.624	NaN	13636.2773	11709.4238	NaN	NaN	12244.3057	11226.7002	11261.5508	NaN	NaN	NaN	11795.5498	NaN	10127.2705	12414.7295	11409.918	13195.7344	12312.2598	11017.3145	NaN	13120.1914	11562.7012	NaN	13461.5098	11064.5283	12862.7998	12004.6221	12152.5635	11498.0605	11936.3027	9922.7363	NaN	11095.374	NaN	13742.4307	11748.9023	12836.6523	12089.0703	12997.4893	NaN	NaN	11720.8926	10679.0312	13747.9961	NaN	NaN	12074.3564	12974.7803	12725.4355	10254.1426	11714.8418	12840.9932	NaN	12986.3496	12252.3467	12578.3135	11962.8359	NaN	12531.9512	12088.0117	12013.5996	13056.4961	NaN	NaN
2.2682	NaN	NaN	12216.7314	12021.0293	NaN	NaN	11515.8193	13494.8994	11289.2354	12652.5205	NaN	NaN	12985.9736	12106.5674	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13197.1885	NaN	NaN	NaN	NaN	NaN	11103.8857	NaN	NaN	NaN	NaN	NaN	NaN	12050.7129	11419.7061	NaN	12595.3135	NaN	NaN	12156.8945	11156.6865	NaN	13084.8066	NaN	NaN	12805.3838	12216.4951	12255.5205	12074.4941	10142.5918	NaN	11480.8184	NaN	13055.6885	11999.8408	13447.8057	11793.6631	NaN	NaN	NaN	12229.584	NaN	NaN	NaN	NaN	11621.9629	NaN	NaN	NaN	11434.0996	NaN	NaN	NaN	12109.3555	11986.9707	11625.7998	NaN	NaN	NaN	12358.9258	13103.0674	NaN	NaN
2.4016	NaN	NaN	11342.04	11549.6914	NaN	NaN	11630.8525	13530.2734	10590.1279	12236.9062	NaN	NaN	12368.9678	12751.1885	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12163.0684	11641.4277	NaN	12568.5166	NaN	NaN	12447.8193	NaN	NaN	NaN	NaN	NaN	12961.5918	11966.5801	NaN	12649.0293	10477.1475	NaN	NaN	NaN	13200	11772.6719	14187.583	NaN	NaN	NaN	NaN	12087.1602	NaN	NaN	NaN	NaN	11128.0781	NaN	NaN	NaN	11701.3203	NaN	NaN	NaN	11902.1055	11889.4385	12421.0732	NaN	NaN	NaN	NaN	11135.2002	NaN	NaN
2.535	NaN	NaN	11900.127	NaN	NaN	NaN	11400.7422	13110.5996	10689.1631	NaN	NaN	NaN	12120.0234	12973.3535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12011.082	12323.9863	NaN	NaN	NaN	NaN	12686.7344	NaN	NaN	NaN	NaN	NaN	12726.6807	11730.6602	NaN	11770.5781	10203.1494	NaN	NaN	NaN	12737.291	NaN	13599.1982	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10765.9365	NaN	NaN	NaN	11581.3066	NaN	NaN	NaN	NaN	11673.2275	12256.7334	NaN	NaN	NaN	NaN	NaN	NaN	NaN
