x	Y_20181208_15100_18_3g	Y_20181208_15100_18_4g	Y_20181208_15100_18_7g	Y_20181208_15100_19_4g	Y_20181208_15100_19_5g	Y_20181208_15100_2_4g	Y_20181208_15100_21_2g	Y_20181208_15100_23_3g	Y_20181208_15100_4_1g	Y_20181208_15100_5_14g	Y_20181208_15100_5_9g	Y_20181208_15100_6_11g	Y_20181208_15100_7_2g	Y_20181208_15100_7_3g	Y_20181208_15100_7_4g	Y_20181208_15100_8_2g
0	29798.6543	30545.9355	31753.4785	29389.2461	25424.0449	30660.4199	32817.2188	30977.2598	26601.1973	29458.6582	28329.9219	30326.4863	27719.9102	27922.918	30109.9766	32030.0254
0.1334	30259.6035	31409.2188	32035.2324	30528.1055	25584.6465	28913.8984	31404.1602	30671.4648	26496.7324	29536.6445	30745.541	31274.877	29547.0117	29208.1348	28669.3594	32740.2285
0.2668	29030.0625	30773.0117	32375.6406	30291.584	26295.377	29248.2793	29297.8008	30669.4414	27018.6973	29763.8105	31065.7891	32018.207	29618.6816	29109.4414	29933.0488	31895.4375
0.4003	28740.0977	30059.7441	32234.0078	29986.9082	27287.9492	31034.9941	29608.2188	30295.0273	25841.4707	29839.418	31379.1504	31910.5645	28255.0391	29217.8926	30850.2832	30716.7656
0.5337	29333.9023	29987.7715	31994.7188	30507.9355	26252.7734	29048.6621	31213.6934	30032.7734	26902.8242	30983.3301	31441.293	31982.4551	28994.0215	30269.3145	30119.0273	31417.7129
0.6671	30015.1211	30261.0566	32239.5605	32665.6348	25227.9375	30873.5234	30312.8613	30752.6895	27828.791	31451.1797	31846.5352	32805.7109	29961.0781	29280.2832	32668.5254	31883.0352
0.8005	30369.9551	30526.8477	31593.9062	32716.377	25455.4082	29846.748	30079.7656	29955.2422	27741.3516	30896.5215	32859.7227	34243.7109	29322.2773	29522.6875	30883.0371	32774.0859
0.934	30638.0547	31750.6504	30603.6309	32009.3008	26259.8594	30289.9824	30450.8105	31712.4238	26278.1875	31169.2402	32282.7324	32282.502	30199.1621	28673.7402	31378.0957	31127.6895
1.0674	30969.3984	29922.1758	32694.7402	30978.7734	25852.7324	31725.0918	31636.5059	32113.752	28690.8262	31236.4336	33244.7227	32316.457	30588.1387	28853.5332	32435.1504	31768.9102
1.2008	30741.2852	31377.2812	32149.125	29863.2832	26116.3926	32881.0312	32092.8809	29895.2031	28154.0762	30159.8574	31401.1562	32699.1387	29025.0664	28911.3184	32179.6211	32092.1367
1.3342	30753.5488	30436.2168	30508.2773	30373.4102	27187.9434	30988.875	31770.7539	28831.543	28545.6113	32072.8145	31157.5254	32031.6094	28727.8379	29431.2832	30398.9766	32531.6348
1.4676	30811.7637	32614.1074	31542.4277	30845.6992	27434.1484	32432.1426	31745.1191	29909.0078	28576.3828	29323.8945	31138.168	32011.5078	29178.3867	29424.5195	31124.3301	31797.8457
1.6011	31777.1426	31405.8789	30524.3633	30572.6016	26614.002	32990.3281	33022.0352	30737.5332	27345.5098	31106.3477	31327.3359	31523.6309	27246.6113	29405.1055	31744.2461	31341.8184
1.7345	33164.1016	30220.8184	30703.3359	30410.5098	26324.7266	31595.377	32431.3828	31002.1934	27372.3867	29928.0098	30990.291	31529.4727	29209.0781	29713.4316	31425.4688	31138.9766
1.8679	32612.4688	31438.2285	32965.2578	30105.6758	26285	29939.4121	32693.3867	32218.9277	27301.2812	28836.3594	30835.6035	32871.7383	28348.9668	29429.7422	31687.1816	31162.5801
2.0013	32023.1074	31549.4746	31995.7344	30544.6816	26828.6406	31116.666	33512.457	31815.0293	27859.4199	29763.2969	31076.8457	33328.9609	28761.1387	28252.6172	32377.4883	32239.0176
2.1347	34541.5117	30512.9141	31978.0996	32450.4082	25832.5742	30436.1074	32096.9785	32853.9375	28150.377	30384.5664	30264.0078	33729.418	29954.3027	29928.3594	32450.668	32951.2188
2.2682	33071.9766	31202.25	33540.4922	32067.0117	28140.877	30984.1875	31705.1914	33630.2734	30866.9473	31354.4961	32376.584	35110.7031	31247.0176	29509.0156	33240.5703	34651.75
2.4016	33867.4375	30858.4961	36693.3984	32454.752	27945.9453	31900.4707	32500.1855	35008.1094	34057.5234	32169.0898	31389.877	41213.3516	31988.166	30969.8828	33993.5391	34164.1328
2.535	33807.1758	32098.8691	41260.0234	33851.2031	28751.1328	31291.6113	32736.5332	37502.4336	35531.7188	33967.1484	31428.8887	52423.8242	36511.4102	33070.7734	38593.5391	37573.2773
2.6684	37699.5898	33419.1523	54402.9883	36484.0859	32846.6133	34141.7227	34184.1562	42169.6055	45415.8789	41032.0781	35180.1445	80444.7422	44345.1094	40295.7266	52639.9258	44078.2227
2.8019	45763.4453	32169.1953	83861.4844	41926.6406	40396.0977	40002.1211	36953.5586	51146.207	71307.6484	55263.5391	40241.7188	94715.5703	61220.4922	54877.4844	81336.6562	64074.0312
2.9353	56903.9727	31117.498	112921.3281	57833.9609	46424.0156	53880.2383	42119.793	73543.6719	109300.9375	84352.8828	55905.5156	74902.8516	74037.1953	87326.6562	96884.8594	94354.1484
3.0687	60896.7422	34175.7188	112731.0938	88148.375	40297.0117	92025.5156	57078.2539	91401.3438	104743.5156	105042.4922	81519.4922	49645.0391	66093.4922	108623.5234	75989.5234	110053.7188
3.2021	50854.0859	35641.082	73935.6641	112241.8516	33084.4844	132575.5781	86025.7891	75306.4375	66171.5469	87268.3672	79734.6016	38376.5312	48687.5977	90021.9141	49000.707	84524.75
3.3355	44396.3984	40176.957	52045.9414	98027.8125	29456.2266	112406.1953	102465.6562	50920.3906	42232.8203	59272.3945	54719.3086	34403.8828	37397.2305	56106.875	38613.9766	55430.3789
3.469	50941.1641	51635.4688	40647.7617	65365.5117	28739.6113	70196.0312	77780.0156	37861.6055	34988.8633	45772.082	40008.3281	34016.0156	33343.7578	39895.3164	34827.3359	45997.543
3.6024	NaN	48540.8711	38296.7852	45799.3008	28435.918	46933.2617	53277.0391	33559.3086	31074.9512	38884.6602	34815.0312	32335.7852	32714.1562	34535.875	32618.1074	40924.8984
3.7358	NaN	40231.0508	38073.0742	36628.7812	NaN	40977.3555	41900.3594	33197.668	29650.2383	34726.6406	32400.8926	32258.709	NaN	33930.8672	33413.9648	41970.5352
3.8692	NaN	35564.3086	37572.1406	34882.5195	NaN	33537.6562	38573.6641	33347.5	29549.6152	33945.4844	33435.3984	NaN	NaN	35743.7734	33351.9766	NaN
4.0027	NaN	33366.2344	NaN	34114.5195	NaN	35140.7812	36089.6055	31840.3301	29298	32394.0332	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	33168.7773	NaN	33183.7812	NaN	33430.1797	34995.9297	32341.7812	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	32869.4258	35300.9648	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	33270.1992	34659.8203	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
