x	Y_20181208_15100b_1_3g	Y_20181208_15100b_13_15g	Y_20181208_15100b_14_4g	Y_20181208_15100b_19_1g	Y_20181208_15100b_19_4g	Y_20181208_15100b_19_9g	Y_20181208_15100b_24_1g	Y_20181208_15100b_26_3g
0	31773.7852	30680.4219	26683.5918	27726.2715	30662.3398	28727.2852	28578.8027	28714.3125
0.1334	30634.4062	31263.3008	26415.5879	28167.6465	28646.8613	27854.7363	30441.4023	28301.8457
0.2668	30323.2617	28998.6289	26107.6934	29053.1289	28481.8066	28270.8848	30364.1367	28372.7266
0.4003	31621.9336	30406.3242	24672.2305	29774.4316	28900.043	30317.6484	30685.5938	28578.4395
0.5337	32008.5039	30865.168	25981.5312	28737.2773	28523.9883	29209.4688	30070.332	28414.7578
0.6671	30650.4199	32276.3828	27143.6016	29590.5742	28796.2324	30175.0996	30590.4414	29539.4648
0.8005	30701.3379	32349.6777	26389.498	30066.3379	29383.8711	28922.9141	31572.1699	28478.9023
0.934	30220.1973	31996.8203	27404.5234	29174.4922	28432.2812	28805.0859	31617.6758	29463.5137
1.0674	29137.6562	32555.0508	26786.3203	29277.1367	28127.1484	28896.498	30583.1094	29738.7598
1.2008	30098.2266	31125.0879	25873.5977	30040.5645	27648.1113	29972.7402	30367.8945	28971.9863
1.3342	29784.6074	31799.1953	26639.4434	28397.6582	28718.2227	29404.9004	29588.5176	28870.5977
1.4676	30454.2637	30888.9512	26938.6602	29564.1973	29647.002	29145.9297	30615.543	29578.8223
1.6011	30826.4844	31955.7852	26846.6992	29295.3828	29877.0957	29561.7852	30035.8008	29499.627
1.7345	30590.9492	32628.6465	27451.252	31884.2148	34850.75	30152.627	29952.8066	28945.9551
1.8679	30966.0156	33122.875	26362.1016	33321.9766	42831.2031	31557.3477	29425.2207	30527.0645
2.0013	30695.3359	39444.6562	27798.0879	35899.9883	52257.1055	33353.6484	31366.459	35211.418
2.1347	31565.8418	51923.6875	28509.2285	42119.7617	54757.6719	32467.8398	31946.5977	41797.8086
2.2682	31717.0684	70196.4609	29120.5781	61607.2656	43331.1133	32763.5449	34068.2773	47095.6523
2.4016	33744.2891	76538.1641	30614.6328	87500.0469	33809.4883	38060.9727	39787.8203	45785.2539
2.535	35837.4805	56998.1289	33608.0859	81361.6406	31021.9961	43976.0156	57148.6719	37145.5273
2.6684	42107.5859	39926.9297	40621.4062	59027.1758	29907.373	46658.3164	70076.3672	33404.3789
2.8019	47124.1484	33761.1367	51349.1484	42796.6992	NaN	41553.4102	57683.8633	32141.168
2.9353	43443.9727	32273.0879	57278.25	38887.9258	NaN	35198.7383	42269.3125	31140.8105
3.0687	39739.9336	30699.7637	49288.0586	38792.7109	NaN	NaN	34682.1797	NaN
3.2021	NaN	NaN	40655.9336	NaN	NaN	NaN	31546.959	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	31642.3066	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
