x	Y_20181208_15693_17_9g	Y_20181208_15693_18_2g	Y_20181208_15693_18_9g	Y_20181208_15693b_8_6g
0	9580.7354	10994.1641	10709.5586	9934.7197
0.1334	10242.1426	10130.708	11887.1699	10379.7549
0.2668	11423.3184	9773.8213	14132.6006	10408.9922
0.4003	13724.3252	9973.1123	17629.7715	11313.3574
0.5337	15449.4473	11279.2705	18313.4805	13278.1689
0.6671	14538.1982	13202.1221	16338.3281	14014.7266
0.8005	13999.0703	15165.5645	14455.4219	13944.1611
0.934	12758.8359	14818.1484	13532.6699	13665.1846
1.0674	12395.9385	14043.1201	13492.7842	13587.6035
1.2008	12603.1162	14208.9678	14141.3291	14588.627
1.3342	13339.3623	13170.5703	14465.2666	15219.168
1.4676	13031.9883	13913.4795	14009.4922	16872.6191
1.6011	12854.5723	13958.8271	13715.1797	15167.3438
1.7345	12576.2393	15383.8398	14092.7344	15743.1621
1.8679	12852.7959	13835.6885	13690.6592	15475.1895
2.0013	13814.7188	15395.833	13437.5576	15857.3887
2.1347	13933.3301	15243.6914	13037.876	16759.5762
2.2682	13178.1729	14481.9551	12803.0039	16291.8516
2.4016	12443.8594	14285.8477	12657.1416	15702.7471
2.535	12516.1611	13484.3633	11876.084	15707.916
2.6684	12254.6045	12785.6953	12087.2568	14200.3105
2.8019	12153.5977	12586.6475	11687.0918	13873.9639
2.9353	11397.1016	12206.0254	11245.8262	13529.7119
3.0687	11310.8066	11217.3252	11901.8252	14111.1426
3.2021	11737.4658	11986.1689	11600.3682	13381.3408
3.3355	11826.835	11549.1787	11407.8281	13388.96
3.469	11306.2734	11771.0518	12009.0596	12338.0186
3.6024	NaN	12391.3662	10949.5059	12441.6719
3.7358	NaN	NaN	11224.7998	12163.9385
3.8692	NaN	NaN	11135.5283	12584.1709
4.0027	NaN	NaN	NaN	12832.2129
4.1361	NaN	NaN	NaN	11607.7158
4.2695	NaN	NaN	NaN	11655.6367
4.4029	NaN	NaN	NaN	12201.5273
4.5363	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN
