x	Y_20181208_15692_31_20g	Y_20181208_15692_31_2g	Y_20181208_15692_31_8g	Y_20181208_15692_33_1g	Y_20181208_15692_36_3g	Y_20181208_15692_36_7g	Y_20181208_15692_37_14g	Y_20181208_15692_37_20g	Y_20181208_15692_37_8g	Y_20181208_15692_38_17g	Y_20181208_15692_38_2g	Y_20181208_15692_39_3g	Y_20181208_15692_40_3g	Y_20181208_15692_41_11g	Y_20181208_15692_41_13g	Y_20181208_15692_41_14g	Y_20181208_15692_41_16g	Y_20181208_15692_43_10g	Y_20181208_15692_43_13g	Y_20181208_15692_44_13g	Y_20181208_15692_44_14g	Y_20181208_15692_45_13g	Y_20181208_15692_45_5g	Y_20181208_15692_46_18g	Y_20181208_15692_47_5g	Y_20181208_15692_47_6g	Y_20181208_15692_7_1g	Y_20181208_15692_8_8g
0	25251.8652	27264.7988	29900.8496	29529.7715	29334.9453	27607.5215	31553.1758	27834.6914	28515.4434	31423.3203	25564.8086	28847.4336	29760.6641	30743.1953	28847.5098	28904.998	25652.9941	31408.7422	26346.1523	31099.5449	29125.3809	31676.3418	29987.0234	32560.3633	30235.2148	31252.5508	27969.0488	32674.2109
0.1334	24852.9004	29308.1172	30581.3516	29092.0527	29078.3535	27483.0938	32487.209	28576.457	28509.5098	31737.2012	26781.2031	29277.6133	28855.1758	28301.9863	30257.2988	27768.3027	26182.0391	32002.3633	25540.5918	33035.4375	27791.4902	32013.3145	31372.0195	31928.1035	32572.3672	31359.498	25963.4102	33008.5547
0.2668	25043.2285	28641.8867	31859.3008	29970.5312	28391.9805	27990.7773	30309.002	28553.2715	29345.418	31172.2578	25706.5	29872.5664	28820.0176	30167.3184	28616.3398	27506.9609	26216.5176	31868.5195	26448.2578	31675.4043	28693.502	31627.5664	30932.1953	32638.5352	30613.8477	31537.7715	26492.7617	33930.4297
0.4003	24755.9395	28072.416	31338.7793	28595.8828	28081.5566	26827.4922	31065.7324	28832.332	30531.002	30786.0586	25860.3574	30043.5898	28967.7285	28919.3398	29242.5898	28685.082	26176.9199	31853.8633	27238.0488	31504.0273	28950.1074	31684.8203	29993.6113	32229.5566	31793.8535	30736.5547	26584.4492	33119.7617
0.5337	26081.4902	28174.3906	31905.6855	28801.7168	28006.1113	27783.2227	31183.8535	29824.9727	29560.6523	32304.9199	26433.7793	30761.5352	31230.2285	28509.1875	28234.6855	28031.457	26995.5938	31728.8496	28273.4688	33718.6328	29358.1504	30337.5234	27278.2305	30665.9531	29801.8281	31186.959	25748.4355	32326.3809
0.6671	26201.9629	28662.9727	31717.8184	30186.791	27495.1035	27248.1367	31125.082	30724.6523	27966.8359	32112.6836	26594.7227	29943.8281	29825.2734	29909.9531	29534.1855	27489.0371	27239.957	30072.459	27315.2207	31307.9727	29138.0312	29978.1055	27836.2715	31437.75	30532.4141	31005.8945	26639.9277	31547.0996
0.8005	26497.5898	29534.334	30511.3574	31125.3809	27433.9551	26788.0371	32082.1289	30169.5449	29866.6172	31797.1602	25773.2148	29399.4492	28072.3477	30329.5801	29663.3066	26831.9141	26880.6777	30690.4961	27087.2949	32189.5469	28632.1602	30918.9121	29017.793	32215.6113	31647.0293	31042.0352	26015.0469	32384.9707
0.934	27054.7559	28491.7988	31286.3535	30054.7949	27378.7852	26691.5508	30630.7383	30625.6016	27875.2676	33097.293	26833.1777	29161	30335.0938	30167.4824	30584.582	27105.2676	26131.2891	31938.3086	27551.4863	30646.6387	28258.7305	31294.5996	30111.3887	31139.7266	30206.4297	32210.166	27166.2422	31485.2891
1.0674	26566.0977	27248.6133	31233.543	28205.9434	27802.4688	27375.1113	31628.0957	30811.9805	27726.6016	31432.9375	26170.0508	28286.4473	28951.0781	30070.5586	29052.6797	27825.1328	27116.6855	31356.7031	28107.0645	30662.582	29285.6855	31853.457	30019	30352.4434	29584.7168	31622.8281	26884.0859	32023.3945
1.2008	26619.7227	28435.1055	30988.5488	28675.0938	28425.0547	27467.2715	32956.832	31984.8105	29305.3105	31826.7031	26014.5039	28611.1953	31454.502	30055.3555	29314.4551	29326.2852	27694.0508	30431.418	27040.6016	32906.0781	31387.5781	32651.3926	30629.9355	30977.1602	30404.2188	31218.4355	26374.5293	32344.8105
1.3342	27693.3809	28703.2129	32221.1523	29229.1602	29258.6445	26773.9707	31301.8516	33991.4688	29383.252	31959.4043	25126.6367	29569.6836	30532.5879	32265.332	31753.3008	29448.3223	27723.2734	33835.9453	26809.0781	34098.7969	29076.25	31736.4941	34388.7852	31633.75	32344.9785	31548.502	27060.5996	32819.4648
1.4676	27689.2812	28299.3887	32781.6523	28521.2539	32434.8438	27993.6172	31513.5117	37790.4844	29377.9922	31874.2441	27761.8555	28718.0605	30238.4512	30687.9199	32849.7891	29448.8223	30725.5234	32623.2578	29294.9004	39648.8281	30189.0098	31131.623	40606.9453	31959.0723	34679.043	31315.6523	27868.9824	33195.5664
