x	Y_20180130_15100_1_1g	Y_20180130_15100_2_10g	Y_20180130_15100_2_4g	Y_20180130_15100_4_3g	Y_20180130_15100_5_10_1g	Y_20180130_15100_5_16_2g	Y_20180130_15100_5_3g
0	15092.388	14962.868	17189.432	15631.209	16129.83	15229.8	15796.309
0.1334	15284.896	14109.593	17190.15	15846.681	16090.695	14672.418	15227.661
0.2668	15479.411	13991.625	15962.811	16023.304	16399.447	14727.649	15991.914
0.4003	14485.648	14664.349	15796.857	15833.015	15739.934	14743.682	14781.975
0.5337	14955.519	13653.328	16233.965	15654.917	15861.367	14656.021	16225.935
0.6671	15512.033	13663.686	16123.644	16199.666	17033.057	15768.254	14990.529
0.8005	15735.019	13896.378	16624.156	16715.553	15910.041	15406.246	15181.738
0.934	16334.286	14830.279	16594.389	16934.816	16067.133	15726.882	15559.043
1.0674	17268.047	16172.004	16866.123	17508.314	17302.496	18408.809	15430.619
1.2008	18653.523	18731.459	17667.977	19195.785	18821.328	20992.637	17252.662
1.3342	23089.965	25639.443	20580.732	23242.643	25415.775	24878.365	20957.738
1.4676	30570.666	33568.789	25797.467	32904.383	37023.438	22995.549	28144.795
1.6011	33331.422	33906.578	39595.867	36429.422	48562.98	18329.848	39044.336
1.7345	27042.184	24535.441	55030.195	28995.211	45247.555	15844.094	36064.234
1.8679	19668.324	20094.812	50262.008	20910.529	32463.568	15964.016	25468.387
2.0013	16609.141	16273.957	33455.531	17743.266	26423.002	NaN	20138.5
2.1348	15962.075	15404.625	22373.07	NaN	26418.957	NaN	19307.715
2.2682	NaN	NaN	18254.137	NaN	NaN	NaN	NaN
2.4016	NaN	NaN	17083.084	NaN	NaN	NaN	NaN
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN
