x	Y_20181208_15794_1_5g	Y_20181208_15794_10_2g	Y_20181208_15794_10_7g	Y_20181208_15794_12_11g	Y_20181208_15794_13_15g	Y_20181208_15794_14_8g	Y_20181208_15794_15_7g	Y_20181208_15794_17_2g	Y_20181208_15794_17_3g	Y_20181208_15794_17_4g	Y_20181208_15794_21_3g	Y_20181208_15794_22_4g	Y_20181208_15794_22_9g	Y_20181208_15794_23_11g	Y_20181208_15794_24_1g	Y_20181208_15794_25_1g	Y_20181208_15794_25_3g	Y_20181208_15794_25_4g	Y_20181208_15794_26_23g	Y_20181208_15794_26_8g	Y_20181208_15794_28_4g	Y_20181208_15794_29_3g	Y_20181208_15794_29_5g	Y_20181208_15794_3_16g	Y_20181208_15794_30_5g	Y_20181208_15794_5_1g	Y_20181208_15794_5_21g	Y_20181208_15794_6_1g	Y_20181208_15794_7_11g	Y_20181208_15794_7_16g	Y_20181208_15794_8_10g	Y_20181208_15794_9_12g	Y_20181208_15794_9_20g	Y_20181208_15794_9_3g
0	32785.6523	24892.3594	28372.582	24531.1895	27558.4707	28316.0449	28605.7344	26109.666	28134.3828	28697.3613	26340.041	26580.7949	27950.957	27090.2441	24500.2207	26767.0449	29954.8984	32900.7578	29174.0918	28970.3301	30408.8223	27917.8418	28436.834	28833.4004	28218.2715	27467.6855	27086.7734	27752.8223	30545.4141	30913.6602	29981.5312	28408.7695	30671.1895	30095.0527
0.1334	32401.8633	24041.4336	29940.5195	22623.7871	27554.3125	27894.3906	30291.2012	26875.2676	29099.2988	27647.0977	26991.8848	26886.9668	28407.7695	26805.7695	25217.8086	25622.9473	30542.3809	32810.7148	29659.7129	28171.9121	29363.4922	28377.6211	27616.8262	28615.6016	29176.1465	27831.3379	25666.7012	26563.875	30204.5898	30568.541	29708.6445	28901.7812	30581.3711	29337.9766
0.2668	31638.0215	25066.6738	31117.9434	23921.7402	28312.0215	28336.5742	29365.0664	27058.2227	29670.2559	27323.916	27944.043	26493.2227	28361.1309	26927.8086	27284.0586	26157.6602	31256.5566	33708.4219	28375.7715	29348.9258	29957.4062	28683.7812	27852.9004	27745.8477	29606.3887	28598.6758	26906.002	28228.7871	30565.9473	30310.3047	30615.1934	28916.6855	31785.1328	29981.6309
0.4003	33127.2852	25584.9883	29235.3887	25068.9355	30445.0645	30933.9434	29785.4258	25823.1387	28000.3418	27496.6191	25956.8438	25582.3789	29768.4824	26028.5195	26013.7695	25620.7402	31252.209	35822.168	30703.252	28878.8555	29713.1133	27620.3223	26690.3477	29078.1055	28594.7441	28041.834	27786.9902	28585.332	30630.875	30594.3496	32124.4375	29943.2695	32086.957	29652.7441
0.5337	31457.2031	25378.002	29461.877	25332.7188	30375.0898	28737.791	28183.627	27335.6309	28770.2812	27792.9004	26834.7617	26262.1289	30258.9941	26044.5898	25577.2363	26186.2871	30308.2715	36145.6016	30175.2051	29352.2832	30321.5176	29287.3926	27589.6094	29110.7324	29303.1445	27593.2344	27253.1523	27618.7168	29502.5098	31043.1855	30807.4688	28803.7715	33254.7461	30531.6797
0.6671	31738.2109	24959.4824	30716.0488	25235.707	29376.8691	30283.2617	28058.3809	26458.3418	28620.2852	27775.3125	28045.1074	27113.6523	28560.0879	26945.1348	25447.1484	25211.4336	30283.8906	35735.0664	31306.0332	29870.0781	30517.4805	29902.2832	27840.2852	29559.1406	28592.2168	28449.9395	27386.2871	29029.2012	29931.2949	30637.1309	30010.7734	29280.1152	32076.1992	30529.3711
0.8005	30275.1328	24807.9316	32383.7051	24238.6875	29485.9629	30335.4414	28335.4141	26555.3105	29949.582	27152.2227	26543.9023	27526.832	30209.3203	27848.7637	26838.6426	27045.3574	29565.9746	34419.5117	30331.459	29738.1113	30711.9746	29350.1582	27644.2988	30487.9922	30560.5859	28326.8906	28070.5371	28644.3848	31002.5898	30936.4277	30162.418	30953.2754	32499.3984	31277.4902
0.934	31455.3301	24766.0527	31940.8633	25391.7715	29992.2793	28593.0332	29232.3516	27883.0586	29905.0898	27964.6406	26421.8887	28444.3965	33241.1367	26768.6816	25472.8672	25687.4531	30318.5059	33785.1992	31392.6094	30534.4648	30856.0879	28965.9453	29107.2598	29719.6719	29732.3457	28161.6621	29234	28128.7598	31854.3887	31505.207	30531.0723	29618.9668	33378.9102	33101.4023
1.0674	31505.2188	25707.541	31105.7793	26757.1484	30301.25	28882.8535	28853.7637	27594.5293	29661.8633	28226.8535	27786.5977	27881.8379	31251.6895	26426.6055	25684.8828	26409.7754	30799.1387	34474.5625	31610.7734	31249.541	29749.0938	29602.4258	28200.207	29858.3164	29379.3105	28545.207	28307.3633	28107.5977	30365.3965	31567.4238	31087.127	29383.0684	33019.7031	32448.7578
1.2008	32917.1094	26174.3594	30082.5449	25522.3418	31834.8184	28485.4102	28481.5879	28298.1172	28314.625	27339.377	27329.7383	27871.002	31565.4609	27506.3574	26829.4688	26323.3691	31099.125	34762.0352	32580.8105	31876.3047	30770.9102	28930.6934	28283.6172	29846.8262	30502.8379	27432.0801	28226.7676	27989.2461	31218.0215	31235.4668	31887.7988	29270.502	32459.6289	32824.3125
1.3342	32422.25	25295.3203	30741.7617	25570.082	29384.1211	28284.8184	29211.4141	28817.7773	29261.1406	27458.8926	28055.3184	27617.0059	29923.2715	27513.5566	25952.6895	26453.7285	30114.0742	33183.7539	33779.2422	31253.4492	29882.6348	29787.1973	28012.0703	29389.9102	31819.4141	28053.1543	27482.8574	29446.7109	32383.7539	31781.7656	29809.1777	29980.416	31289.4004	34567.4336
1.4676	33981.457	26428.0625	31003.332	25281.8516	30540.6562	29155.2578	29447.9023	30094.5898	29818.5254	28834.8242	28824.9043	28148.7617	30382.3086	28513.8027	26242.0332	27549.0039	29343.3359	33936.9844	31164.4824	31322.5762	30482.9219	30709.6152	28757.4453	30430.5039	30105.2793	28250.8691	28203.5742	27360.5957	31422.6914	33493.8555	30329.3398	29401.9961	32381.2012	32351.8535
1.6011	32257.9648	26154.9434	29876.2715	25691.0254	31127.6074	30555.0469	30927.6973	28364.0625	30229.0762	29773.2812	28915.332	29354.2441	30719.9453	28585.1426	25697.8906	27987.6172	31091.1699	33817.7422	33093.125	31638.1816	29477.3379	30475.2305	28925.5254	30070.418	30479.5684	29562.6914	30291.7812	27470.4785	32367.8359	32480.6504	32132.627	30914.498	32226.2285	34085.1211
1.7345	34499.5938	25584.6367	30525.5391	25653.4844	32103.2168	29929.041	29760.7832	29434.4531	31715.6895	28379.2969	30286.3086	29092.5957	31250.8555	27561.873	25415.9355	27593.3613	31635.6191	33163.0664	33420.5352	31582.5156	30260.6055	30574.457	28658.2207	30040.8633	30567.4375	28922.7109	29351.4219	28071.7852	31958.9863	32942.875	32043.7363	31216.6309	32171.9102	32458.5312
1.8679	35330.1875	25547.748	30543.8496	24781.293	33153.4414	30005.0742	30422.957	29970.5	30679.8848	29556.2461	29140.2559	28342.0664	29431.2383	28362.0078	25600.6426	28321.1582	32780.6328	33277.1914	32911.7422	31235.4004	30334.2441	30611.2539	28316.2832	30321.4258	31308.168	28782.1621	29145.25	28762.7656	31838.1191	32528.6289	33332.9414	30385.4941	30787.6348	34956.2969
2.0013	38034.3203	26013.0371	30169.707	26692.1289	31916.8828	30948.5547	34168.9727	29672.4219	29893.0957	28906.9551	28111.3125	28532.7754	30973.3379	28345.373	24861.75	28349.9961	31709.9902	34198.5859	34439.2812	31765.9023	30545.375	30309.9629	27881.8281	30397.6738	32738.875	29962.0898	28345.8672	28759.0176	31573.6016	33608.4453	35170.793	29879.9492	31477.1348	33407.3711
2.1347	40437.2539	27492.7363	32059.2793	26606.8281	31606.1875	30830.0039	39438.4727	29270.2656	30621.7852	30157.918	30295.9863	28728.7676	31110.2832	28872.9238	25525.4824	28357.2734	32302.4297	37013.7461	35522.207	32115.0508	33349.9414	30366.7949	28000.0977	30931.1934	32192.2148	29203.6094	28000.707	28803.7285	33954.7656	33383.7422	40274.3516	31051.3867	34094.8633	34884.9609
2.2682	46656.0742	26886.5938	32995.8789	29192.832	31418.5039	31302.5703	42921.2695	29097.3965	30188.084	30522.3418	29573.498	29485.8633	30922.0332	33518.8984	25697.1543	26767.207	32678.8809	38290.7305	38142.8086	32920.3516	36291.75	33567.043	29212.7461	33674.6211	34304.7812	29988.2539	29242.8242	32573.2812	38843.8672	35134.7188	53834.8711	30007.502	35449.9648	34368.9922
2.4016	55552.25	27784.9082	36105.0664	33454.1914	32647.7949	31740.6973	39888.418	30971.5957	31144.6348	32822.5898	30530.4277	33123.0742	32137.1562	39883.9492	27598.0488	28017.002	34820.082	44248.7148	41396.5	39685.1797	43676.9727	36343.1992	31574.0156	33085.3438	39093.1758	28640.5371	28912.8398	45034.3047	47719.3203	41866.543	77409.8594	30383.9258	39775.1367	36198.082
2.535	56727.0156	29822.6621	44388.2148	45034.293	33532.4219	36673.3594	35888.3438	29895.6953	30555.8711	37263.1914	31624.8164	40589.5352	33102.3242	44517.3086	26657.5195	29279.8691	39085.2617	55981.7617	47630.9805	53483.3594	56286.9297	47543.4375	34026.6875	36258.8945	48264.5117	29306.4629	29512.1191	66667.2891	46828.2305	51906.8828	86079.6484	31793.1875	48770.207	35278.8594
2.6684	43997.7344	38766.5781	53198.5039	64907.3945	35808.8008	45900.25	29542.3105	30870.9512	32044.6289	44703.0898	34733.7148	61741.7617	36387.9023	40580.5078	29758.5312	31788.5801	46400.6211	66956.2656	67063.9844	73221.7422	59763.6445	56790.9023	38101.4648	46880.4102	52859.8555	31321.7695	30112.875	89015.3984	41807.5039	60419.2383	66925.0234	35499.0352	53788.3945	37487.4102
2.8019	36685.5898	45530.8789	56784.1289	72660.3672	39932.1641	52427.9883	30587.7188	32023.2715	33666.5859	54096.7305	39633.793	82264.4609	48126.1445	33018.4414	33818.9297	39408.0391	47790.3164	58036.6602	87812.9609	79588.2891	48999.8711	50802.8906	47987.2148	65502.7656	43487.4023	36230.9102	30601.416	82476	35030.1406	48546.1172	46613.1016	44266.5156	45931.0938	39694.793
2.9353	33848.582	41135.8086	59460.3477	54573.2969	50927.4961	45099.5312	29061.959	37401.5742	35604.8789	46282.5977	48315.9609	77399.3984	67190.3125	28088.2891	38306.0156	50850.5781	39762.1016	43559.0312	76721.7422	66372.1016	38568.9062	39387.875	51622.1523	78261.0938	38250.8438	52211.5703	33713.7695	56148.6719	35455.3086	39495.4258	35731.4258	60576.668	37535.3867	50035.2578
3.0687	33399.6953	32842.5234	73287.0547	38617.1406	63938.6055	37987.4805	NaN	53362.6289	44449.8086	37184.7969	47891.2578	52198.3594	68114.6406	27790.2969	36358.1328	45983.1602	35358.9688	38411.3633	52305.6289	64270.793	33106.6055	34075.8398	43190.6992	66616.3906	34694.457	76073.0156	42477.5117	39190.1836	31796.2207	33904.4648	33409.8086	70825.9297	33536.7891	62030.2656
3.2021	NaN	26978.9453	70076.9297	30546.6777	62409.9297	33296.1875	NaN	79946.5469	65817.4922	30990.3164	37143.8633	39755.2734	48793.4805	27531.6816	29554.791	34936.5586	33220.5703	35543.1602	39886.9102	NaN	30859.9121	31695.207	34799.582	45688.4023	32519.2188	79746.8281	49315.0586	31635.5742	30893.4199	32893.8164	32439.166	54012.7266	32288.1211	56415.0938
