x	Y_20181208_15692_32_1g	Y_20181208_15692_32_7g	Y_20181208_15692_33_11g	Y_20181208_15692_33_14g	Y_20181208_15692_33_4g	Y_20181208_15692_33_6g	Y_20181208_15692_34_3g	Y_20181208_15692_36_11g	Y_20181208_15692_36_3g	Y_20181208_15692_37_14g	Y_20181208_15692_37_18g	Y_20181208_15692_37_4g	Y_20181208_15692_38_14g	Y_20181208_15692_38_9g	Y_20181208_15692_39_10g	Y_20181208_15692_39_13g	Y_20181208_15692_39_8g	Y_20181208_15692_40_13g	Y_20181208_15692_40_4g	Y_20181208_15692_42_11g	Y_20181208_15692_42_1g	Y_20181208_15692_43_2g	Y_20181208_15692_43_8g	Y_20181208_15692_44_11g	Y_20181208_15692_44_15g	Y_20181208_15692_44_16g	Y_20181208_15692_44_4g	Y_20181208_15692_45_12g	Y_20181208_15692_46_14g	Y_20181208_15692_46_23g	Y_20181208_15692_46_3g	Y_20181208_15692_47_11g	Y_20181208_15692_47_12g	Y_20181208_15692_47_1g	Y_20181208_15692_6_1g	Y_20181208_15692_7_11g	Y_20181208_15692_7_1g	Y_20181208_15692_7_7g	Y_20181208_15692_8_10g	Y_20181208_15692_8_5g	Y_20181208_15692_8_8g	Y_20181208_15692b_10_6g	Y_20181208_15692b_11_10g	Y_20181208_15692b_11_11g	Y_20181208_15692b_11_14g	Y_20181208_15692b_11_17g	Y_20181208_15692b_11_20g	Y_20181208_15692b_11_3g	Y_20181208_15692b_11_6g	Y_20181208_15692b_12_7g	Y_20181208_15692b_12_8g	Y_20181208_15692b_13_5g	Y_20181208_15692b_16_8g	Y_20181208_15692b_17_1g	Y_20181208_15692b_17_5g	Y_20181208_15692b_2_6g	Y_20181208_15692b_5_3g	Y_20181208_15692b_6_2g	Y_20181208_15692b_6_4g	Y_20181208_15692b_7_5g	Y_20181208_15692b_8_6g	Y_20181208_15692b_9_5g
0	14495.7471	10944.9512	10456.9004	12981.8926	12272.6494	11976.0674	12346.8271	11211.0176	12386.5879	12702.6162	14069.0254	10072.6328	12782.9482	11829.168	11794.4541	13140.6562	10811.7529	12389.0107	11051.8984	14586.915	11111.2588	12043.4131	10488.8838	12353.5547	11886.9941	12653.1875	11912.2588	10100.3896	11889.749	10323.6377	10728.6104	12893.4043	13006.7539	11648.3721	9819.2432	9971.9844	9567.415	10776.9316	12296.623	11542.8379	9764.1982	11948.2412	12671.4375	10882.5049	12491.4512	11316.2607	12278.8135	10848.7539	11944.0439	10340.0225	11305.1348	11552.376	10877.7842	14921.585	10471.2158	11621.0508	12843.8115	12167.1338	9378.6064	14648.04	13414.1748	12376.7129
0.1334	16168.9121	11961.9932	10135.0771	15790.6582	12758.7529	12607.5771	12772.6084	12969.3965	13386.3193	12909.2744	14073.4307	10671.3994	13618.7197	11427.5527	13307.3994	13314.5918	11226.5713	12928.1641	11804.0596	14242.8584	11215.0674	12634.5479	9521.1895	12219.4795	12524.0869	12544.7734	11922.1914	10782.1553	12584.5186	10412.79	12399.8555	13337.2744	14373.5352	12358.3867	11037.959	10911.0645	10176.3223	10633.3496	13702.6748	13022.3086	10595.7109	12970.6543	12758.7354	12160.7393	14080.1426	11453.1914	12872.3271	11159.3389	12657.6338	10909.2227	11889.917	13625.7061	11397.3438	16136.7021	11933.9385	13023.8496	13446.8682	13985.9746	10032.3584	14540.2627	15056.6182	12425.9639
0.2668	21238.4707	14867.1855	11141.5586	18260.748	15213.1328	13591.5322	14139.9971	13948.4141	14066.708	13755.7168	14290.0615	12246.4307	15246.749	11534.4248	16670.6641	14724.4746	12688.3691	15205.3828	12240.6582	15204.1338	12881.0586	13722.5273	9952.8535	13302.4922	14795.7324	14215.0703	14467.2227	11463.6445	13762.0293	12245.8721	12820.1729	14718.8867	17370.1348	14060.3604	13063.8555	12738.124	11526.6777	11875.4932	15093.3994	14853.3662	11534.8047	13517.3281	12770.5371	15850.4727	15724.5742	11946.1807	14852.6719	13636.9775	14233.1689	12470.748	13576.8896	15679.1533	12733.4844	17844.0312	13049.3828	14660.3877	14173.8477	15764.8252	11971.1758	15796.9229	17945.5508	11893.7021
0.4003	20297.7188	17449.0195	12966.6348	17176.5508	18048.8926	15643.6514	15434.2949	14940.6191	14446.8262	17061.2578	15871.1592	15408.2617	17421.0645	12300.6182	19425.1758	15185.4443	13594.3076	16332.0605	13482.5527	15984.6641	15875.4502	14607.04	11460.1104	14319.1182	16140.8574	15555.7021	18754.4453	13335.1572	15265.5732	14839.2529	13009.5361	16442.5547	20296.4785	17610.2891	17845.7402	14722.1484	14730.7383	15442.9834	14594.1396	16571.9551	14046.8525	13361.3545	13714.4961	16834.2402	15865.001	13754.8701	16064.8535	16332.2969	16571.4434	13184.1543	17631.7969	14700.9307	13900.8662	20196.3496	14962.8604	16818.6309	14692.416	17020.4141	15210.9014	17488.8672	20001.6289	12246.4219
0.5337	19511.5234	18065.5547	14697.9971	15914.667	17548.7812	16316.6035	16073.207	15585.9395	15578.8818	19318.7012	18294.668	18728.1797	17672.9004	13250.3818	19736.3457	16780.4785	16097.0986	18028.2695	15501.0938	17315.2129	19728.9941	15300.1836	13878.2344	14831.4678	16104.5537	17502.1797	20301.3516	15848.7373	15060.5664	16707.1992	12218.0107	15572.5879	18965.3145	19386.6445	18984.6855	16777.2949	18980.0215	18031.9336	14426.71	15412.9648	18475.0625	11852.3418	16126.7002	15604.8027	15860.1582	15730.0176	15744.1846	15989.8643	16153.0654	13985.7959	19238.1055	13493.9727	15401.2803	20429.8828	15824.0732	19262.2344	18366.793	16676.2871	15013.5098	21608.3633	20262.0781	12660.7227
0.6671	18374.9395	17606.8945	15921.8652	15093.8438	16065.1807	16143.3418	15727.3662	14333.1953	15860.0879	20605.5801	18425.1152	17436.9844	15413.9854	13532.3604	17010.4766	17321.3008	15312.5498	18009.127	17972.3477	17187.4023	18924.7422	14215.666	15983.1289	14843.0029	15419.0312	18812.1445	19554.1035	16369.0391	13579.2266	15443.9639	13473.8076	15543.4932	17019.1855	18214.4414	16554.1309	16676.5742	19216.791	18504.418	14016.6768	14962.9336	21775.1914	11688.3174	17243.582	14670.75	14733.3818	14941.7832	14938.6338	14567.6016	16076.2168	13841.2012	19366.918	13474.8857	15462.8789	17987.3867	16703.8301	22187.4102	21278.207	15439.0088	13895.9512	24509.9219	18585.1133	14009.3105
0.8005	16510.3906	17562.3887	15129.2607	15719.0576	15177.6953	15072.6162	14321.1855	13824.457	17368.9395	18374.2188	15689.9365	16046.5576	13953.5713	13287.9834	15812.6914	16566.7441	15179.0029	16677.9414	19294.2812	16485.375	15975.377	14667.5986	15719.5293	14710.0332	15055.2119	20316.8184	17770.9375	15664.2822	13713.8184	13731.7373	12981.2373	14890.9883	17136.2148	17467.4082	14194.2266	15666.1279	15774.1924	17237.4805	13632.8281	15003.1328	22285.5488	11824.1094	16497.3164	13655.8896	14782.9746	14399.3994	13382.8096	14601.0166	14875.0869	13275.0576	16424.5215	13338.0859	14372.9775	16081.3574	17831.6797	24458.5078	20200.8027	15551.2061	13710.209	21921.3008	17434.8594	15941.7266
0.934	16647.0664	17615.8828	14469.0527	15025.5537	15503.542	14720.4434	14609.0312	13141.7393	15741.4336	17392.8066	13799.6299	15391.9912	13492.5879	12624.9736	15696.6885	15132.4639	14591.5625	15174.6367	18222.8008	15530.0088	14623.7891	14486.3818	15898.6201	14652.626	15533.585	17573.1895	16572.7598	15899.0439	12813.9766	14186.8945	12056.1475	14838.8916	15473.4219	16736.0527	13689.8525	14590.1543	14238.3613	15963.7725	12765.957	14725.1143	21400.4688	11766.5332	16278.5801	13655.1904	14999.0488	13636.1064	12824.8203	13758.6992	14081.1436	12906.3994	15587.0625	13625.1338	13726.0342	16393.1016	17226.1777	23853.291	18608.1172	16181.25	14020.1426	18059.2598	18173.9219	16703.2109
1.0674	15481.7881	17159.7832	14093.7607	13985.7168	15055.3047	14320.043	13895.5391	13180.2998	16201.7969	17576.9941	13489.6768	15143.6299	12688.9756	12442.1953	16015.4248	15808.1953	13718.9424	14696.7314	16878.4902	15228.4424	14118.2656	14020.5459	15044.5361	14892.3008	16472.3203	15344.3818	15075.7852	17016.7539	13285.4336	13859.1182	11293.2266	14775.9805	15233.666	16537.2559	13291.7764	14241.6543	13769.2148	15360.6309	12277.208	14446.2373	18378.7246	11057.0146	15074.8662	14082.5283	14419.3809	12439.9697	12497.8037	13994.9678	13388.0859	13680.1807	15629.7822	12882.4902	12926.1895	15663.0928	16184.1406	19446.6719	18559.125	14953.7266	14012.7295	16871.5508	19037.7949	17355.9297
1.2008	14726.9902	17241.8887	13852.459	13522.6377	14106.1387	14658.4219	13805.8701	12478.9453	16805.2637	17342.5273	14641.8193	14940.0439	13085.4512	12879.5703	16945.4668	16973.8438	12824.6035	13987.54	16722.9688	14535.5332	15294.6426	12569.9785	14728.0566	14524.9043	16145.2871	15163.6885	13678.4951	15815.5322	13816.9229	15371.9736	10862.5527	15350.6191	14044.1514	15444.4824	13189.4121	13451.5625	13512.2441	14479.5957	12680.0801	13891.9482	16950.1504	11324.8701	15128.7803	14021.2607	15003.0459	12296.165	12822.6494	13426.3799	13415.626	14535.8359	15609.1484	12238.3691	12537.5352	15931.2012	15884.5879	16324.416	17436.1113	15534.2852	13675.8799	16391.4375	18078.8223	16580.1914
