x	Y_20180130_15100b_13_1g	Y_20180130_15100b_16_10g	Y_20180130_15100b_16_8g	Y_20180130_15100b_2_11g	Y_20180130_15100b_2_3g	Y_20180130_15100b_22_13g	Y_20180130_15100b_23_11g	Y_20180130_15100b_23_2g	Y_20180130_15100b_23_9g	Y_20180130_15100b_3_1g	Y_20180130_15100b_5_10g	Y_20180130_15100b_5_24g	Y_20180130_15100b_7_17g	Y_20180130_15100b_7_5g	Y_20180130_15100_3_13g	Y_20180130_15100_5_14_2g	Y_20180130_15100_5_2g	Y_20180130_15100_6_19g	Y_20180130_15100_6_5g
0	36506.773	38951.047	37856.016	37956.164	34173.391	38587.973	33419.055	37485.516	36364.895	39996.074	33917.309	38514.551	36718.719	33354.363	41530.615	39883.8825	40159.7275	38273.285	38354.73
0.1334	36308.074	37739.027	40676.402	38775.629	35473.652	40651.504	33617.395	38269.84	38556.91	37447.73	34597.789	38925.605	37476.812	33814.125	41923.0525	41796.1175	41325.4925	39587.505	38989.7975
0.2668	36988.859	37871.277	39879.719	37919.816	33648.238	39800.145	32086.336	37283.086	38157.332	37298.945	33207.117	39882.594	38183.184	34949.371	40063.8275	40590.02	39336.185	39594.1375	40878.4825
0.4003	37420.164	38259.238	40439.609	36925.848	35155.238	40215.453	32440.846	37521.129	35973.637	37457.633	31702.428	40221.406	39030.832	33737.262	40118.445	39089.34	40906.6025	38136.425	38412.5125
0.5337	37854.793	39716.293	40236.203	37418.066	34757.004	38835.004	33832.434	36694.684	37642.707	39027.43	32619.26	38903.051	37854.691	31724.977	42616.3825	42120.1475	41081.265	39791.5975	42091.855
0.6671	36654.488	37567.703	38004.816	37095.656	34519.594	38202.699	33454.773	36270.961	37080.566	38213.574	32481.434	39774.453	39265.508	33215.719	42076.5875	39830.68	39468.83	41519.0725	38218.4075
0.8005	38519.129	38384.773	38617.016	36843.672	34738.648	39632.508	33980.641	37018.625	39194.477	37867.691	31751.346	40611.062	39108.059	33739.496	38808.07	40421.96	40737.9525	38598.6175	39400.22
0.934	38481.113	39454.215	40295.918	36472.031	35474.414	40083.062	33197.637	36942.988	39652.902	37503.781	31777.537	39796.336	39732.648	32498.943	39698.67	40387.665	38151.6525	39320.27	38871.7175
1.0674	39306.719	39464.395	39872.254	37135.801	34980.32	38234.383	33943.812	38799.27	39161.633	38204.445	31837.172	39545.461	40609.559	33869.672	39974.9625	42058.58	39524.2475	39213.965	43237.74
1.2008	39941.785	41493.484	41248.035	36463.234	33924.941	37370.512	33593.613	37437.578	39164.234	38317.051	31608.086	39644.75	40425.117	34150.594	40448.505	41468.8475	39050.095	41098.4625	39609.9175
