x	Y_20180224_15100_10_1g	Y_20180224_15100_10_4g	Y_20180224_15100_10_6g	Y_20180224_15100_10_8g	Y_20180224_15100_11_3g	Y_20180224_15100_11_4g	Y_20180224_15100_12_11g	Y_20180224_15100_12_1g	Y_20180224_15100_13_10g	Y_20180224_15100_13_8g	Y_20180224_15100_15_5g	Y_20180224_15100_16_5g	Y_20180224_15100_16_6g	Y_20180224_15100_16_7g	Y_20180224_15100_17_1g	Y_20180224_15100_17_5g	Y_20180224_15100_17_6g	Y_20180224_15100_17_8g	Y_20180224_15100_18_3g	Y_20180224_15100_18_4_2g	Y_20180224_15100_18_8g	Y_20180224_15100_19_11_1g	Y_20180224_15100_19_11_2g	Y_20180224_15100_19_17g	Y_20180224_15100_19_2g	Y_20180224_15100_19_3g	Y_20180224_15100_19_5_1g	Y_20180224_15100_19_5_2g	Y_20180224_15100_19_7_1g	Y_20180224_15100_2_1g	Y_20180224_15100_2_5g	Y_20180224_15100_2_8g	Y_20180224_15100_20_10g	Y_20180224_15100_20_11g	Y_20180224_15100_20_2g	Y_20180224_15100_20_5g	Y_20180224_15100_20_6g	Y_20180224_15100_20_7g	Y_20180224_15100_21_5g	Y_20180224_15100_21_9g	Y_20180224_15100_23_4g	Y_20180224_15100_24_5g	Y_20180224_15100_26_2g	Y_20180224_15100_27_4g	Y_20180224_15100_28_6g	Y_20180224_15100_28_9g	Y_20180224_15100_29_3g	Y_20180224_15100_29_6g	Y_20180224_15100_29_7g	Y_20180224_15100_30_3g	Y_20180224_15100_30_4g	Y_20180224_15100_30_6g	Y_20180224_15100_31_4g	Y_20180224_15100_32_1g	Y_20180224_15100_33_1g	Y_20180224_15100_33_3_2g	Y_20180224_15100_33_5g	Y_20180224_15100_33_7g	Y_20180224_15100_4_5g	Y_20180224_15100_6_7g	Y_20180224_15100_7_11g	Y_20180224_15100_7_1_1g	Y_20180224_15100_7_2g	Y_20180224_15100_8_2g	Y_20180224_15100_8_6g	Y_20180224_15100_8_7g	Y_20180224_15100_8_8g	Y_20180224_15100_9_10g	Y_20180224_15100_9_4g
0	14483.207	16445.221	14401.29	15099.682	14714.783	13244.156	15478.644	16327.54	16530.258	14447.796	16878.953	15883.463	18397.389	16171.228	12842.856	16769.455	15116.915	16587.012	15604.31	15414.5	15395.442	16860.6	16655.973	18216.588	17879.711	14896.9	16186.83	15435.019	14730.862	14923.01	15728.8	16309.625	14054.319	15727.942	15754.648	16188.728	15958.972	16110.734	16149.568	15553.948	14172.08	13632.482	13994.255	15890.076	13687.284	18477.637	13977.49	15830.188	13888.188	15577.775	17512.646	14070.989	15873.2	17276.113	15678.865	13230.963	16537.988	14657.259	19001.879	15534.569	16683.174	13376.322	16154.468	17133.096	15535.632	13755.84	14788.946	17460.656	13534.4
0.1334	15423.771	17739.543	14763.475	14607.938	15506.847	13572.353	16661.379	17597.674	16192.009	14277.208	17245.859	16417.236	18023.16	15767.246	13740.436	17240.41	16171.52	17561.941	16286.629	16388.908	15455.179	17395.617	20180.639	19202.521	17531.795	16122.043	17739.014	16453.371	14998.63	15483.79	16962.178	16599.299	15972.604	16774.654	16002.396	16722.312	16076.888	17053	15925.796	16374.973	15328.681	14896.535	14220.189	15977.904	14525.045	19594.328	15127.318	16117.792	14650.98	16162.471	19307.875	16418.135	17579.656	18012.084	15420.612	14024.39	15956.287	15095.438	19508.768	14867.76	17415.531	13813.251	15853.899	17612.824	16746.982	13799.163	14134.416	17386.043	13886.464
0.2668	16362.773	18679.916	15945.851	15314.179	18226.756	15089.853	17136.666	19180.131	16211.739	15178.306	21478.631	17445.916	20245.643	16466.873	14045.997	18507.951	17836.145	19095.793	17098.715	20013.234	15882.598	20245.479	25093.479	21824.152	18846.664	18682.061	19113.264	20467.355	18094.275	16179.306	18266.461	17947.582	18359.961	18362.121	18832.258	17808.254	17691.463	19518.857	15779.556	17182.193	16396.115	17351.811	15529.001	18011.16	16402.959	25294.266	16154.694	16770.061	18953.541	16710.254	25011.689	20333.562	20870.379	18983.148	17596.793	16225.076	16559.605	17965.178	20366.357	16187.912	20234.773	14950.988	16768.605	19923.803	17489.768	15297.613	15998.167	19482.986	15208.327
0.4003	19097.445	20876.594	17755.318	18471.768	22533.371	18981.76	17732.711	24074.846	17413.529	18535.041	26377.52	20454.941	24758.852	17097.113	15891.884	21554.008	21287.441	21169.094	18986.748	22472.242	17746.98	22663.977	27051.078	26793.693	23721.074	22121.389	21819.125	21434.107	21136.273	18152.734	20657.672	18643.16	18633.523	20385.561	20774.27	21140.973	21449.785	22911.057	17245.23	19303.799	18290.201	20443.922	19458.789	21603.785	20222.053	33754.316	16972.305	18309.039	23463.389	18181.602	29388.697	24712.713	26238.336	19913.721	19402.91	18834.482	17276.371	24538.908	20879.836	18036.936	25563.877	18471.25	18915.676	23965.453	21740.785	16878.785	22789.375	23301.365	15721.856
0.5337	22657.367	26455.807	20428.725	18905.27	28328.467	25062.148	20198.215	24556.43	20875.209	24767.281	26793.24	29250.635	33976.398	20012.406	19254.441	25518.184	20996.469	23136	23350.785	19853.723	20194.148	22528.092	23387.768	26707.814	26810.83	24122.488	23008.602	21302.283	21341.055	22623.801	21959.361	19872.609	17337.479	25143.43	21580.994	24147.85	25194.783	21822.1	20043.484	25146.871	18041.611	24777.312	24952.883	21146.217	25210.75	36703.141	16050.316	18567.691	26228.793	19441.629	27098.699	24509.516	22916.541	23910.402	19984.219	20167.82	19282.92	29695.869	22936.957	18281.848	27258.803	22575.221	24740.551	28051.586	25667.086	15552.676	28818.938	25464.309	19491.609
0.6671	24683.6	29329.857	19492.367	17699.145	28568.428	26015.764	24889.143	22288.623	24344.98	30732.531	23513.746	33503.129	35984.973	20065.344	19870.238	23557.582	17838.539	21843.67	29281.338	18808.152	19894.699	20613.139	20798.816	21787.109	22919.936	21014.178	22173.248	21650.098	21165.598	26326.432	20954.801	18718.73	15712.512	27440.432	19017.857	21657.895	26910.303	20634.512	21843.797	28842.988	16965.635	25693.115	25257.967	21378.912	23260.658	32504.029	15207.192	18092.219	22300.861	18509.414	26945.359	21801.189	18402.959	28737.904	19091.199	19497.447	19683.586	26626.385	26375.666	17090.242	23115.773	23612.664	26910.652	28786.73	26639.391	15228.583	28335.34	23717.334	24397.236
0.8005	23851.156	26878.705	19108.832	18649.764	25443.184	21822.582	31688.76	18994.191	23976.459	29740.592	20931.742	29353.932	27581.926	18085.512	18540.562	19534.924	16565.98	19067.336	26399.949	19136.764	18790.902	17605.512	19927.064	19226.199	19329.611	19321.803	22440.656	20946.074	20194.568	27841.324	23815.26	17699.117	15431.028	24180.271	17373.467	19476.047	23470.293	19355.186	20275.881	26626.643	16213.302	24570.629	21025.768	22866.906	19857.549	26966.359	15655.204	17223.35	20335.936	17525.891	23533.812	22448.82	15628.585	29812.545	17937.652	19521.205	18024.373	23677.426	31941.211	16445.645	19373.775	19117.93	26717.838	27094.498	24950.662	14957.209	24053.355	22060.523	25619.25
0.934	20656.086	23346.355	21429.324	19889.217	25058.146	18978.061	31798.172	18392.906	21649.695	26940.354	20202.611	26819.961	21869.248	18153.383	16125.397	17700.396	16770.744	16693.693	25196.166	17890.369	18306.215	16455.113	20748.51	18663.057	18460.865	17701.229	21229.314	19489.508	19920.684	25456.633	27389.84	16280.898	15177.29	21389.434	18724.342	17248.443	19236.748	17652.133	17430.018	22906.178	15221.236	21953.289	17915.102	20387.295	17584.793	23615.977	16336.488	17333.615	17197.389	19306.443	20749.816	20457.258	14401.562	25867.945	16032.27	19543.062	16399.035	23165.129	32819.191	17052.482	18611.184	18293.998	25445.326	25248.406	20464.576	15689.024	23592.658	21422.906	20759.25
1.0674	19515.305	21025.902	21278.896	21626.822	26240.75	16939.289	28885.412	17667.355	19691.422	26719.508	21263.998	24716.178	19245.459	19589.65	17179.449	17058.098	17183.449	15559.111	24569.32	18236.164	16512.633	16903.797	20586.201	17888.922	17427.693	20131.092	20463.854	19098.619	20286.746	24648.834	25458.797	16735.941	15455.419	20376.652	20822.266	16047.786	17623.016	17763.447	16920.691	20659.502	15134.714	19909.912	17630.473	18757.59	17421.094	23270.83	16294.698	17746.336	17183.199	20973.645	18430.863	20141.195	15414.024	25179.268	15083.245	17060.586	16389.16	23654.561	27712.529	17873.869	18788.711	17038.391	23870.6	25259.65	17600.959	17715.6	24398.283	22482.408	18235.438
1.2008	21658.391	20726.564	22200.219	22187.887	25012.047	15236.711	23003.465	17130.385	16873.855	24832.859	23434.684	23453	20959.984	21408.861	16530.553	18301.418	16663.814	17076.92	22434.205	18321.723	15466.048	16756.387	20794.529	19382.545	17374.1	20335.555	21035.414	19279.135	19063.564	23791.498	25312.252	17354.703	16073.049	19135.65	23978.902	15691.372	16901.508	17254.557	18250.754	19479.615	15992.685	19510.863	17254.631	17763.025	18665.48	25496.021	16238.623	18202.451	16813.936	22813	17417.891	20879.014	18068.209	24069.742	15260.674	16383.908	16035.711	21985.232	22344.451	17662.029	17713.156	16279.233	22692.1	26182.43	16034.297	18481.178	25177.734	24623.953	16137.9
