x	Y_20181208_15100_1_4g	Y_20181208_15100_18_2g	Y_20181208_15100_9_2g	Y_20181208_15100b_13_17g	Y_20181208_15100b_20_5g	Y_20181208_15100b_21_6g	Y_20181208_15100b_22_8g	Y_20181208_15100b_27_12g	Y_20181208_15100b_3_2g
0	11141.5176	11810.2803	10536.6318	11159.5527	10821.79	12206.6387	9446.8516	11842.127	9208.0635
0.1334	12452.0361	12631.4736	13739.3447	11530.6934	11793.0371	12192.4639	9511.8701	12306.2871	9983.8506
0.2668	15631.0332	15763.501	20825.4453	11483.2607	14204.1699	12782.498	10023.6816	14504.1533	10951.8359
0.4003	19193.8672	19787.25	24366.5293	11974.792	17676.9492	15906.3281	11085.4424	19210.2344	12339.5371
0.5337	20419.8828	19366.3828	20652.7129	13810.4873	17376.5195	19260.1719	14554.3906	21734.4141	14217.4004
0.6671	17742.3105	15955.7383	16941.3242	16476.8613	16299.0195	19547.8184	20545.1113	20094.625	14218.6729
0.8005	15529.2285	16165.8174	14787.292	21147.623	14671.6416	18176.2676	21184.3418	18495.5195	13222.9521
0.934	14230.332	19681.3711	14379.7139	23416.0566	14986.3389	15721.459	16149.502	18247.3555	12765.1611
1.0674	14785.3086	21864.6152	14020.6689	20061.875	16453.1289	13826.4473	14371.2822	17761.0918	12545.2676
1.2008	15045.6348	22206.541	14006.4033	16536.8848	16077.709	13518.1494	13336.6582	18037.1406	12936.6387
1.3342	16684.5605	20529.0723	13916.7461	15236.9619	14699.9092	13063.1953	12441.0615	16908.1543	12273.499
1.4676	18476.8105	19087.709	13557.1162	14296.2129	13629.6807	12885.1904	12713.7871	15095.2734	12534.2793
1.6011	17087.0488	17795.9531	14603.8047	12703.2432	13034.7607	12218.748	12938.4482	14556.3594	12536.9668
1.7345	15963.3789	16598.9922	15242.7891	12248.0879	12861.0791	12570.9062	12985.2725	14323.9834	13917.7832
1.8679	14497.335	15456.2197	15764.5195	12752.9414	13940.6074	12480.9541	12880.0996	14234.041	14185.4521
2.0013	13302.6523	16029.5127	16334.6523	12703.6885	14711.9121	12338.2002	13626.3213	15530.5684	13059.5996
2.1347	13606.4883	15325.7432	14966.9746	13657.2959	15793.0488	12628.377	14652.6572	16172.9795	12467.9365
2.2682	14161.9697	15199.5576	14579.7783	14981.0498	17080.6543	12893.2695	14393.8174	16787.5391	11772.8232
2.4016	15013.9902	17196.7793	14243.2041	15374.1602	16961.7539	13445.5703	14270.9375	16539.8438	11877.4395
2.535	15806.9873	17844.123	14050.4287	16419.6875	18601.7793	14501.5303	14326.9004	14820.4336	11823.792
2.6684	16625.9297	18194.6426	13819.833	17616.9102	20401.1465	14746.4434	14343.7949	14278.3721	12060.4277
2.8019	16394.6406	20230.5605	13704.1846	18764.0723	19625.9121	16059.9443	15064.5566	14591.167	12335.8535
2.9353	15173.3564	17497.4531	13675.6348	19427.3398	17832.5664	15523.7266	14142.5605	16670.8633	12272.4893
3.0687	14458.96	15977.0811	13551.7051	17910.248	16305.6113	15184.0264	15223.6562	17194.4629	12245.1514
3.2021	13965.707	15102.8359	12920.0781	15084.6455	14723.4648	14097.8965	17116.4395	17493.2402	13258.873
3.3355	14155.9141	14343.7949	12014.252	13049.5645	13831.835	12735.0166	17828.3691	18319.9199	15295.0254
3.469	13085.3369	13411.6826	11351.21	12040.9229	13371.5967	12234.6074	16535.9551	17549.627	15519.0557
3.6024	12983.2412	13534.2256	11026.2676	11430.6719	13986.8242	12750.71	15690.1504	17595.8438	15088.335
3.7358	12949.8545	13412.6787	10271.3877	11928.3926	14223.3467	12237.0605	14739.5801	17601.2148	14803.7295
3.8692	13189.8057	12791.25	10415.2695	11667.626	13800.5117	11771.5957	13174.6904	16914.5527	12785.1387
4.0027	12920.9023	13076.2891	10341.3135	11358.0381	12576.6074	12242.9336	12852.624	14761.3818	13519.9492
4.1361	12065.8828	13196.3174	10567.7783	11168.2402	13054.9014	11872.0391	12298.918	14863.5342	13569.1504
4.2695	12072.8262	13342.4873	NaN	NaN	13422.4189	11643.1484	13022.4209	13228.0244	12786.8477
4.4029	NaN	12769.2393	NaN	NaN	NaN	11295.4111	12301.9854	13088.2637	12826.3066
4.5363	NaN	NaN	NaN	NaN	NaN	10896.002	12774.2002	12598.3115	12637.9092
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	13264.5	12141.7471	12551.3398
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	12005.0635	12187.7803	12861.998
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	12114	12623.5801	13976.0986
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13374.3633	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13825.7295	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13067.8848	NaN
