x	Y_20181208_15100b_11_5g	Y_20181208_15100b_13_3g	Y_20181208_15100b_16_4g	Y_20181208_15100b_16_8g	Y_20181208_15100b_18_6g	Y_20181208_15100b_19_3g	Y_20181208_15100b_20_9g	Y_20181208_15100b_21_11g	Y_20181208_15100b_22_10g	Y_20181208_15100b_22_4g	Y_20181208_15100b_27_1g	Y_20181208_15100b_27_7g	Y_20181208_15100b_6_4g
0	11270.1289	10374.5234	11271.7051	12511.1973	13617.7695	10736.9932	13430.2217	13766.1396	13117.5195	12223.5547	6357.3164	10547.7832	12534.7598
0.1334	11767.3438	11173.9717	12173.915	13705.3848	15443.0469	11008.6514	13671.5186	13312.1797	13520.9678	13118.3564	6983.8242	10889.7959	13161.8262
0.2668	13838.4414	12891.1113	13686.9453	14927.7432	17250.0039	11597.8135	15235.0479	14096.4453	13992.0293	14645.415	9344.9355	11738.7109	14186.7607
0.4003	18627.4062	16754.1465	16009.3682	16958.0547	19276.8574	14048.1631	18056.1328	14348.2783	14900.6855	18087.7148	19411.8359	13050.4727	15933.4473
0.5337	22165.4844	20968.0684	15199.6855	19025.2051	18855.793	17144.8008	19713.1543	15848.0596	17107.3164	22252.1875	20797.0234	14282.3691	18191.375
0.6671	22430.3184	22500.7461	13151.2568	18710.0762	16598.3223	16209.5176	19132.4863	17586.6699	20593.3516	22677.0977	16890.5449	13989.2129	20690.5059
0.8005	18867.7754	22491.2461	12366.1035	16142.1631	16065.46	13120.2031	18687.1406	19291.3418	22218.666	20296.5879	13913.6279	12558.1367	18056.0742
0.934	16920.4609	19153.748	11746.8086	15213.1113	15178.0537	11768.9551	16490.0938	17987.75	22086.709	17442.4609	12498.6836	12309.3594	16191.2207
1.0674	16023.6348	18472.2617	11445.3584	15808.8086	14956.5605	12294.8535	14830.4707	15264.8711	21660.6016	16707.9219	12060.6904	12173.208	16796.127
1.2008	14556.5967	17228.4824	11656.0928	15690.4531	14760.0723	11879.4131	14864.2188	13736.249	19040.2012	17388.0215	14180.9863	11585.6436	16249.2881
1.3342	13543.874	16528.1172	11640.1533	14824.3252	14072.8125	11776.8984	14079.8252	13865.335	17226.9746	17039.1699	14281.6309	11136.4434	17008.6133
