x	Y_20180130_15100b_11_12g
0	36953.824
0.1334	37238.062
0.2668	38375.262
0.4003	37523.242
0.5337	38044.832
0.6671	37266.332
0.8005	36248.141
0.934	36880.391
1.0674	37189.816
1.2008	37268.5
1.3342	37273.715
1.4676	38371.961
1.6011	36496.266
1.7345	39189.781
1.8679	38401.203
2.0013	37683.078
2.1348	37901.98
2.2682	37853.551
2.4016	38444.277
2.535	39609.512
2.6684	45086.047
2.8019	54167.734
2.9353	64889.867
3.0687	65234.84
3.2021	52075.895
3.3356	41511.508
3.469	38419.59
3.6024	NaN
3.7358	NaN
3.8692	NaN
4.0027	NaN
