x	Y_20180224_15102_10_1g	Y_20180224_15102_11_1_s_g	Y_20180224_15102_11_3g	Y_20180224_15102_12_10g	Y_20180224_15102_12_12g	Y_20180224_15102_12_1g	Y_20180224_15102_12_2g	Y_20180224_15102_12_6g	Y_20180224_15102_12_7g	Y_20180224_15102_14_2g	Y_20180224_15102_14_6g	Y_20180224_15102_18_4g	Y_20180224_15102_18_6g	Y_20180224_15102_20_5g	Y_20180224_15102_22_4_S_g	Y_20180224_15102_23_4g	Y_20180224_15102_23_5g	Y_20180224_15102_24_4g	Y_20180224_15102_24_6g	Y_20180224_15102_25_15g	Y_20180224_15102_26_3g	Y_20180224_15102_26_5g	Y_20180224_15102_26_6g	Y_20180224_15102_27_1g	Y_20180224_15102_27_3g	Y_20180224_15102_28_8g	Y_20180224_15102_2_7g	Y_20180224_15102_4_10g	Y_20180224_15102_4_7g	Y_20180224_15102_4_8g	Y_20180224_15102_5_1g	Y_20180224_15102_7_8g	Y_20180224_15102_8_1g	Y_20180224_15102_9_5g
0	12763.939	13080.528	11800.711	13045.184	12502.217	12600.312	12124.438	12658.822	15331.705	14166.955	18814.205	12541.649	13901.968	14436.408	14719.169	13709.3	14712.126	14262.689	13163.636	13307.971	13078.114	12372.418	13742.51	13151.463	12639.715	14023.619	15194.996	12948.308	12854.637	13579.875	18796.559	20840.73	10812.687	15045.634
0.1334	13512.704	12980.963	12541.837	15086.302	13350.605	14032.759	14169.291	14010.006	18712.625	15282.061	21448.85	13823.648	14368.591	16819.691	15589.59	14130.475	17400.736	15605.85	14420.96	14058.566	13743.378	13203.878	15057.969	13250.107	13697.552	15759.024	15977.413	13653.415	14463.599	15810.976	20104.438	29041.869	11917.501	19735.648
0.2668	14222.405	13528.863	14480.646	18713.533	14812.858	18921.521	17800.018	16024.488	28363.422	20938.871	29264.348	17032.043	18038.859	23038.822	17830.488	16235.014	18982.916	18394.016	19303.891	15714.065	15579.43	16485.227	17592.42	15827.409	17063.473	18295.164	18612.715	17687.852	17277.209	19127.076	26976.25	31945.58	13121.228	28965.393
0.4003	19600.396	15754.651	18680.084	22586.693	18730.859	23458.379	21410.67	21748.445	42201.18	27091.799	34326.895	23521.971	27825.535	27631.35	22392.494	22993.986	18982.738	25519.883	27505.348	19974.377	23154.244	21565.15	25382.389	16285.1	22881.627	23159.096	23515.678	20894.414	20408.211	26445.814	34006.918	26920.975	15852.113	38497.637
0.5337	25674.127	19533.629	27655.223	23226.75	19434.096	24338.473	20918.949	30440.221	47339.254	26983.238	30561.246	27568.236	38121.082	26748.914	25707.25	30966.061	19384.965	35680.008	32810.641	23473.93	29285.232	25270.572	33754.93	16921.35	28159.938	36452.164	33325.895	22776.66	21770.391	33974.504	35471.988	21958.406	19256.307	36636.129
0.6671	29661.371	20756.857	38846.277	21116.168	19519.141	23461.906	20036.459	34249.828	43096.492	23932.547	25781.393	26376.143	39310.84	25303.254	24865.889	35805.898	20049.174	40111.156	29608.516	23813.793	31546.408	24685.277	37070.91	15919.194	29553.92	58430.809	43158.023	20132.844	18642.283	32023.848	30696.023	20384.883	20717.311	31528.721
0.8005	27168.389	19284.482	40947.703	20610.891	18238.174	20118.689	19730.271	26880.98	38220.824	22630.176	23620.979	22792.98	34042.742	23528.541	23616.014	32417.029	19976.131	34783.086	25378.406	22937.785	25273.812	21980.967	38996.688	14524.014	28326.199	70075.43	43195.367	19142.393	17056.602	28113.025	25551.184	22114.578	20243.791	25489.779
0.934	23486.326	18419.045	34050.5	21564.848	17953.924	18552.262	17242.531	19630.605	31477.424	21529.625	22144.141	21520.912	28761.582	23576.711	23339.867	29551.061	18695.688	30349.488	21863.439	22810.145	20013.658	19325.621	36684.129	15604.918	23512.156	55204.48	36430.285	17446.518	15424.553	23926.988	23674.439	21230.133	19606.082	22560.496
1.0674	21314.066	17587.09	26935.18	22090.236	17746.111	18769.457	16237.274	16899.299	27782.764	19892.367	21713.777	21005.152	28521.59	22354.959	23109.322	30141.354	17424.672	28285.811	20420.438	21670.641	17209.098	19500.838	32253.17	16757.201	22537.488	46111.855	32576.666	17207.371	16751.322	22679.711	22538.377	19562.229	18429.699	21133.51
1.2008	21200.48	17027.18	26135.492	21442.562	17547.754	20521.465	16259.905	14759.334	28367.24	19731.543	20687.42	20256.121	26761.75	22112.311	23045.037	30129.463	16843.674	29190.783	18711.07	20849.432	17610.533	19324.391	31719.543	17841.17	21254.814	41841.773	30794.768	18842.227	16826.473	20781.395	22084.969	18519	19967.746	20195.172
