x	Y_20181208_15100_18_4g	Y_20181208_15100_2_4g	Y_20181208_15100_21_2g	Y_20181208_15100_5_14g	Y_20181208_15100_7_2g	Y_20181208_15100b_14_8g	Y_20181208_15100b_15_7g	Y_20181208_15100b_24_2g
0	30545.9355	30660.4199	32817.2188	29458.6582	27719.9102	30319.2344	29848.3828	27825.7246
0.1334	31409.2188	28913.8984	31404.1602	29536.6445	29547.0117	29908.0547	29330.9727	28643.5859
0.2668	30773.0117	29248.2793	29297.8008	29763.8105	29618.6816	29061.918	29301.9863	28263.1621
0.4003	30059.7441	31034.9941	29608.2188	29839.418	28255.0391	29211.2988	29869.6465	29948.9277
0.5337	29987.7715	29048.6621	31213.6934	30983.3301	28994.0215	30985.373	29210.9629	28248.9805
0.6671	30261.0566	30873.5234	30312.8613	31451.1797	29961.0781	30649.3633	29758.0137	29565.9668
0.8005	30526.8477	29846.748	30079.7656	30896.5215	29322.2773	30794.0703	30526.3262	29244.541
0.934	31750.6504	30289.9824	30450.8105	31169.2402	30199.1621	30985.5762	29808.7148	27661.7422
1.0674	29922.1758	31725.0918	31636.5059	31236.4336	30588.1387	30470.7422	30941.5254	27750.2188
1.2008	31377.2812	32881.0312	32092.8809	30159.8574	29025.0664	30658.8379	31116.1152	29681.7363
1.3342	30436.2168	30988.875	31770.7539	32072.8145	28727.8379	31064.4922	30180.9043	29591.873
1.4676	32614.1074	32432.1426	31745.1191	29323.8945	29178.3867	32009.8828	31278.6875	29498.7598
1.6011	31405.8789	32990.3281	33022.0352	31106.3477	27246.6113	30025.9902	31335.9336	30142.25
1.7345	30220.8184	31595.377	32431.3828	29928.0098	29209.0781	29625.4531	31009.8359	30069.4414
1.8679	31438.2285	29939.4121	32693.3867	28836.3594	28348.9668	29590.6016	30993.1992	29432.8086
2.0013	31549.4746	31116.666	33512.457	29763.2969	28761.1387	28882.3359	30715.6855	29462.7969
2.1347	30512.9141	30436.1074	32096.9785	30384.5664	29954.3027	29435.9238	30547.002	28994.9453
2.2682	31202.25	30984.1875	31705.1914	31354.4961	31247.0176	29061.4316	31647.0059	30698.9941
2.4016	30858.4961	31900.4707	32500.1855	32169.0898	31988.166	30592.1152	32571.2305	33159.8281
2.535	32098.8691	31291.6113	32736.5332	33967.1484	36511.4102	29985.0312	35510.582	36469.3867
2.6684	33419.1523	34141.7227	34184.1562	41032.0781	44345.1094	30843.1797	43882.8594	43643.8164
2.8019	32169.1953	40002.1211	36953.5586	55263.5391	61220.4922	30313.2734	61930.4219	65336.9375
2.9353	31117.498	53880.2383	42119.793	84352.8828	74037.1953	30161.7832	72938.5	100712.2422
3.0687	34175.7188	92025.5156	57078.2539	105042.4922	66093.4922	32712.1367	60340.7422	108653.7734
3.2021	35641.082	132575.5781	86025.7891	87268.3672	48687.5977	36239.5859	42652.3516	78153.8438
3.3355	40176.957	112406.1953	102465.6562	59272.3945	37397.2305	43407.8945	34044.5391	49945.5078
3.469	51635.4688	70196.0312	77780.0156	45772.082	33343.7578	60320.3086	31757.1152	39067.3477
3.6024	48540.8711	46933.2617	53277.0391	38884.6602	32714.1562	84145.5625	30066.7461	34801.5508
3.7358	40231.0508	40977.3555	41900.3594	34726.6406	NaN	85561.1797	NaN	32386.3398
3.8692	35564.3086	33537.6562	38573.6641	33945.4844	NaN	60702.6055	NaN	NaN
4.0027	33366.2344	35140.7812	36089.6055	32394.0332	NaN	43555.8906	NaN	NaN
4.1361	33168.7773	33430.1797	34995.9297	NaN	NaN	36519.6211	NaN	NaN
4.2695	NaN	32869.4258	35300.9648	NaN	NaN	32874.2422	NaN	NaN
4.4029	NaN	33270.1992	34659.8203	NaN	NaN	32297.9766	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
