x	Y_20181208_15694_11_9g	Y_20181208_15694_13_8g	Y_20181208_15694_14_6g	Y_20181208_15694_14_7g	Y_20181208_15694_20_1g	Y_20181208_15694_23_3g	Y_20181208_15694_25_6g	Y_20181208_15694_6_13g	Y_20181208_15694_7_4g	Y_20181208_15694_9_15g	Y_20181208_15694_9_5g
0	12324.7393	11439.3721	12764.0322	28745.0723	11078.9209	11686.3486	10419.3506	11396.3818	11036.8496	9495.2422	9211.1064
0.1334	16499.0371	12267.8311	15189.001	29290.8086	11993.334	11265.9912	11235.2861	15301.3838	11113.0439	9481.2939	9314.5254
0.2668	16705.918	13162.8203	16903.8398	29013.2637	14365.9365	13065.4727	12686.2275	17818.0312	12491.8008	10091.7598	10409.1172
0.4003	16815.2715	15126.2773	15763.9492	28851.0391	17102.8438	14024.8604	13409.5332	17410.1602	14599.1328	10996.6094	12299.2119
0.5337	15354.3721	16335.3281	15022.5566	30133.4805	17817.8281	14340.0811	17291.6211	16320.5547	14831.9121	11205.9014	14883.7441
0.6671	14539.4297	16801.5371	15146.1211	28678.1641	15513.1006	14711.3926	20401.4609	15323.3447	14612.3174	12617.8438	16183.9502
0.8005	14630.3281	16863.2168	15332.3779	30901.0547	14057.251	13737.2822	18980.3945	14511.3555	14926.335	14840.6826	15642.4443
0.934	14825.6582	15934.583	15718.75	30742.3848	13997.4414	13759.4141	16248.3086	14350.6992	14268.6152	15805.8223	15073.458
1.0674	14712.5967	16018.0049	15873.04	30548.4805	13587.0596	13894.167	14277.6211	14462.4141	14100.501	16614.9941	14365.4609
1.2008	14176.1016	15666.6787	15936.0459	30472.666	13520.1396	13592.9463	13831.9834	15469.5322	14476.1201	16193.2998	15017.0703
1.3342	13949.4482	14136.4697	16360.208	32308.6992	13430.0752	13218.7373	13003.1318	15436.1875	14603.2285	15936.7256	14870.3027
1.4676	13215.5801	14127.1953	15657.2627	36661.4961	13084.9893	13130.0605	12934.8184	15821.4883	14243.3154	16177.9316	14390.7412
1.6011	12917.0078	15001.2373	14875.4443	45766.7344	12848.25	13027.7715	12808.0449	14893.2461	14623.9014	15424.7441	14737.668
1.7345	13373.167	15103.2998	14407.3789	67412.3047	13159.9668	12167.248	12721.1846	14987.5625	14427.3906	14527.6201	13381.9717
1.8679	13895.5771	14307.6221	14381.0898	90395.9141	13223.5391	12839.4033	13992.71	14540.1416	13595.3135	13819.1328	13658.9736
2.0013	13299.3145	14538.8262	13365.7939	79482.0078	13657.7168	12620.499	12768.8516	14975.5967	13361.4795	13573.7988	13321.6182
2.1347	13172.1328	14957.085	13695.2822	54658.375	14076.0322	12682.5547	12760.6846	15063.04	13442.6777	13206.6133	14648.166
2.2682	13143.5264	16717.1035	13988.0518	40775.7695	14756.7725	12611.4814	12952.165	15830.1172	12851.542	13083.5654	16091.584
2.4016	12509.2324	16744.3809	13694.1982	34570.6406	15979.8926	12876.9863	12796.4678	15946.2539	13337.29	13596.1855	15910.3477
2.535	12840.5928	15576.6143	13634.3213	32352.5684	15757.2812	12329.9219	13563.5176	14740.541	13446.5352	13211.5488	15678.1172
2.6684	12574.8389	14335.9609	14036.9512	32371.0098	14813.1016	12216.1475	12722.959	14388.043	12204.7773	13066.3438	14664.7344
2.8019	13483.9014	14246.8496	13492.3262	33411.5938	13712.7852	11538.4775	12180.4941	13740.6758	11582.3994	13388.4541	15715.2334
2.9353	12917.7734	14865.2217	13128.1895	30515.459	13952.2705	12160.0176	12292.2607	12783.1338	11362.8994	13566.3535	14849.29
3.0687	11865.2393	13394.3721	12452.2344	32187.9004	14430.6387	11984.5674	12005.375	12491.2939	10896.332	13002.5518	13960.71
3.2021	12303.167	13726.3496	13224.4668	NaN	13654.4502	11074.4443	12438.7021	12606.6025	11584.3955	12824.6631	12998.1152
3.3355	12483.2646	13053.0898	12397.0352	NaN	13354.7168	11591.5361	12440.7744	11570.9609	12392.6855	12122.6982	12816.252
3.469	11665.9854	12858.041	12672.3291	NaN	11861.2305	11313.584	12551.2715	11566.3076	11278.3389	12017.7314	11721.4014
3.6024	12641.7178	12799.5498	11884.5352	NaN	11491.8809	11364.8613	12542.4199	11481.4375	11784.8271	12626.7969	11864.543
3.7358	NaN	12606.7363	11413.0537	NaN	11187.9092	11571.9688	13034.4736	11232.3643	NaN	12098.9863	11626.459
3.8692	NaN	11558.3252	11227.8066	NaN	10581.7539	11946.3213	12446.249	NaN	NaN	11084.2578	11190.3672
4.0027	NaN	10981.0312	NaN	NaN	10877.1318	12033.4834	12265.1084	NaN	NaN	10664.5146	11369.4111
4.1361	NaN	NaN	NaN	NaN	NaN	12183.4951	NaN	NaN	NaN	10102.459	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9824.0391	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9409.4971	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
