x	Y_20180130_15100b_1_10g	Y_20180130_15100b_1_12g	Y_20180130_15100b_1_14g	Y_20180130_15100b_1_16g	Y_20180130_15100b_1_1g	Y_20180130_15100b_1_7g	Y_20180130_15100b_1_9g	Y_20180130_15100b_10_11g	Y_20180130_15100b_10_12g	Y_20180130_15100b_10_1g	Y_20180130_15100b_11_11g	Y_20180130_15100b_11_1g	Y_20180130_15100b_11_6g	Y_20180130_15100b_11_7g	Y_20180130_15100b_12_10g	Y_20180130_15100b_12_15g	Y_20180130_15100b_12_2g	Y_20180130_15100b_13_12g	Y_20180130_15100b_13_6g	Y_20180130_15100b_14_10g	Y_20180130_15100b_14_4g	Y_20180130_15100b_14_8g	Y_20180130_15100b_14_9g	Y_20180130_15100b_15_3g	Y_20180130_15100b_15_5g	Y_20180130_15100b_16_2g	Y_20180130_15100b_16_5g	Y_20180130_15100b_17_12g	Y_20180130_15100b_17_7g	Y_20180130_15100b_18_12g	Y_20180130_15100b_18_14g	Y_20180130_15100b_18_21g	Y_20180130_15100b_18_2g	Y_20180130_15100b_18_3g	Y_20180130_15100b_19_9g	Y_20180130_15100b_2_4g	Y_20180130_15100b_2_7g	Y_20180130_15100b_2_9g	Y_20180130_15100b_20_16g	Y_20180130_15100b_21_11g	Y_20180130_15100b_21_12g	Y_20180130_15100b_21_13g	Y_20180130_15100b_21_15g	Y_20180130_15100b_21_16g	Y_20180130_15100b_21_5g	Y_20180130_15100b_21_8g	Y_20180130_15100b_22_15g	Y_20180130_15100b_22_19g	Y_20180130_15100b_22_1g	Y_20180130_15100b_22_4g	Y_20180130_15100b_22_5g	Y_20180130_15100b_23_1g	Y_20180130_15100b_23_3g	Y_20180130_15100b_23_7g	Y_20180130_15100b_24_13g	Y_20180130_15100b_24_4g	Y_20180130_15100b_24_9g	Y_20180130_15100b_3_4g	Y_20180130_15100b_3_6g	Y_20180130_15100b_4_14_2g	Y_20180130_15100b_4_19g	Y_20180130_15100b_4_23g	Y_20180130_15100b_4_3g	Y_20180130_15100b_4_4g	Y_20180130_15100b_5_13g	Y_20180130_15100b_5_21g	Y_20180130_15100b_6_11g	Y_20180130_15100b_7_14g	Y_20180130_15100b_7_7g	Y_20180130_15100b_7_9g	Y_20180130_15100b_8_1g	Y_20180130_15100b_8_5g	Y_20180130_15100b_8_6g	Y_20180130_15100b_8_9g	Y_20180130_15100b_9_11g	Y_20180130_15100b_9_13g	Y_20180130_15100b_9_15g	Y_20180130_15100b_9_16g	Y_20180130_15100b_9_8g	Y_20180130_15100_1_2g	Y_20180130_15100_1_5g	Y_20180130_15100_1_8g	Y_20180130_15100_2_8g	Y_20180130_15100_3_15g	Y_20180130_15100_3_18g	Y_20180130_15100_3_21g	Y_20180130_15100_3_22g	Y_20180130_15100_3_7g	Y_20180130_15100_3_8g	Y_20180130_15100_4_12g	Y_20180130_15100_4_16g	Y_20180130_15100_4_2g	Y_20180130_15100_4_5g	Y_20180130_15100_4_7g	Y_20180130_15100_4_9g	Y_20180130_15100_5_16_1g	Y_20180130_15100_5_20g	Y_20180130_15100_5_21g	Y_20180130_15100_5_22g	Y_20180130_15100_5_26g	Y_20180130_15100_5_7g	Y_20180130_15100_5_9_2g	Y_20180130_15100_6_10g	Y_20180130_15100_6_15g	Y_20180130_15100_6_4g	Y_20180130_15100_6_7g	Y_20180130_15100_7_3g	Y_20180130_15100_7_8g
0	11906.161	12367.412	11774.951	13073.856	11390.607	12328.979	13443.812	15148.955	15711.844	14003.865	15203.645	12924.43	12057.388	12351.113	14914.861	14536.585	12452.975	12696.814	13544.746	13184.922	12573.477	12577.096	13287.463	13124.927	13433.406	12720.645	11926.554	12644.963	12140.82	13658.001	13568.132	13693.944	13280.345	13464.8	13176.463	14166.854	15312.062	15153.056	11426.943	12636.676	12298.953	12247.775	13010.461	15525.213	12491.8	12684.952	13263.82	13217.943	12665.895	12242.762	14108.121	12862.101	14922.136	10977.233	13860.354	14964.465	13731.677	12520.534	13377.5	12250.268	13422.7	12980.939	13193.333	11777.552	13008.016	12178.838	13232.084	12784.098	11828.227	14274.936	11527.277	14536.305	13541.194	14927.896	13321.939	12949.256	13752.995	13455.632	14255.785	11327.644	11260.525	11907.8	11649.849	12187.5	11480.275	13103.146	11890.444	10139.758	12570.167	12593.455	12991.791	14378.332	11288.801	13472.829	12113.319	13021.729	14481.788	13619.624	12403.358	13283.023	12686.435	13502.26	11812.45	12710.015	11138.076	11352.679	11526.988	12121.709
0.1334	11770.418	12070.854	12624.328	13801.252	12247.448	12236.778	14543.323	17917.379	16286.502	13728.75	16893.182	13754.492	13178.96	12582.485	15392.762	14602.859	13093.399	14344.182	13362.448	16192.496	13477.044	13203.9	13924.875	13149.344	15314.963	13060.842	11562.577	13420.7	12805.87	13747.879	13739.713	16566.279	13546.187	16214.555	13988.148	13862.402	17411.07	15457.07	11964.077	13108.566	13402.591	12865.575	13864.066	17129.816	12456.502	13667.146	13680.299	14280.063	12727.612	12830.997	14592.102	14267.587	16077.324	11592.319	14334.768	15372.217	15451.146	12997.229	13427.536	13369.786	13272.475	13913.038	14854.113	13039.723	12929.311	12689.319	14970.062	13267.321	13240.698	16072.392	12147.016	15968.81	13638.271	15227.928	14466.325	13409.24	13900.674	14522.522	16025.684	11207.96	13299.469	12385.25	12831.618	13633.829	12877.297	14454.572	13040.701	12074.812	12369.444	13451.6	11870.257	17795.818	11676.935	15366.725	12880.429	14478.968	16047.407	14007.579	13780.181	15030.077	14110.746	14127.848	12946.242	12990.546	11749.84	12009.156	12230.682	14098.521
0.2668	12709.344	13672.021	14468.917	14425.523	12776.29	13144.348	15777.24	19488.736	19216.205	14341.939	19305.262	14469.111	14650.535	15595.396	18010.947	16833.537	14811.695	16726.779	13692.627	18007.061	14902.4	14112.168	14952.685	15183.995	16993.635	14357.045	12511.386	15850.771	15376.858	14725.56	15754.902	19706.473	14900.227	20754.609	15312.419	14642.128	20632.527	16521.361	13127.846	14189.627	14697.548	14311.294	15673.211	19266.068	14522.319	16742.75	15144.897	16488.221	14316.38	15109.621	15174.396	17013.096	18567.486	12742	16608.246	16946.76	18508.5	15263.658	14061.515	16636.461	13582.615	14511.327	17259.637	16221.892	13841.51	14181.581	16797.391	15611.284	15773.019	19999.518	14001.369	16602.582	15708.161	18156.285	17521.988	13778.144	14634.86	16240.787	18733.736	12903.9	18456.926	12685.24	15047.522	16962.803	16797.605	16706.791	16040.662	13924.107	13399.959	14306.889	13522.779	20940.277	12651.177	18928.352	14291.742	16480.846	18321.355	15232.94	14866.059	17029.494	18511.281	15380.755	14283.383	14748.924	12925.018	13335.333	12904.507	14366.551
0.4003	13914.613	15082.214	15808.461	15129.395	12148.322	14901.032	18232.643	19597.35	19673.457	16840.629	23618.896	15839.728	15785.276	19776.576	20937.098	18731.771	17016.234	18493.902	17050.893	21161.602	19916.424	15941.798	17465.037	15710.345	16139.895	16215.57	13086.271	17969.971	18972.957	16786.842	17704.168	20949.268	17879.293	23129.885	17243.162	17098.926	20738.328	18071.178	16439.127	16984.863	16685.457	17159.104	18231.035	17437.777	17127.395	19018.51	16717.236	18988.262	15053.513	17949.91	15777.023	18883.057	22468.037	14677.472	18552.266	19649.484	20842.33	18380.391	17891.799	17370.887	13876.751	16056.434	20392.25	18895.609	15822.175	14597.107	15317.615	16504.533	17998.701	20484.762	17144.176	19318.098	18480.119	22008.951	21386.615	14749.796	16528.996	18739.057	20713.41	16334.959	26969.441	13700.388	18925.848	17197.902	18335.996	17062.293	17119.316	17224.309	14692.687	16469.234	15633.587	21190.844	16177.09	18316.125	16334.849	17203.365	20621.076	16942.82	16243.109	18346.6	21257.699	16616.947	15436.131	16726.881	15557.161	14312.393	13160.128	15098.404
0.5337	15568.304	16635.49	14923.629	13738.206	12373.707	15687.724	19293.809	17389.15	18362.33	17643.846	22088.191	17990.967	14861.112	21881.805	22593.666	22377.156	20030.205	17079.92	21243.586	21333.088	26508.963	15421.653	20492.986	15166.892	14336.328	15360.966	14915.481	17765.742	22867.85	17095.338	22673.82	19732.963	20063.252	20829.725	19645.074	18710.494	18420.162	16936.945	16669.779	21113.521	20009.305	21816.955	18698.707	16039.894	21079.619	16304.473	17526.572	19494.676	17105.482	18748.154	16682.801	18122.23	23443.6	18324.244	18976.848	22735.211	19725.443	23100.656	21540.5	16202.572	14431.075	18458.469	19409.65	19957.221	16145.492	14813.318	14562.3	16423.68	17902.35	21074.127	18478.863	20931.723	22303.545	22748.299	21050.238	14576.346	18388.021	18693.652	21363.084	19866.479	30147.316	15553.534	21826.355	15979.21	16841.885	16895.367	16773.189	17658.559	15387.588	15958.13	16968.398	19624.371	19591.734	16451.982	16090.343	16463.824	19298.762	19274.037	15042.057	16378.503	20445.264	20187.35	19831.379	16027.51	16730.355	13937.894	14276.396	18006.941
0.6671	15758.182	15457.646	14104.843	12751.699	13493.761	14961.408	18061.957	14785.715	18376.482	18930.336	19323.656	21023.363	13442.765	22089.654	20293.795	23778.908	19945.973	15068.1	23577.182	18848.02	24920.932	14408.423	18860.42	14431.423	12931.294	13993.548	16308.37	16356.493	24941.699	17444.436	23139.719	17679.676	20807.818	17009.625	20367.307	17058.531	16426.449	15783.336	16077.294	21988.818	21069.461	25266.84	17168.994	14263.853	23001.916	14584.338	17173.836	17897.146	19633.145	18028.373	16814.344	15899.491	21572.188	20041.336	19273.125	21220.902	18081.967	24433.986	18464.885	15658.65	16507.777	19004.148	17299.625	17954.084	15184.075	14751.25	13790.499	15958.408	19134.602	20385.062	15807.832	21563.164	24968.006	20117.648	18448.996	14576.507	16950.574	17341.574	20417.518	18888.391	25983.467	15355.916	20794.873	13805.18	15152.26	13840.27	15376.793	15672.492	18359.297	13953.114	16614.854	16889.039	19963.625	13703.359	15021.006	15407.743	17183.209	19810.012	14927.127	14205.941	16647.053	19316.418	21752.752	15837.949	15519.698	12375.522	14757.914	20504.182
0.8005	15623.302	13506.238	12868.114	13441.979	14014.151	15192.358	15748.897	15404.057	18013.15	19226.365	18439.473	21198.404	13145.982	22375.457	18127.412	19579.051	16906.531	13911.405	21440.385	19414.461	22400.381	13852.851	18083.766	13322.369	13108.93	13218.428	15808.871	15443.054	22239.52	17216.617	19598.684	15389.13	17907.199	16817.932	19008.855	17054.23	15269.088	15741.62	16410.129	20489.287	19560.504	22274.646	16011.834	13273.878	19444.305	13285.617	14324.356	16307.01	19144.658	17993.656	15975.737	14930.582	19000.781	17946.742	17899.088	18508.23	16926.123	20947.969	16236.569	14547.857	16856.252	16839.373	15126.815	17105.631	15784.634	14040.561	13193.084	14772.291	16341.417	20255.701	13525.142	18723.217	23410.658	17644.035	16169.063	15132.119	15048.218	16780.674	19053.643	15931.185	19953.23	14130.058	17572.193	12834.82	14423.827	12999.854	14039.554	14283.949	17573.473	14074.231	14254.735	15954.622	17998.674	12295.79	13664.033	15089.612	15721.08	18495.551	14396.597	12749.776	15370.507	18774.988	20796.24	13800.751	14685.755	12398.2	14073.937	19757.152
0.934	14840.433	13067.371	12584.529	13588.528	12992.772	14236.924	14337.952	16067.571	19965.857	16872.301	17082.273	18213.721	13385.839	20946.475	18328.863	17664.428	17098.344	13946.837	18807.072	18282.793	20395.598	15283.3	15852.637	13725.036	13362.611	14122.16	14478.642	14597.206	20256.604	16811.686	16562.863	15061.802	16514.355	16525.717	17119.736	16105.608	15451.046	15352.945	15166.662	19151.67	16657.92	19893.174	15697.256	13331.537	17216.523	12510.392	13378.25	15308.144	15121.434	18283.914	14888.509	14437.22	17967.195	15712.077	18139.246	18240.941	16021.214	19901.693	15658.822	14400.325	16072.482	15924.63	15010.363	15848.448	16978.291	13676.869	13299.921	13876.427	14907.472	19295.061	13119.22	17620.898	20489.533	16903.773	16054.739	15146.344	14600.238	16231.456	17265.627	14389.136	17057.268	12805.184	15550.632	13167.091	14705.525	12460.164	13045.459	14255.854	16548.773	13736.471	13462.698	16179.408	15562.616	12459.69	13359.923	14333.659	13423.726	16132.451	13801.325	11613.292	16372.762	18257.236	19029.787	12840.214	12949.498	12410.348	13655.116	17660.111
1.0674	14084.25	12958.509	12506.543	13165.445	13062.664	14017.006	13778.779	15784.03	19706.697	17276.41	16036.319	17153.945	13929.728	21080.166	19717.633	16793.496	16457.949	13230.317	17297.133	17984.373	18065.635	15408.634	14450.186	13517.695	12665.234	14019.414	14174.966	14227.551	17739.152	16482.711	15745.403	14922.503	16980.568	16779.852	16559.496	16363.376	17857.248	15792.104	15355.014	19962.752	14583.063	17417.334	15878.182	13227.666	16375.549	12399.821	13649.51	14324.554	14454.089	17467.533	13311.907	14557.924	18780.234	14082.937	17825.785	15893.717	15783.043	18110.896	16809.709	14183.356	16525.369	14297.401	14414.049	15810.05	15812.777	13706.49	13922.338	13420.357	14740.381	18094.652	13625.887	16685.451	17837.316	18223.148	17431.002	16231.297	13716.563	14480.839	16776.658	15561.914	15674.319	12495.729	14144.385	13012.292	13554.837	12350.495	12248.307	13460.34	16791.65	12810.358	12953.943	14690.288	14307.081	11990.638	13356.007	13809.304	12996.249	13684.355	13295.581	12471.895	18433.156	16904.92	17092.26	12844.006	12596.673	11844.571	13205.315	16793.188
1.2008	13538.353	12337.141	12270.674	13507.708	12789.86	13456.377	13628.216	14822.567	19583.434	18420.887	15691.403	17530.5	14941.143	18565.537	17526.438	16834.57	15571.157	13854.677	15718.378	16846.301	16099.514	13318.808	14240.975	13121.296	13769.802	13108.827	13788.665	14309.136	14992.653	16060.611	15762.923	15293.943	17871.35	16335.191	16264.743	16928.836	21521.018	15770.089	15158.602	19321.691	14296.504	16401.395	16245.562	14249.792	16471.994	12495.392	12939.116	14706.566	14833.44	16798.58	12765.71	13764.022	19481.098	14089.758	16904.436	15750.447	15977.29	19429.553	16867.42	14333.167	14784.572	13165.918	14471.205	16154.543	15612.081	14328.695	13522.573	13114.179	15106.295	16245.568	14588.532	15203.087	19018.561	19630.629	16189.419	15389.437	13837.384	14048.001	16155.948	15436.981	16038.395	11729.115	14275.468	13134.399	13259.12	12278.489	11997.326	12871.845	16854.932	13285.008	12275.011	14100.775	13566.827	12535.45	13715.312	14251.579	12875.786	13126.221	13975.462	12648.437	19502.721	15747.353	18233.615	13074.646	12965.052	12585.209	13068.669	15044.56
