x	Y_20181208_15692_36_10g	Y_20181208_15692_38_19g	Y_20181208_15692_38_8g	Y_20181208_15692_44_5g	Y_20181208_15692_44_9g	Y_20181208_15692_8_2g	Y_20181208_15692b_11_13g	Y_20181208_15692b_12_2g	Y_20181208_15692b_14_5g	Y_20181208_15692b_17_2g	Y_20181208_15692b_3_2g	Y_20181208_15692b_7_1g
0	9848.9502	10221.5244	9440.2939	9603.9463	9432.0664	9691.5332	11045.6045	11065.1807	10416.7344	9523.9873	9949.5898	10589.3467
0.1334	10003.5039	10617.9023	8940.541	9869.5244	10533.5518	10621.2568	12373.7627	12200.5693	11786.9189	10111.9395	10080.46	12035.8896
0.2668	11860.7979	11244.2695	9001.3525	10502.8945	11896.6816	12419.793	16324.71	15095.3145	15275.3486	10460.9678	10554.7695	14116.9287
0.4003	15335.0254	12474.8076	9979.6299	11841.2793	14866.5449	15578.877	18155.1895	16794.5176	17837.2832	11135.4258	11417.8701	15717.3125
0.5337	18333.0566	14833.9648	11301.1992	16221.4355	16240.4404	18429.5293	17832.3262	15509.3125	20644.1934	13961.3057	13304.6621	15409.7861
0.6671	17985.2227	17055.8633	13768.4609	21583.9102	14720.2227	17629.4863	16164.291	15230.792	20725.7773	16022.1582	14726.1699	14506.7197
0.8005	16823.1719	15606.5342	16874.4453	23901.8906	13154.8779	16659.6504	15753.9121	16218.4473	18605.8008	18616.293	13824.6133	14069.1553
0.934	15807.0645	15800.75	18403.418	21180.8281	12371.9473	17610.2988	14488.3799	16657.3086	17808.3145	18152.8105	14035.9844	14684.5762
1.0674	14481.4375	14724.373	16211.2295	19085.3633	12191.5908	16625.7344	15146.8877	17191.3691	17664.2891	17218.8809	14140.2666	14883.7422
1.2008	14716.3291	13769.6172	15372.5312	17808.5078	13572.8037	16769.0684	14108.7715	17505.1777	17015.9258	16166.5576	14855.5811	14063.877
1.3342	13542.7266	14188.9287	14648.9238	16617.0332	13985.416	16353.4941	13765.2529	17458.8496	16474.0078	15582.1514	15293.5674	13574.6514
1.4676	13996.2021	13775.3691	15155.4004	16939.0215	13438.8555	16432.252	13500.5645	17581.8184	15552.9414	15402.3252	14630.209	13019.085
1.6011	14294.3721	14632.8252	14157.9482	16151.5967	12973.6738	15407.6191	13952.8467	17121.4805	14456.4121	16090.5693	14357.376	13905.626
1.7345	13683.5342	15242.6973	13470.1416	15992.5088	13189.2529	15360.915	13020.3418	16853.0156	14341.8662	16017.8291	14314.5371	14480.6387
1.8679	12713.1299	15421.0869	13897.7773	15922.9004	13404.2656	15340.1357	13495.375	15256.4434	14327.9502	16412.834	14201.6709	14464.4639
2.0013	12974.0361	14176.4385	12954.9082	15300.9619	13482.6846	16418.1191	13148.7549	14610.501	15181.5195	15641.7041	14368.6279	14170.7734
2.1347	13863.3125	13160.7412	13254.0508	14625.7314	13362.5762	15723.0127	13401.7354	14471.1396	15518.1885	15031.9766	13821.3525	13549.165
2.2682	13787.2676	13210.1016	12749.0283	13865.2832	12901.4814	15808.3721	12725.1826	13968.6533	15226.8242	15835.6133	14416.6836	14050.4131
2.4016	13469.2422	12251.4746	12829.0684	13565.7168	12890.9746	16375.9551	13923.7051	14457.3643	15884.2373	15169.1289	14764.8242	14683.043
2.535	13273.6133	12367.999	13862.7266	13503.0732	13225.1582	16427.8359	14496.6631	14314.3643	16190.7451	13835.3359	14050.8789	14127.1787
2.6684	13148.1641	12287.0049	13763.7705	13189.6172	13136.9492	16631.4688	15109.0176	13728.292	15092.4707	14464.8799	13139.1797	14214.9463
2.8019	13166.5049	12897.7822	15133.9961	12966.9541	12587.2236	15927.2715	14266.2539	13653.4053	14081.7754	15363.2715	13859.5215	13783.0938
2.9353	12734.4033	12003.2695	15158.0859	12522.2002	12640.7246	16319.9053	13816.9424	12608.9375	13834.332	15190.0254	13780.9795	13382.3115
3.0687	12168.3457	12394.4502	15144.2891	12226.291	12939.1055	15541.4609	13295.7861	12891.9941	13986.2891	15106.041	14314.0762	13636.6104
3.2021	12540.7383	12913.8262	15007.043	12202.9609	12531.3291	16707.7773	12872.125	12491.8965	13944.5479	15256.2969	14596.0957	14684.2451
3.3355	12156.8008	12475.6738	14587.8467	12837.3418	11821.7754	15722.0195	13345.8096	12551.1299	13962.041	15023.248	13062.5254	14815.75
3.469	11931.4336	12250.4707	14872.7529	12309.4658	11740.9531	13782.707	13524.7148	NaN	13527.6006	14278.0361	12270.5283	14114.1523
3.6024	11257.9336	12231.2539	14178.1279	12454.5264	11587.7275	13379.0781	14095.7344	NaN	12881.8574	13759.582	12192.8477	13090.1475
3.7358	10769.9922	12173.8926	13746.293	12024.3193	12827.7451	12217.8203	12813.5654	NaN	11983.2441	12965.5146	12406.7969	NaN
3.8692	NaN	NaN	13209.1152	11444.8945	NaN	11679.5693	12813.1396	NaN	NaN	12380.1084	12292.6152	NaN
4.0027	NaN	NaN	12598.1973	11264.4619	NaN	11986.9277	NaN	NaN	NaN	11136.2275	12330.71	NaN
4.1361	NaN	NaN	12633.9033	11045.9131	NaN	NaN	NaN	NaN	NaN	10989.2295	11937.126	NaN
4.2695	NaN	NaN	11452.1924	11280.002	NaN	NaN	NaN	NaN	NaN	NaN	11241.1064	NaN
4.4029	NaN	NaN	11877.623	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
