x	Y_20181208_15794b_1_4g	Y_20181208_15794b_6_10g
0	14025.334	10293.2861
0.1334	14811.126	10598.9844
0.2668	15548.3242	12151.2568
0.4003	14521.7656	13842.999
0.5337	13443.4609	15842.0146
0.6671	13021.8057	18463.5938
0.8005	12410.4297	17208.1816
0.934	13157.5459	14827.0322
1.0674	13042.3096	13810.1543
1.2008	12553.5938	14685.0977
1.3342	12817.0146	13337.2617
1.4676	13846.6895	12452.9365
1.6011	13920.999	12238.3945
1.7345	14375.3955	12827.2139
1.8679	14112.4932	12759.5508
2.0013	13776.9785	11525.5439
2.1347	13743.3086	11881.9971
2.2682	13153.6484	11779.5215
2.4016	13180.8428	11837.459
2.535	13436.2393	13009.2246
2.6684	12509.2881	12052.959
2.8019	12900.208	11809.334
2.9353	12362.1162	11632.9258
3.0687	12857.4824	11282.0586
3.2021	NaN	11743.6787
3.3355	NaN	12657.2744
3.469	NaN	12170.0479
3.6024	NaN	12187.3115
3.7358	NaN	11982.0996
3.8692	NaN	NaN
4.0027	NaN	NaN
