x	Y_20181208_15692_31_8g	Y_20181208_15692_32_14g	Y_20181208_15692_34_6g	Y_20181208_15692_37_1g	Y_20181208_15692_37_6g	Y_20181208_15692_38_19g	Y_20181208_15692_40_15g	Y_20181208_15692_44_14g	Y_20181208_15692_44_17g	Y_20181208_15692_45_11g	Y_20181208_15692_46_15g
0	28477.9707	31563.8047	27604.6328	29099.8789	27242.6543	28320.7168	29750.0801	28332.7344	30191.4766	30299.4746	28319.7461
0.1334	29013.5254	31159.0098	29699.207	28737.9121	28123.9219	28288.9746	29719.9609	28609.2656	28880.4062	30092.7637	28892.2559
0.2668	29346.4941	29836.7324	28069.1602	29953.6016	29692.877	28693.0957	29909.5586	28762.7441	30412.8535	30668.7754	30440.2031
0.4003	28740.752	32452.4219	28252.1152	29238.6699	29357.4199	28688.4375	29560.4297	30614.9355	30737.918	30077.3438	30460.1309
0.5337	29223.3887	31626.1973	29295.1465	29530.5605	29150.541	28652.6348	30067.1309	31827.2012	31532.2969	29971.748	29491.4961
0.6671	32391.4629	31427.373	29436.3457	29497.5	30618.3555	29699.7129	31384.4297	30480.7383	31608.0371	32509.7324	29709.8047
0.8005	30300.5586	31047.9395	29386.7051	29183.4004	28970.1973	30188.6504	30173.0781	30989.5098	29932.1523	31989.9805	29588.918
0.934	29318.1816	31305.7344	29142.4023	29223.502	29435.3965	30151.7656	32871.543	31611.2051	31742.0332	31952.002	29854.7129
1.0674	29861.5918	32189.1172	29567.793	28655.8887	28860.9941	29781.7148	31651.8535	30313.041	31722.1562	31786.6387	31367.5996
1.2008	31525.2422	32967.75	29375.7637	28887.6484	28798.3574	28035.5059	32544.7207	30199.9551	31209.0332	32116.1367	31666.4277
1.3342	29038.875	33364.2969	29305.6992	27717.8926	30555.8652	28669.4355	32288.6523	30313.9004	32366.0391	32605.4258	31808.6094
1.4676	29574.5684	34339.4648	30481.2422	28205.3496	31069.041	30743.457	32551.25	30655.9902	30504.5723	32368.1133	31463.6953
1.6011	31925.4727	33436.3828	29532.6191	30105.7344	29720.5957	31368.8066	32536.916	30451.7207	31771.7812	32074.8262	32116.5703
1.7345	31681.7754	35640.8008	29449.4062	30540.8965	30867.2227	30539.2285	33323.625	31376.9531	31343.6348	33650.4609	31489.1152
1.8679	33304.7891	33359.668	29774.4277	32848.6328	29334.9844	30048.0645	34522.2695	32229.1133	32845.5	34936.2812	30815.8828
2.0013	32202.9043	35028.6992	29894.707	34327.6367	30847.418	29654.6465	35677.0312	31539.6797	33335.5391	33181.7344	30337.5078
2.1347	31946.1738	35615.5312	29437.6973	35435.9453	33459.7422	29843.0391	34239.2695	30466.6699	32751.0742	33843.1367	30808.6348
2.2682	31824.8125	33616.7031	31108.3359	36640.1992	36894.8164	30950.7598	35592.7266	31527.6641	33961.8945	34596.582	31346.4941
2.4016	31234.3945	35284.2109	30368.6602	38978.5039	49731.3945	30262.1973	39799.6445	34108.1445	42204.9844	35688.4102	31865.5723
2.535	31204.6562	33336.3281	30741.834	49135.8438	70562.3984	31062.3145	50242.7617	39554.3008	54151.4141	34344.5547	32964.5039
2.6684	31359.0508	34361.9805	29209.5879	53146.2305	79526.5703	30966.1074	71498.3203	53424.9453	76643.8906	37403.4727	34795.582
2.8019	37377.3086	40113.6641	31665.6367	47287.3828	58512.3789	32480.1973	85474.2109	71104.6016	79653.0625	42722.7344	41305.7617
2.9353	46158.3672	47383.1953	32147.2344	37725.9922	41331.1641	36479.0234	71590.2812	68902.8906	56804.1484	53231.4219	55771.0312
3.0687	56228.5352	67223.8125	36551.375	31502.3828	33659.2109	46285.793	50852.2227	49756.2891	42890.9453	65123.6016	67066.8281
3.2021	53483.5742	66192.8438	46020.6914	28142.123	NaN	61697.7773	43838.0508	37741.6211	34945.8633	59948.7969	58951.2148
3.3355	42486.6914	53674.332	54914.2461	NaN	NaN	76067.1328	NaN	33126.7734	NaN	48078.0391	46011.3398
3.469	39151.5117	41448.7188	54190.3828	NaN	NaN	59762.1172	NaN	31929.3184	NaN	40701.1328	NaN
3.6024	41263.1992	37344.293	42635.125	NaN	NaN	43937.1641	NaN	29091.582	NaN	36334.2852	NaN
3.7358	46137.4375	36433.3438	35773.7812	NaN	NaN	39915.8906	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	35285.4727	33654.4766	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	35643.6328	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
