x	Y_20181208_15692_36_10g	Y_20181208_15692_38_19g	Y_20181208_15692_38_8g	Y_20181208_15692_44_5g	Y_20181208_15692_44_9g	Y_20181208_15692_8_2g	Y_20181208_15692b_11_13g	Y_20181208_15692b_12_2g	Y_20181208_15692b_14_5g	Y_20181208_15692b_17_2g	Y_20181208_15692b_3_2g	Y_20181208_15692b_7_1g
0	28641.2227	28320.7168	25697.2812	26376.875	26924.8984	29090.1113	31207.2266	26627.1738	29049.5625	28781.5508	26799.7559	29627.3945
0.1334	27207.7539	28288.9746	25420.0957	25942.502	28283.6719	28358.6621	31200.7988	26131.9746	28647.4453	29548.4277	25663.7285	30426.875
0.2668	28136.3105	28693.0957	27218.9629	26987.0605	28141.0527	30255.9609	30510.6309	26897.7461	29743.7285	28639.1836	26665.9707	32727.75
0.4003	27026.6758	28688.4375	26574.3848	27299.2148	28226.6445	29805.1113	31497.4336	26923.957	29877.4551	29327.1602	26998.6758	31698.9336
0.5337	27260.375	28652.6348	27978.7754	27678.4043	27737.1211	29722.3672	30869.9121	27283.1055	29467.3887	28800.1562	26558.1328	32016.3301
0.6671	28167.8594	29699.7129	28482.0664	27900.5723	28462.2285	30424.4297	29673	27831.6016	28383.5059	30006.4707	26581.2324	32409.7402
0.8005	26681.1504	30188.6504	27156.1406	27872.1387	29023.3496	31545.4375	30085.4004	26222.1055	29748.6543	29064.998	25954.6699	32691.125
0.934	28929.8301	30151.7656	28536.7852	27616.6855	28479.1094	29718.2949	30752.4609	26312.8301	29909.3828	30819.8262	26787.0957	32777.3516
1.0674	29736.6875	29781.7148	28882.1816	27416.7207	30150.2949	29955.1387	31136.7676	26151.9805	29531.5898	31420.873	27857.3418	33693.4102
1.2008	29666.2793	28035.5059	29607.3691	26786.0391	28971.6211	30514.2422	31720.1035	27774.1328	30755.5547	31215.1797	27907.2422	33283.7891
1.3342	28902.668	28669.4355	28839.6152	26736.1387	29910.2754	29912.5273	31307.6426	27935.6523	31761.2383	30626.1465	28221.7109	33382.7617
1.4676	30116.1133	30743.457	28794.1582	27595.1875	30405.2266	29891.625	30650.4766	27175.9609	31079.9902	30681.1543	28162.9414	33537.6523
1.6011	30305.0391	31368.8066	28908.5273	26801.0176	30256.3262	30398.3398	31550.6699	26727.3223	32682.6621	30976.3398	30334.7051	33789.8438
1.7345	30400.2168	30539.2285	30148.1191	25988.3496	29134.6875	30119.2461	30959.9863	26385.0625	32634.2539	31062.6914	29848.0234	34968.2188
1.8679	29422.4766	30048.0645	29589.2148	26352.3613	30362.0664	28693.1309	30719.4805	27887.3301	32781.2969	32097.7754	28369.2812	34810.6484
2.0013	29358.0176	29654.6465	30157.6445	26754.2344	30474.2832	28454.9531	31407.8223	28158.2617	32833.3047	31965.7598	28991.6445	35215.0938
2.1347	28989.0703	29843.0391	30313.4102	28731.4102	30158.3672	29192.4102	32363.8008	28117.4219	31624.9688	31221.6621	29439.0059	36508.2578
2.2682	28836.3984	30950.7598	29137.6309	28667.916	30044.5938	29771.9219	33324.5195	27295.5371	31347.877	30670.3105	28379.3066	36499.1797
2.4016	30306.2559	30262.1973	28938.1582	28602.3145	31514.5625	30567.8672	33728.2891	26338.041	31952.2266	31132.8906	29403.7617	35677.9258
2.535	30407.0918	31062.3145	29491.9961	28224.0879	31447.9336	30112.2578	36705.375	27858.3203	31788.1953	32805.0547	29253.6934	34804.4102
2.6684	29262.6855	30966.1074	30557.4766	28027.4082	33914.543	29149.3691	45240.9727	30750.5605	31842.2441	31953.3223	30228.1113	38414.0195
2.8019	31832.1895	32480.1973	29524.9863	26590.7051	35657.5391	30509.7656	66673.3828	36011.6094	32690.4453	30691.1934	30558.2188	44014.5078
2.9353	35140.9492	36479.0234	29532.7168	27500.75	41157.9922	34448.2969	90909.3828	46381.4961	34417.5	34851.5469	30560.1152	58019.918
3.0687	41334.8945	46285.793	29748.4414	29557.752	53289.375	39206.7695	93290.2969	48892.0312	41188.6016	39651.9688	34329.8086	74453.0625
3.2021	50381.6055	61697.7773	29918.4512	30200.918	68388.3047	44471.7266	65707.6406	39994.9609	55939.1758	51614.4609	41537.1055	93498.9844
3.3355	51880.1016	76067.1328	31834.3125	31665.8262	74602.1094	44935.1016	45514.1758	32863.0391	66034.7891	72310.0469	58633.3203	93235.6641
3.469	44531.0195	59762.1172	31718.7148	37268.9609	59627.2578	38480.3516	36993.2617	NaN	56123.2578	79465.4688	72759.9844	68040.9531
3.6024	37040.3203	43937.1641	42414.8633	44364.7109	50681.8984	33798.6875	33970.7148	NaN	42953.5977	59648.7734	61750.2305	49426.832
3.7358	33177.9648	39915.8906	62889.1562	47270.9883	51137.5625	30234.8691	34111.4102	NaN	36356.5273	43259.0078	44903.1133	NaN
3.8692	NaN	NaN	78605.3672	37253.6445	NaN	29013.5352	35936.8633	NaN	NaN	35606.6953	34450.0234	NaN
4.0027	NaN	NaN	65602.4375	28833.0977	NaN	28660.0449	NaN	NaN	NaN	31646.4512	29501.6719	NaN
4.1361	NaN	NaN	49174.4375	27336.6484	NaN	NaN	NaN	NaN	NaN	30099.8945	27599.0762	NaN
4.2695	NaN	NaN	39746.1328	27018.3867	NaN	NaN	NaN	NaN	NaN	NaN	28333.6641	NaN
4.4029	NaN	NaN	33701.2812	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
