x	Y_20181208_15693_1_12g	Y_20181208_15693_11_15g	Y_20181208_15693_11_1g	Y_20181208_15693_11_3g	Y_20181208_15693_12_4g	Y_20181208_15693_13_13g	Y_20181208_15693_13_14g	Y_20181208_15693_14_4g	Y_20181208_15693_14_8g	Y_20181208_15693_15_1g	Y_20181208_15693_15_2g	Y_20181208_15693_15_9g	Y_20181208_15693_16_1g	Y_20181208_15693_17_3g	Y_20181208_15693_17_6g	Y_20181208_15693_17_7g	Y_20181208_15693_18_10g	Y_20181208_15693_18_12g	Y_20181208_15693_18_6g	Y_20181208_15693_2_9g	Y_20181208_15693_4_11g	Y_20181208_15693_4_5g	Y_20181208_15693_4_6g	Y_20181208_15693_5_10g	Y_20181208_15693_5_13g	Y_20181208_15693_5_3g	Y_20181208_15693_6_4g	Y_20181208_15693_6_6g	Y_20181208_15693_7_6g	Y_20181208_15693b_10_2g	Y_20181208_15693b_10_4g	Y_20181208_15693b_11_5g	Y_20181208_15693b_13_16g	Y_20181208_15693b_2_16g	Y_20181208_15693b_3_14g	Y_20181208_15693b_3_17g	Y_20181208_15693b_3_3g	Y_20181208_15693b_3_4g	Y_20181208_15693b_3_7g	Y_20181208_15693b_3_8g	Y_20181208_15693b_4_10g	Y_20181208_15693b_4_3g	Y_20181208_15693b_4_4g	Y_20181208_15693b_5_11g	Y_20181208_15693b_5_18g	Y_20181208_15693b_5_19g	Y_20181208_15693b_5_9g	Y_20181208_15693b_7_11g	Y_20181208_15693b_7_15g	Y_20181208_15693b_7_5g	Y_20181208_15693b_7_6g	Y_20181208_15693b_8_16g	Y_20181208_15693b_8_22g	Y_20181208_15693b_8_5g	Y_20181208_15693b_9_14g
0	29639.4062	29756.8574	29682.8691	27399.7754	29525.6309	25734.1914	29882.9316	26356.2969	31530.1133	28918.4805	27180.8066	29781.0195	31896.8984	29122.6133	30089.75	32187.3418	31594.4824	31800.9336	31350.3066	29611.5039	26037.4609	31167.3418	26296.7988	32323.6992	28802.918	24473.8262	31802.625	28560.6562	26420.8691	25478.9824	26417.9648	26167.4375	28845.3164	32208.4844	30369.6914	32392.1699	30999.8789	27346.4395	34752.5508	29991.1562	30600.3867	29524.1758	30778.3652	26193.1973	29868.2832	28438.2812	27278.6875	27347.0879	31007.5586	28393.1562	27277.5859	26718.0957	28138.0703	31872.8965	33986.5508
0.1334	31606	31270.5879	30023.9043	27257.9746	30421.8203	26614.9375	31432.5703	26344.2891	30316.9004	28515.6094	28024.4648	30188.6074	31175.7715	29256.3926	31513.6504	31927.248	30171.8203	31170.0762	31033.332	30961.8652	25531.5996	31504.373	26343.2695	31809.1035	27981.0098	24887.748	32699.9336	28981.4629	26936.8691	25313.4902	26003.8125	25435.8047	28600.4551	33092.4609	29741.4512	32853.2812	29143.4902	27395.168	34659.7188	31088.0215	31491.6211	29428.6582	28996.6875	26471.2383	30194.8945	27490.252	26308.498	28026.0898	31642.625	28937.0996	28132.2148	26450.6855	26357.0645	30832.1367	34657.8633
0.2668	31405.2637	32158.7383	29451.9805	27877.9824	30123.9023	26631.0137	29723.791	27804.2637	31169.502	27127.2246	27214.4336	29289.1934	35175.2422	30072.7422	30330.4844	33357.8789	30538.2559	31810.4336	32328.1074	32080.8281	24644.8945	31682.584	26559.623	32056.4727	27746.3516	25032.4062	33264.7578	28567.7539	26871.4336	25086.3477	27377.2188	27927.7871	27646.6758	31438.4492	30534.0508	32195.1387	30677.8125	27970.332	35641.6523	29516.4434	30528.5898	30502.4258	29892.2129	27335.4082	29443.0215	26635.8184	26930.7852	27300.0059	32038.3594	28496.5215	28374.3945	27157.0527	26136.1016	31383.2578	34380.8359
0.4003	31512.6816	33284.9062	29779.127	26724.7988	28545.4141	26833.8203	30641.7812	28613.3672	30273.7168	27059.8359	27393.2754	30636.9746	35488.6094	29327.3008	32372.5723	33243.8672	29607.4785	32100.2539	32506.373	31606.0605	26691.0938	33364.7109	26662.5137	31610.4004	29049.6836	27144.4922	31960.4844	29116.5391	26919.7715	25006.9512	27501.4375	27031.4609	29275.668	34552.4453	30916.5	32292.6719	29556.166	29534.7832	34848.5547	30251.9473	32315.2656	30404.7109	29748.4551	26999.7266	30135.7988	28208.1191	27962.3145	27072.6543	31745.9727	29899.9297	28445.5508	26589.6953	26399.3262	31118.3926	34730.6328
0.5337	32753.6348	32823.1445	29377.5605	27395.5684	30109.1094	27208.3574	29418.7109	27871.3438	31429.0859	28704.0879	28054.5664	29792.7852	33736.8672	31095.4258	32586.6055	33019.125	30139.5879	31721.9922	32265.2734	31272.1309	26766.4609	32204.4531	26299.7969	32555.5996	27916.6836	26834.127	33076.8828	29292.8535	28517.6914	25530.6992	27326.9277	26369.6504	30182.8887	32036.6621	30408.7285	32688.7207	29739.6387	28622.4414	35934.3281	30254.3867	31949.1367	29920.8105	30164.1855	27615.1367	30615.1113	28227.2891	27259.3984	27590.7168	31199.2363	28945.5859	29035.3828	26301.5859	25585.6074	30419.6445	35614.5469
0.6671	33930.9375	33365.9375	30542.9688	27926.7246	30143.0879	26936.5039	29201.9883	29632.6211	30592.3262	28245.7734	27510.9141	29652.9395	34940.2109	30964.2715	31942.9824	33345.6719	28973.0137	32416.6289	34574.0625	31157.6426	27583.748	31753.4746	25656.9941	31799.5547	28074.3457	27158.8867	33853.8203	29606.3438	29288.5879	26178.5625	27159.2168	25777.1211	30774.2793	33788.8203	31670.793	33146.8398	30528.0234	28107.3672	36177.4609	31939.0469	30653.291	31390.8887	30889.875	27113.6738	30688.3691	29222.9824	29411.5195	26147.3555	32563.6719	28629.4648	29783.3887	27393.084	24390.3418	32476.375	35220.6484
0.8005	35116.7266	33017.1641	32604.2949	27900.5352	29615.959	25994.6699	30192.7031	27878.4648	30146.2734	28513.2676	27951.8125	29766.7246	34068.5547	31772.2344	31784.3359	32746.334	29428.5332	33971.0703	32501.6543	31564.3242	26339.4512	31659.8398	25879.0723	32293.9473	28528.623	27638.2109	33964.5508	30270.873	27493.5098	26986.5293	26918.6719	26186.0469	29408.0762	33500.8906	30467.293	32561.0586	31606.9863	30009.9004	35518.4961	32602.7715	31343.5469	32724.627	32261.7852	26724.3281	30925.2012	29325.9434	28799.1855	28404.5391	33990.7305	30246.373	29627.5332	27532.8926	24700	31699.9922	35645.3008
0.934	36945.5781	33214.9883	30057.1211	28320.9922	29516.0879	27511.1152	30331.5391	28707.4668	31045.3809	28038.3672	29241.8066	30196.8613	33176.0469	32667.6934	31857.7129	32252.9414	29871.6309	34629.5977	35047.2109	32910.8516	27082.8438	31632.9922	26062.1035	32997.2266	29099.6016	28361.0879	33786.1953	29416.9883	27856.7285	26653.873	26915.4141	26572.2246	28700.3926	32926.1523	30960.8262	33126.8867	31382.5078	30485.9668	35186.2617	34533.4453	30824.6602	32342.9727	31960.4609	26412.7578	31347.7285	28084.4512	27925.582	27515.8008	32785.6641	28707.457	29192.5293	28677.6992	25267.125	32937.0742	36209.1211
1.0674	37915.1445	33937.7383	29898.084	26880.0625	30858.3223	28113.0859	31186.2129	30244.3203	32131.5762	28549.7715	28887.748	29788.4473	33320.375	33676.4375	31781.7266	32208.3145	31624.7148	36275.7969	34761.5078	33335.4023	28154.3066	31371.3555	24132.1816	32238.7578	29199.2793	29351.0508	34209.9414	28791.502	29361.4414	26678.8535	27894.6328	26896.4531	29067.3574	33115.4258	30258.5566	32183.6426	30960.3887	31103.2051	35678.3359	32504.9824	31658.584	32436.7637	31460.3418	26451.791	29994.166	29532.7539	28087.9531	27922.791	32877.2773	29472.1621	29024.0391	29473.8633	25749.4707	33915.7461	34417.7734
1.2008	38007.6641	32809.3359	31989.8633	26476.2578	31394.5156	28069.9062	31373.1816	30786.8555	31896.1465	27942.0469	27673.5449	30341.3438	33075.0391	35442.4961	30889.0918	32714.7754	32828.3789	35839.1719	33849.0859	33970.5508	28643.4375	32242.7559	24234.5527	34228.3633	28984.3398	30225.502	34076.6445	28831.918	28965.1113	26795.4199	28135.8633	27798.1484	29357.5293	32437.8398	32447.5527	33658.9297	30802.9082	30220.293	34416.8203	32721.3301	31983.4395	32605.1094	30910.8906	27369.1406	30648.9883	30693.0371	28835.1738	29083.4668	35505.1523	30949.793	29939.918	29340.375	25255.1406	33582.457	33623.1719
