x	Y_20181208_15692_30_4g	Y_20181208_15692_31_18g	Y_20181208_15692_31_6g	Y_20181208_15692_32_6g	Y_20181208_15692_33_10g	Y_20181208_15692_33_6g	Y_20181208_15692_36_5g	Y_20181208_15692_36_8g	Y_20181208_15692_36_9g	Y_20181208_15692_37_18g	Y_20181208_15692_37_4g	Y_20181208_15692_38_14g	Y_20181208_15692_38_5g	Y_20181208_15692_39_10g	Y_20181208_15692_39_8g	Y_20181208_15692_40_10g	Y_20181208_15692_40_12g	Y_20181208_15692_40_14g	Y_20181208_15692_42_14g	Y_20181208_15692_42_18g	Y_20181208_15692_42_1g	Y_20181208_15692_43_10g	Y_20181208_15692_43_18g	Y_20181208_15692_43_2g	Y_20181208_15692_44_16g	Y_20181208_15692_44_18g	Y_20181208_15692_44_2g	Y_20181208_15692_45_14g	Y_20181208_15692_45_9g	Y_20181208_15692_46_17g	Y_20181208_15692_46_18g	Y_20181208_15692_46_19g	Y_20181208_15692_46_3g	Y_20181208_15692_46_8g	Y_20181208_15692_6_7g	Y_20181208_15692_6_8g	Y_20181208_15692_7_11g	Y_20181208_15692_7_5g	Y_20181208_15692_7_7g	Y_20181208_15692_8_5g	Y_20181208_15692_8_8g	Y_20181208_15692b_10_4g	Y_20181208_15692b_10_6g	Y_20181208_15692b_11_14g	Y_20181208_15692b_11_6g	Y_20181208_15692b_12_11g	Y_20181208_15692b_12_7g	Y_20181208_15692b_13_5g	Y_20181208_15692b_15_4g	Y_20181208_15692b_16_8g	Y_20181208_15692b_17_1g	Y_20181208_15692b_2_6g	Y_20181208_15692b_3_7g	Y_20181208_15692b_5_3g	Y_20181208_15692b_6_2g	Y_20181208_15692b_8_1g	Y_20181208_15692b_8_6g	Y_20181208_15692b_8_8g	Y_20181208_15692b_9_5g
0	11958.1982	11638.667	11624.5967	10367.7383	11415.2334	11976.0674	11835.5586	13467.7725	11464.6816	14069.0254	10072.6328	12782.9482	11300.6211	11794.4541	10811.7529	12523.916	13344.1348	9737.0439	12695.0908	11838.6045	11111.2588	12250.4043	12089.5312	12043.4131	12653.1875	11201.1836	9159.5518	13378.9453	11038.4619	10483.2627	12705.3906	9809.3066	10728.6104	11051.5332	10887.9131	13874.4766	9971.9844	12934.7676	10776.9316	11542.8379	9764.1982	12207.4521	11948.2412	12491.4512	11944.0439	12178.8301	10340.0225	11552.376	9037.3398	10877.7842	14921.585	11621.0508	14217.6445	12843.8115	12167.1338	12849.3369	13414.1748	15712.7168	12376.7129
0.1334	11577.7148	13654.0234	12423.6074	10322.6611	11718.4912	12607.5771	12497.2607	13158.082	12229.4004	14073.4307	10671.3994	13618.7197	12520.0762	13307.3994	11226.5713	13621.0508	13270.5967	10111.2949	13436.041	13505.9453	11215.0674	12722.0889	12777.3262	12634.5479	12544.7734	12001.8105	9492.7822	13024.3525	12444.8691	10391.6777	13140.4844	10021.9443	12399.8555	11305.9043	10880.0254	15729.7402	10911.0645	14919.3037	10633.3496	13022.3086	10595.7109	12086.6387	12970.6543	14080.1426	12657.6338	13635.5908	10909.2227	13625.7061	9601.8252	11397.3438	16136.7021	13023.8496	15653.1035	13446.8682	13985.9746	12970.8984	15056.6182	18878.1758	12425.9639
0.2668	12081.1396	16298.8936	14532.9775	11260.8662	11915.9629	13591.5322	13366.4834	13873.1289	13005.6934	14290.0615	12246.4307	15246.749	15434.2666	16670.6641	12688.3691	16247.0674	15044.8027	11416.501	13966.126	15776.2637	12881.0586	14172.3691	12816.9229	13722.5273	14215.0703	12692.2764	9543.6328	12082.1611	13972.708	11552.7627	15454.1787	11504.5605	12820.1729	12865.2227	12632.5176	18272.4688	12738.124	20281.7402	11875.4932	14853.3662	11534.8047	11427.6338	13517.3281	15724.5742	14233.1689	15587.3428	12470.748	15679.1533	10822.7168	12733.4844	17844.0312	14660.3877	16608.8965	14173.8477	15764.8252	12953.4424	17945.5508	22739.9473	11893.7021
0.4003	12599.4238	19081.3965	15553.7832	13506.6582	13371.7412	15643.6514	14561.1064	14182.7705	14398.5352	15871.1592	15408.2617	17421.0645	17233.5801	19425.1758	13594.3076	17452.043	16989.7012	13180.1064	13647.7217	15412.8896	15875.4502	17294.7266	15400.9443	14607.04	15555.7021	12922.5713	10670.8242	11330.5801	15531.9463	13450.7402	18946.6211	12785.335	13009.5361	15001.5596	14118.6729	17187.5918	14722.1484	27010.7324	15442.9834	16571.9551	14046.8525	12678.5889	13361.3545	15865.001	16571.4434	16187.748	13184.1543	14700.9307	11300.2207	13900.8662	20196.3496	16818.6309	16649.791	14692.416	17020.4141	14325.1592	20001.6289	22859.1113	12246.4219
0.5337	14060.4453	18181.9766	16068.7012	14448.7461	15058.3994	16316.6035	16268.9814	14674.5293	14661.0703	18294.668	18728.1797	17672.9004	16370.5469	19736.3457	16097.0986	18664.5879	16452.7988	15064.8574	14703.5742	14502.5439	19728.9941	17199.6465	17289.5801	15300.1836	17502.1797	15522.9307	13109.3135	11831.7686	15334.8154	15815.9336	17625.8555	14819.8906	12218.0107	15202.6562	14422.417	16090.3633	16777.2949	25784.043	18031.9336	15412.9648	18475.0625	14407.4004	11852.3418	15860.1582	16153.0654	17047.2422	13985.7959	13493.9727	13941.835	15401.2803	20429.8828	19262.2344	16007.1699	18366.793	16676.2871	15680.3252	20262.0781	22054.0742	12660.7227
0.6671	15428.6416	18389.6328	16082.9336	14314.8916	15314.7471	16143.3418	15732.7803	16637.1953	13931.8535	18425.1152	17436.9844	15413.9854	14483.2715	17010.4766	15312.5498	18089.3242	14943.8975	15064.7188	16725.75	14707.6123	18924.7422	16307.707	17613.2812	14215.666	18812.1445	17554.9336	15581.6074	12779.6455	14072.5098	16692.8926	15419.8604	13465.708	13473.8076	14013.9287	14264.5039	14605.373	16676.5742	20638.666	18504.418	14962.9336	21775.1914	16199.6875	11688.3174	14733.3818	16076.2168	16548.6484	13841.2012	13474.8857	17639.8145	15462.8789	17987.3867	22187.4102	14948.8418	21278.207	15439.0088	17229.8672	18585.1133	19972.1875	14009.3105
0.8005	16290.8867	16547.7949	14965.3047	14081.2666	14168.4844	15072.6162	14679.6211	17477.1992	13842.834	15689.9365	16046.5576	13953.5713	14296.6396	15812.6914	15179.0029	16740.791	14190.9229	13589.1221	18858.832	15136.4961	15975.377	16784.7188	16706.1113	14667.5986	20316.8184	17954.8203	16390.6035	14118.999	14179.9268	15980.4238	14601.4629	13698.0557	12981.2373	13685.6045	14819.8936	13565.4121	15666.1279	17426.043	17237.4805	15003.1328	22285.5488	16538.7676	11824.1094	14782.9746	14875.0869	15025.5049	13275.0576	13338.0859	18241.6582	14372.9775	16081.3574	24458.5078	14394.7188	20200.8027	15551.2061	17289.9258	17434.8594	16724.7305	15941.7266
0.934	16671.7422	15344.7217	13817.8672	13507.9609	13665.3945	14720.4434	13721.374	16171.7969	13093.1064	13799.6299	15391.9912	13492.5879	15393.5215	15696.6885	14591.5625	16430.9648	13656.1445	13255.9502	18577.0449	15082.1719	14623.7891	16637.9238	14681.9512	14486.3818	17573.1895	17015.4199	17537.1211	15998.5869	12349.2158	16417.5	13167.2207	13333.8535	12056.1475	14118.2471	15226.5459	12917.3682	14590.1543	15118.2949	15963.7725	14725.1143	21400.4688	16517.5527	11766.5332	14999.0488	14081.1436	14002.1162	12906.3994	13625.1338	15652.4326	13726.0342	16393.1016	23853.291	14322.0869	18608.1172	16181.25	14798.9688	18173.9219	15557.5557	16703.2109
1.0674	15963.6602	15176.9375	13347.1523	14579.0049	13315.6475	14320.043	13166.6885	16406.0176	12720.8164	13489.6768	15143.6299	12688.9756	16469.8184	16015.4248	13718.9424	15523.6904	12784.4297	13737.6406	16684.7441	14345.2363	14118.2656	15169.1719	13712.5518	14020.5459	15344.3818	15252.7207	17426.6621	15570.4229	12203.9541	16175.1514	13186.3232	12683.3223	11293.2266	14305.5605	14842.0625	12457.499	14241.6543	13942.8213	15360.6309	14446.2373	18378.7246	16485.7578	11057.0146	14419.3809	13388.0859	14002.2275	13680.1807	12882.4902	14735.5225	12926.1895	15663.0928	19446.6719	13878.1582	18559.125	14953.7266	12623.9121	19037.7949	15166.5625	17355.9297
1.2008	14460.8877	15266.4434	12799.2451	14829.1191	12806.6475	14658.4219	12247.6016	18027.4102	13182.1738	14641.8193	14940.0439	13085.4512	16908.1855	16945.4668	12824.6035	14600.6143	12633.8564	12814.2061	17135.291	13551.4912	15294.6426	14102.4912	13625.7217	12569.9785	15163.6885	13899.915	16293.5391	14124.5186	12355.5049	15299.665	13474.2012	12502.5234	10862.5527	13667.1562	15747.9678	12530.9082	13451.5625	13451.1436	14479.5957	13891.9482	16950.1504	15264.6738	11324.8701	15003.0459	13415.626	13973.2773	14535.8359	12238.3691	13716.2529	12537.5352	15931.2012	16324.416	13190.9004	17436.1113	15534.2852	12965.5146	18078.8223	14680.0264	16580.1914
