x	Y_20181208_15692_37_2g	Y_20181208_15692_38_8g	Y_20181208_15692_43_15g	Y_20181208_15692_44_5g	Y_20181208_15692_8_6g
0	26105.6641	25697.2812	26687.7207	26376.875	29547.8438
0.1334	27065.2637	25420.0957	26815.8418	25942.502	29436.1523
0.2668	26128.4414	27218.9629	28221.3086	26987.0605	28724.9492
0.4003	26541.1699	26574.3848	28285.0938	27299.2148	28980.7129
0.5337	27665.5039	27978.7754	28555.0977	27678.4043	30076.1484
0.6671	26275.877	28482.0664	28895.9922	27900.5723	30542.0996
0.8005	27235.2207	27156.1406	29908.8633	27872.1387	31076.4668
0.934	27194.3457	28536.7852	28650.9375	27616.6855	31227.375
1.0674	27326.2773	28882.1816	28582.6895	27416.7207	30778.6562
1.2008	27882.8223	29607.3691	29447.9453	26786.0391	30511.2969
1.3342	27966.0645	28839.6152	30262.3848	26736.1387	29897.8887
1.4676	28493.4082	28794.1582	29452.4102	27595.1875	30816.3418
1.6011	28569.7539	28908.5273	29656.4062	26801.0176	30863.6719
1.7345	29212.668	30148.1191	29885.3555	25988.3496	29781.6953
1.8679	28665.8945	29589.2148	29487.9297	26352.3613	31663.1113
2.0013	28766.3828	30157.6445	30260.6191	26754.2344	31332.3848
2.1347	28693.9629	30313.4102	30167.1992	28731.4102	32255.9512
2.2682	28222.8125	29137.6309	31679.0703	28667.916	32685.7734
2.4016	27760.0977	28938.1582	30144.6973	28602.3145	31823.1836
2.535	28022.166	29491.9961	31895.6191	28224.0879	32288.4277
2.6684	27922.3184	30557.4766	31944.5215	28027.4082	32628.8652
2.8019	28593.4941	29524.9863	30393.6504	26590.7051	31947.8965
2.9353	28653.3887	29532.7168	29536.4121	27500.75	31596.7168
3.0687	27388.0566	29748.4414	28992.793	29557.752	34177.1016
3.2021	29049.9062	29918.4512	29055.2949	30200.918	34964.2773
3.3355	32941.7734	31834.3125	30546.9062	31665.8262	38605.0156
3.469	40124.332	31718.7148	29712.4453	37268.9609	43807.4062
3.6024	47990.4609	42414.8633	32746.3906	44364.7109	45292.2891
3.7358	46266.5312	62889.1562	40094.1211	47270.9883	44395.8906
3.8692	38425.6914	78605.3672	42963.5117	37253.6445	52064.7773
4.0027	32540.7109	65602.4375	39253.8789	28833.0977	NaN
4.1361	28434.6406	49174.4375	33613.1172	27336.6484	NaN
4.2695	27346.1328	39746.1328	36761.043	27018.3867	NaN
4.4029	27253.0527	33701.2812	NaN	NaN	NaN
4.5363	26352.7949	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN
