x	Y_20181208_15692_32_7g	Y_20181208_15692_34_3g	Y_20181208_15692_36_3g	Y_20181208_15692_40_4g	Y_20181208_15692_44_11g	Y_20181208_15692_45_12g	Y_20181208_15692_47_1g	Y_20181208_15692_6_1g	Y_20181208_15692_7_1g	Y_20181208_15692_8_10g	Y_20181208_15692b_11_11g	Y_20181208_15692b_11_20g	Y_20181208_15692b_11_3g	Y_20181208_15692b_12_8g	Y_20181208_15692b_17_5g
0	10944.9512	12346.8271	12386.5879	11051.8984	12353.5547	10100.3896	11648.3721	9819.2432	9567.415	12296.623	10882.5049	12278.8135	10848.7539	11305.1348	10471.2158
0.1334	11961.9932	12772.6084	13386.3193	11804.0596	12219.4795	10782.1553	12358.3867	11037.959	10176.3223	13702.6748	12160.7393	12872.3271	11159.3389	11889.917	11933.9385
0.2668	14867.1855	14139.9971	14066.708	12240.6582	13302.4922	11463.6445	14060.3604	13063.8555	11526.6777	15093.3994	15850.4727	14852.6719	13636.9775	13576.8896	13049.3828
0.4003	17449.0195	15434.2949	14446.8262	13482.5527	14319.1182	13335.1572	17610.2891	17845.7402	14730.7383	14594.1396	16834.2402	16064.8535	16332.2969	17631.7969	14962.8604
0.5337	18065.5547	16073.207	15578.8818	15501.0938	14831.4678	15848.7373	19386.6445	18984.6855	18980.0215	14426.71	15604.8027	15744.1846	15989.8643	19238.1055	15824.0732
0.6671	17606.8945	15727.3662	15860.0879	17972.3477	14843.0029	16369.0391	18214.4414	16554.1309	19216.791	14016.6768	14670.75	14938.6338	14567.6016	19366.918	16703.8301
0.8005	17562.3887	14321.1855	17368.9395	19294.2812	14710.0332	15664.2822	17467.4082	14194.2266	15774.1924	13632.8281	13655.8896	13382.8096	14601.0166	16424.5215	17831.6797
0.934	17615.8828	14609.0312	15741.4336	18222.8008	14652.626	15899.0439	16736.0527	13689.8525	14238.3613	12765.957	13655.1904	12824.8203	13758.6992	15587.0625	17226.1777
1.0674	17159.7832	13895.5391	16201.7969	16878.4902	14892.3008	17016.7539	16537.2559	13291.7764	13769.2148	12277.208	14082.5283	12497.8037	13994.9678	15629.7822	16184.1406
1.2008	17241.8887	13805.8701	16805.2637	16722.9688	14524.9043	15815.5322	15444.4824	13189.4121	13512.2441	12680.0801	14021.2607	12822.6494	13426.3799	15609.1484	15884.5879
1.3342	17520.875	14579.4023	16973.6211	15983.4912	13961.9844	16092.0127	15380.5879	12486.6162	13167.6992	12284.2529	14086.1943	12566.9473	14298.0635	14816.0654	14866.085
