x	Y_20181208_15694b_1_1g	Y_20181208_15694b_1_3g	Y_20181208_15694b_1_6g	Y_20181208_15694b_10_5g	Y_20181208_15694b_2_6g	Y_20181208_15694b_3_2g	Y_20181208_15694b_6_4g	Y_20181208_15694b_6_6g	Y_20181208_15694b_6_8g
0	12456.4307	12340.001	11464.6504	11420.5137	9336.4307	12245.7617	13281.9775	12409.2539	9857.1377
0.1334	12794.9453	11664.7988	12487.2021	13223.9102	10774.0391	12911.3115	15001.0273	13514.7363	10464.8955
0.2668	13179.8574	12280.8984	15426.5732	14884.4863	12403.8047	14148.6348	15189.8916	16742.7461	10601.6279
0.4003	14603.4873	13627.3867	18500.584	14321.4141	13666.5371	16311.4697	15944.835	15749.2725	12613.8633
0.5337	16924.4277	14155.4453	18139.9434	13547.3398	14848.2021	18017.1855	18344.8164	16219.249	13509.5342
0.6671	15265.3799	15089.9863	18041.0918	13281.873	14288.0312	17096.9648	19547.1172	17519.959	12275.4766
0.8005	13466.8301	15062.7451	16174.4375	13817.7842	12849.46	15970.2637	18087.668	15957.3711	11553.5146
0.934	13682.6953	14287.6143	15417.0615	14521.042	13110.7061	14131.0527	14972.5352	15446.207	11390.3555
1.0674	12374.8301	12595.3965	15147.9824	15214.8555	12353.0234	13920.3184	14216.043	14985.0283	11890.5039
1.2008	11624.1455	11502.7773	14808.9951	15326.8975	12050.4434	13859.0654	14127.9941	13533.0391	11987.084
1.3342	12174.4189	11927.0898	13646.8008	15015.5859	11570.0771	13783.0977	13823.8008	12181.1787	12490.3809
1.4676	12193.0244	11474.9414	13620.5371	13704.0273	12005.8887	13250.5244	14928.7041	11858.5527	12607.9609
1.6011	12458.9307	11109.7578	12869.3115	12081.9648	12257.459	13019.7939	15017.501	11343.2627	12479.5742
1.7345	12147.4062	11016.7832	12601.3174	11219.751	13056.124	13087.5752	14593.833	12247.8877	12673.8555
1.8679	11173.5508	11025.9297	12024.585	11491.4775	14646.0879	13142.0986	15057.8311	11555.043	12313.8447
2.0013	10753.1387	11307.5615	12037.2705	NaN	14539.4355	12238.1328	14751.2236	NaN	11240.6768
2.1347	10652.459	10761.2705	11690.8818	NaN	12844.3652	11615.418	13338.3965	NaN	11309.2979
2.2682	10834.0459	10320.2598	11884.0645	NaN	10430.4316	11974.9795	12904.333	NaN	11042.7842
2.4016	10711.6133	10258.2393	NaN	NaN	10682.6309	11713.2217	13408.0801	NaN	NaN
2.535	10573.5176	10162.71	NaN	NaN	10509.2588	11838.5117	12251.417	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	10035.1816	11645.7588	12050.1846	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	9825.415	NaN	11921.6865	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
