x	Y_20181208_15693b_1_4g	Y_20181208_15693b_10_18g	Y_20181208_15693b_10_4g	Y_20181208_15693b_10_9g	Y_20181208_15693b_11_16g	Y_20181208_15693b_11_2g	Y_20181208_15693b_11_5g	Y_20181208_15693b_11_8g	Y_20181208_15693b_11_9g	Y_20181208_15693b_12_3g	Y_20181208_15693b_13_11g	Y_20181208_15693b_13_18g	Y_20181208_15693b_13_20g	Y_20181208_15693b_2_12g	Y_20181208_15693b_3_12g	Y_20181208_15693b_3_13g	Y_20181208_15693b_3_20g	Y_20181208_15693b_4_11g	Y_20181208_15693b_4_1g	Y_20181208_15693b_5_18g	Y_20181208_15693b_5_3g	Y_20181208_15693b_5_6g	Y_20181208_15693b_6_5g	Y_20181208_15693b_6_7g	Y_20181208_15693b_7_4g	Y_20181208_15693b_7_7g	Y_20181208_15693b_8_10g	Y_20181208_15693b_8_11g	Y_20181208_15693b_8_14g	Y_20181208_15693b_8_8g	Y_20181208_15693b_9_5g
0	13731.8516	13138.6934	10819.5361	10901.0039	9907.4863	10404.3818	10978.1582	11335.8633	9634.7871	11221.4766	11929.7881	9656.6494	14804.0615	14091.0811	12903.7412	13213.0908	12294.9668	11754.9912	14195.6562	12073.9902	10688.7891	10848.416	12592.332	12495.1025	11528.6943	15456.5625	12789.4043	11833.5459	13113.9268	11540.9443	13061.0176
0.1334	14274.0527	15884.582	11907.3125	10885.9043	10588.8555	10900.752	11818.3613	12085.7441	9972.4551	11605.3398	11902.7129	10540.3018	15158.126	13017.8428	14484.1094	17197.7578	12441.8564	12620.0762	17481.2168	12953.8184	12618.5703	11660.25	14220.9277	15140.1797	11758.7021	19400.7578	13571.8164	12783.8262	15707.3984	11741.4629	13261.1396
0.2668	14872.8555	18381.9414	12167.8223	11359.4365	11122.3418	13637.1816	12463.7471	12689.7314	10503.165	12285.3652	12690.7236	11299.4287	16561.498	14473.3418	16220.3555	20437.3008	12869.0967	15047.6094	17835.5352	13506.9824	13587.3818	12653.0127	15133.5068	18555.5645	11985.9531	22499.875	13893.2314	13983.2568	21383.5859	12516.0664	17328.5391
0.4003	17673.5742	18333.2793	12515.9619	11526.4961	11423.9004	18829.834	13512.8369	12967.0293	12680.8691	13479.3936	13985.5684	13112.5674	22339.6406	16771.3164	14602.0713	24523.0547	14177.4141	18126.8359	16819.5859	14669.4062	13274.9287	13924.4248	13508.4639	18066.4082	12774.9746	22058.4824	15707.6572	15586.541	26381.8652	13225.335	21640.6152
0.5337	19628.418	17207.9395	13883.2314	12206.9365	12059.8438	23122.9141	13001.001	13603.2842	15132.8711	15813.793	16040.0801	14552.7842	26649.9102	16926.5664	13362.4844	22044.7051	16875.2734	18518.127	16082.1709	17430.166	13524.4219	14031.8887	12645.1484	16198.7793	15267.21	19367.6738	18471.5742	16759.4473	27159.1426	12614.5537	21372.1211
0.6671	17110.4141	16359.001	16048.5068	13309.4463	12925.6777	23177.9492	11922.0361	15551.0254	15890.5049	16033.8594	16215.0713	13925.3809	25420.4805	15986.3955	12662.5479	19150.2871	16639.582	16801.5312	15346.7422	16451.4355	13739.6006	13515.1738	12263.0049	15306.624	18891.0703	17175.2148	22852.4922	17065.873	23303.7852	12318.7422	18202.3281
0.8005	15670.04	15846.9385	15445.3135	13581.0908	13570.0713	21740.0039	11641.3564	17188.6016	15725.9023	13890.7021	15202.585	12540.6318	21585.373	16472.416	12285.8838	17387.916	14603	14407.5391	17048.2891	14558.2578	13262.9561	12541.9609	12081.3613	14422.5283	19404.2051	14299.0381	23497.0801	15871.7178	18987.8848	11809.2646	16142.1279
0.934	14256.6768	15859.5566	13720.7432	12662.9004	12682.1953	18361.4395	10873.4014	18321.2793	13995.2168	13744.6582	14518.7783	12290.1943	19262.0117	17538.4902	11727.6934	16807.709	13293.0576	14331.2412	16329.3945	14738.3379	12789.5068	11812.209	11675.5068	13431.875	17954.3086	13368.5146	19036.7715	15080.6025	17005.6074	12065.6055	14612.5088
1.0674	13493.8037	14241.875	12627.1924	11910.6885	11593.5762	16305.0381	10828.0684	18293.8145	13593.3467	12616.6191	13309.7061	11215.3047	16437.0781	16613.7031	11523.3594	15529.1064	12904.1211	13516.2051	15595.4775	16646.0977	13279.9795	11273.9531	11354.3301	13709.0801	15638.8828	12800.3271	17066.3457	14625.5928	15657.3525	12067.5703	12448.8193
1.2008	12571.2686	13988.5166	11753.9609	11523.5703	12152.0928	15200.1143	11298.1758	16596.3828	14347.1572	12574.6113	12704.332	12882.6494	13826.9189	16116.6729	10892.5967	15312.8545	13003.0303	13967.1084	15200.6602	17368.6855	13440.3838	11524.0488	11483.3926	14239.9043	13560.6504	12858.1367	16596.8945	15205.0781	14488.7148	12626.751	13207.6367
