x	Y_20181208_15693b_10_2g	Y_20181208_15693b_10_4g	Y_20181208_15693b_13_16g	Y_20181208_15693b_3_3g	Y_20181208_15693b_3_7g	Y_20181208_15693b_4_3g	Y_20181208_15693b_4_4g	Y_20181208_15693b_7_6g	Y_20181208_15693b_8_16g	Y_20181208_15693b_8_22g	Y_20181208_15693b_8_5g
0	10665.1211	10714.9824	12407.0439	11517.002	12320.5439	10184.417	12051.3984	10446.8555	10315.877	9495.7871	11792.1807
0.1334	10577.6943	12022.9795	13519.1104	11882.3984	12405.7842	11583.3184	13279.9795	12057.6816	11017.1572	9281.3193	13115.0254
0.2668	12564.9863	15730.2119	14690.8643	12648.6924	13362.0518	12844.9199	14652.7549	12963.7939	11194.4287	9633.4277	16584.4883
0.4003	15448.7139	19281.9453	15757.6982	14981.0938	15326.7158	14680.9307	15159.7549	13631.7637	12118.9658	10649.9033	19050.2422
0.5337	17769.4336	19185	16512.2852	16867.6426	16598.5508	16786.2949	13558.3643	13948.4033	13253.8301	10962.998	18438.8887
0.6671	17498.6758	16731.5234	15829.752	16923.2227	17196.9375	16582.0879	12807.4131	13543.2529	12697.9648	12408.7266	16530.5938
0.8005	17122.5059	15170.4199	15389.6094	17509.8516	15204.3564	19461.1055	11945.0586	14273.6875	11763.375	12835.6943	15035.0537
0.934	15582.4717	14735.7412	14273.3184	17877.9922	14499.2891	18443.877	12483.3789	15553.7842	11751.3057	12568.3086	13611.1357
1.0674	15488.8047	14656.6523	13553.7715	16295.2646	15953.0508	18624.5215	12924.4102	14937.5879	11506.5107	12527.292	16111.0117
1.2008	15592.9893	14928.373	13243.5732	15370.0273	15805.2715	19654.8418	12110.8613	13728.458	11075.8906	12457.8486	15084.0566
1.3342	15847.7109	15218.8379	13558.8369	15658.0586	15236.9814	17896.9082	11941.9287	14186.1367	11673.3965	12740.9531	14107.3262
1.4676	15112.6416	15017.7109	13266.0371	15218.0586	15275.6035	18140.2402	12040.6982	14962.1904	11739.3486	12594.0029	13643.9121
1.6011	15152.4951	14337.1973	14034.3887	14781.4697	15975.7891	17797.6797	12376.3115	15403.7578	11817.1328	12677.3545	14134.2617
1.7345	13578.3076	14112.1689	13297.0166	13721.4678	16922.8164	16455.0781	11784.9502	15614.3096	11716.3662	12912.1133	13975.6045
1.8679	12247.2793	15184.5625	12632.6045	13192.9492	16297.9434	15133.6934	12801.7979	15141.1279	11171.333	13384.1807	12482.6797
2.0013	12386.4375	14401.7734	12181.0771	13286.0908	15279.6904	13604.4932	12248.999	14099.4209	11227.2061	13270.4922	12836.166
2.1347	11836.584	13380.3027	12578.5693	12584.9209	14324.3213	13547.3809	12521.1211	15073.2012	11049.4756	12777.2656	12574.3896
2.2682	12045.458	12585.9561	13307.8154	12519.4014	13847.0811	12938.8682	11988.3594	15242.5684	11280.9102	11646.7227	12027.2051
2.4016	11966.6875	11587.499	13332.458	11951.6006	13212.8359	12803.4521	12104.1035	15426.4941	10804.4863	12049.083	12203.7168
2.535	12440.1924	12187.7715	13363.3281	12009.1104	12770.2061	12071.4434	12367.8496	14801.2461	11644.9727	11310.2686	NaN
2.6684	12934.2266	12176.2285	12214.3037	12241.5596	12214.1553	12792.4258	12130.0254	13201.9453	11618.7178	11149.1035	NaN
2.8019	NaN	NaN	11374.2959	12448.8945	12171.9219	12864.2227	NaN	13115.1807	11160.8311	11238.0117	NaN
2.9353	NaN	NaN	10650.5977	NaN	11864.4561	12769.9775	NaN	12730.4395	NaN	10671.8096	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13441.4238	NaN	10829.9561	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12305.1484	NaN	10797.5205	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12096.3525	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
