x	Y_20181208_15100_1_7g_left	Y_20181208_15100_11_4g_left	Y_20181208_15100_14_1g_left	Y_20181208_15100_16_1g_left	Y_20181208_15100_17_5g_left	Y_20181208_15100_18_3g_left	Y_20181208_15100_19_5g_left	Y_20181208_15100_4_1g_left	Y_20181208_15100_5_9g	Y_20181208_15100_6_10g	Y_20181208_15100_6_11g	Y_20181208_15100_6_3g_left	Y_20181208_15100_6_6g	Y_20181208_15100_7_4g_left	Y_20181208_15100_7_8g	Y_20181208_15100_1_4g_right	Y_20181208_15100_13_10g_right	Y_20181208_15100_14_1g_right	Y_20181208_15100_14_4g_right	Y_20181208_15100_14_6g	Y_20181208_15100_14_9g	Y_20181208_15100_15_12g	Y_20181208_15100_15_6g_right	Y_20181208_15100_16_1g_right	Y_20181208_15100_17_11g	Y_20181208_15100_17_4g_right	Y_20181208_15100_2_1g_right	Y_20181208_15100_21_8g	Y_20181208_15100_22_11g	Y_20181208_15100_22_12g	Y_20181208_15100_22_13g	Y_20181208_15100_22_21g	Y_20181208_15100_22_2g	Y_20181208_15100_22_5g	Y_20181208_15100_26_3g	Y_20181208_15100_27_11g	Y_20181208_15100_27_4g	Y_20181208_15100_28_1g	Y_20181208_15100_29_1g	Y_20181208_15100_29_4g	Y_20181208_15100_3_1g_right	Y_20181208_15100_30_2g	Y_20181208_15100_30_3g	Y_20181208_15100_32_3g	Y_20181208_15100_4_6g	Y_20181208_15100_6_5g_right	Y_20181208_15100_7_5g_right
0	11719.542	11460.54	12361.5508	12144.915	12876.9062	10428.2412	10752.9453	9780.1348	11026.3779	12587.0898	12492.9893	11174.5332	12550.9688	10794.1699	12764.752	11492.1768	11096.5156	12689.5039	11376.0742	12739.2402	9769.6006	10310.2363	11898.7598	10674.1758	11076.2949	12736.1162	11408.0469	10570.2598	13691.9551	12279.1211	10264.7393	11064.1377	12105.6279	12528.2324	10056.8896	10253.249	11641.8848	12154.876	13526.4111	11405.8594	11897.7314	10687.5703	14164.3271	10121.4492	14698.1865	10103.71	13082.2041
0.1334	12101.2012	13540.8682	14705.9053	12448.6689	14537.7832	11645.6758	12351.6084	10437.6309	11563.4609	13131.2832	14847.3066	12886.6523	12867.7734	12844.6074	15988.4668	12085.6416	12207.8867	15101.1836	11705.5303	14999.6875	11413.9531	11005.3926	13798.1084	13324.3887	12822.7344	14567.1143	11829.8564	10715.3789	13802.0889	12497.7236	10378.6533	12436.5371	13015.043	13450.2598	12043.1113	11889.7373	12553.6758	12751.2939	16534.8965	12368.3877	12560.5527	10862.1787	16446.0352	12355.7725	18389.6133	10704.833	15057.9805
0.2668	13730.543	16798.9004	19705.4473	15223.8125	17698.8594	14675.0156	13877.5381	12501.1689	13387.9443	14839.5469	17032.1035	16567.1953	14768.0273	18490.5469	21366.3438	13065.627	11745.1562	15538.1953	13174.8066	17785.3789	14532.2803	10911.8076	15664.9434	16505.5352	16500.8125	19021.0234	12265.1162	12025.5508	13408.4102	12622.8535	12080.9121	13824.4766	13878.623	16400.875	14769.4043	16059.582	13739.5283	15417.7939	18210.0684	12650.957	13449.6641	11047.4629	19334.5859	15820.8057	21743.4316	11162.1826	18406.4961
0.4003	17702.1289	26014.3418	24186.4492	16943.8457	18608.7461	16705.1582	16846.5215	16494.0371	15589.3428	18716.8984	20325.498	19057.4727	15107.7803	24526.3594	20573.4297	15464.918	12013.7041	14720.2344	14600.5391	17082.832	17060.6562	12520.1338	15041.71	17878.7422	20448.8926	21968.2246	13964.1484	14072.8301	13938.335	12996.8721	14117.6982	16289.4316	16860.9355	17938.1309	18105.8359	22050.0312	16509.7695	15899.8604	15951.3896	15186.6797	14897.2627	10973.2705	22386.4492	17990.0312	20477.8867	12418.0586	19363.0332
0.5337	21512.2871	34883.8477	23069.5645	18523.2012	16013.5879	18220.6211	18440.2266	18777.6602	17725.6191	18943.2324	20176.1465	18378.3711	19533.4531	25499.1582	18282.6562	19013.9512	13723.624	12967.5898	16453.3965	14893.6797	16905.0859	13971.4346	14303.665	16101.2666	21250.8711	21205.9336	17794.0312	15839.7842	16878.4355	13954.4229	16058.5947	19035.2461	19224.6855	16484.8828	20340.4902	24458.2168	20092.3828	14890.5586	13410.9863	19440.3262	17573.2598	12175.7314	26104.6699	18700.0488	17253.8594	14011.0039	17235.8672
0.6671	19470.252	37155.668	19141.1426	18570.166	15830.0215	18286.7832	16763.0684	17169.1328	18992.3086	17387.0684	17803.0996	16513.1289	25194.3066	20149.3867	16401.5449	20091.5996	14911.4512	12599.375	16654.4316	13593.7705	14554.3516	14667.1064	12780.1484	15054.8926	17672.0312	19877.0059	21971.0781	15577.6035	18742.3379	16162.3496	16451.6406	20171.0469	18788.9746	13813.791	17760.4277	20426.4141	22341.0469	13916.2891	13178.001	19220.1934	17891.2695	14233.9609	23121.3926	16646.2656	16049.0557	15355.7363	15703.4053
0.8005	16225.5332	32572.75	16050.5195	18409.8359	15923.1299	18228.2539	16313.3721	14987.5938	16904.6074	14486.8652	17284.2832	15673.2686	25995.3008	17160.8594	14935.4248	18921.0078	15187.6963	11911.9365	15803.0801	13054.0977	12844.1035	14378.2754	12521.2275	13489.3604	15709.4668	19174.5508	21375.2168	14829.4424	20349.334	16652.2246	14653.8594	19829.4492	16650.0039	11983.8096	15496.9307	16664.0957	20910.6133	13855.6152	12625.1777	17567.9062	16978.8086	14055.3682	21842.5234	15210.1143	15479.2832	15927.415	15808.5938
0.934	14628.7314	26932.5918	14367.8564	17374.2598	14447.2441	16143.9551	16331.7861	13753.8232	14137.0195	12937.4355	16710.6543	14945.6318	21462.7871	17168.3223	13966.6416	15955.4727	15241.3711	11713.2568	15263.4268	12898.4521	11821.1748	13513.0605	12398.2012	13516.3262	14247.4014	17275.6055	19088.0703	15265.6855	18282.5762	15798.5879	13044.9395	19086.6973	15608.501	11875.1221	14539.4912	14460.3213	20071.3301	13242.165	12158.8672	16398.3652	15071.0146	13356.4258	21113.8945	13956.8945	14862.7461	15197.1455	16293.833
1.0674	13700.4736	24446.8457	14067.1143	15007.7822	13577.8848	14694.5576	15380.1006	13467.5049	14395.0586	12201.0361	16571.9609	14453.1299	18104.4238	16096.1104	14471.1426	14944.9072	14809.9092	12669.5498	14960.25	12506.8789	11613.2871	13611.9307	12398.9805	12951.3428	13290.1445	16352.7383	15760.0156	14774.8486	16806.6465	12695.0371	12694.2988	17038.7871	15931.9062	11926.0205	15053.1055	13622.8174	20031.0176	12864.6768	12206.1484	15965.8535	15116.7275	13227.4619	19075.1504	13387.3105	14564.7295	13637.3018	15651.7051
1.2008	13601.5605	21801.9414	15103.1045	14873.3252	14375.0859	14384.9375	15151.6523	14001.29	14834.917	11758.6602	16769.5	15055.4678	15971.207	16249.6543	14296.1611	13890.9648	14478.2979	13448.958	13168.6387	12702.9795	11462.4316	12568.3428	12729.7412	12898.6455	13451.2402	16403.6992	15662.8271	14570.4727	15491.7148	12532.585	13904.668	16670.9004	14517.9893	12692.7656	14408.3467	12586.2354	19217.5781	12395.2676	12111.0439	15896.7041	14588.1592	12635.6475	17796.8535	12732.335	13816.0029	13610.3096	15123.8916
1.3342	14241.5586	19845.3301	14773.6406	14609.4922	13776.0107	15073.9131	15585.3662	13198.4248	14546.7227	10931.1924	16285.3467	14053.7754	14753.6992	17124.748	13335.7559	13837.5635	12779.3145	14170.582	12501.0879	14298.5908	12003.4199	12549.0781	12920.1143	13377.6943	13877.4688	16329.415	15880.2256	15339.5283	14173.8633	12034.4521	13480.627	15314.5898	13834.5	13862.3174	14870.9092	12869.3115	19386.6055	12809.7373	12539.999	15541.8545	14390.2363	11932.7051	15621.6533	12273.2793	12247.542	13879.416	15222.7598
1.4676	14494.1768	18002.8281	14927.5312	14384.7334	13869.9453	14373.2129	15532.1572	14403.918	16535.8418	10894.0566	16267.7529	14391.1426	13308.2646	18051.1172	13659.8555	13526.1035	12302.1973	13703.2148	13391.6123	14446.6182	12081.791	13252.2148	12775.3271	13220.9932	14338.5918	16497.2637	15963.5137	14351.4336	13275.7549	12055.5713	13162.665	16009.8496	13298.7373	15319.3457	14589.0811	12626.5469	18540.5898	11895.0312	11964.2139	14601.6299	14394.4385	12660.3428	14136.9395	12052.3359	12841.0605	13911.5947	15676.085
1.6011	14877.375	15956.1084	14262.3711	14084.0127	13700.5586	13806.2383	14526.6709	12923.3867	18173.7559	11876.1143	15506.1836	14220.6514	12394.9707	18482.0879	13854.7305	12759.3809	12517.9395	13779.541	13612.6709	14243.5107	13262.7207	14384.9863	13019.9463	13047.9521	14301.7158	16186.0205	15002.5889	13351.9697	13277.3076	12589.5674	13516.1055	15274.1396	15207.0254	16571.166	14120.8555	13098.1934	18881.6113	11810.9648	11705.6396	14693.7139	13837.209	13368.0889	13704.3379	12249.2324	11994.1982	15448.4092	15203.5312
1.7345	15522.2969	16723.5078	14148.7021	14026.168	13172.6445	13344.8828	12506.0986	12632.0127	20139.8457	12903.3066	15917.8828	13939.9443	12591.7568	18336.0898	12955.8184	12538.1357	14661.7617	14101.2979	14984.6719	14466.1113	13939.9424	16139.1602	13253.6191	12028.4473	13909.3965	14329.1963	14282.9971	13583.1211	13900.6221	11872.9814	13061.1133	15307.6904	15912.0479	16141.9609	12561.7148	13288.3799	19538.7129	11501.3301	11540.0166	15437.6436	13669.4941	13980.0879	13512.1328	12038.1201	12263.9883	15566.9941	14608.085
1.8679	17040.2832	16446.0859	14627.1191	14286.4736	12801.3389	12515.7803	11626.3125	11917.4434	18858.1035	12947.7305	15542.3721	14038.4229	12047.9492	16904.0098	12672.584	12933.0039	16356.3213	14678.6836	14958.543	15172.1484	14245.9668	17752.7461	13658.2314	12150.8184	14067.3301	13366.1846	14139.0752	13075.9053	14082.9102	11929.0254	13710.2314	15432.0508	16498.875	14946.0664	12882.7217	13708.9502	18754.125	10786.8066	11327.8564	14043.9082	13206.9971	14153.3623	14009.2559	10802.3984	12741.2119	14302.4189	14863.9209
2.0013	19368.4199	16329.8486	17294.2598	15039.2764	12964.708	12050.8291	11512.6338	11886.0547	16647.5391	13526.6084	14675.6162	14568.3643	12558.4541	15346.4648	12436.041	13490.1943	18112.8711	14241.8604	13972.0039	16567.2988	14099.6699	17851.4727	14483.9395	12475.3145	14629.79	12898.0234	15230.3623	12681.1455	13933.9033	12830.3857	14146.1572	15058.8652	15173.0938	15148.2031	13759.2285	14282.5205	19240.2012	10551.2422	11645.3027	13950.7695	12421.0107	14601.9668	18133.8848	10729.5508	13017.5713	12551.499	14074.7197
2.1347	19789.5625	16179.9746	17731.8223	15158.2549	13076.4668	13193.9102	11072.5361	12664.9502	14424.748	13986.1367	14674.0557	14750.6406	13072.0869	14214.4404	12852.9336	14175.335	18543.6211	12629.6543	14750.1318	16170.8643	14136.9287	16512.2422	16248.1387	13533.0078	15702.6279	12171.5166	18284.1523	12079.0801	13686.7549	13028.7559	13656.4561	16425.377	13484.7148	14179.1738	14249.4004	14230.498	17251.1895	11256.0811	11130.7744	14225.3184	12049.8115	15078.9619	23113.0703	11147.8779	12954.2275	11997.0078	13388.4648
