x	Y_20180130_15100b_10_11g	Y_20180130_15100b_10_6g	Y_20180130_15100b_11_2g	Y_20180130_15100b_12_5g	Y_20180130_15100b_13_12g	Y_20180130_15100b_13_1g	Y_20180130_15100b_13_3g	Y_20180130_15100b_13_6g	Y_20180130_15100b_16_4g	Y_20180130_15100b_16_6g	Y_20180130_15100b_17_13g	Y_20180130_15100b_19_1g	Y_20180130_15100b_19_7g	Y_20180130_15100b_20_3g	Y_20180130_15100b_20_4g	Y_20180130_15100b_21_14g	Y_20180130_15100b_21_3g	Y_20180130_15100b_21_4g	Y_20180130_15100b_22_11g	Y_20180130_15100b_22_19g	Y_20180130_15100b_22_9g	Y_20180130_15100b_24_14g	Y_20180130_15100b_4_12g	Y_20180130_15100b_4_14g	Y_20180130_15100b_4_20g	Y_20180130_15100b_4_21g	Y_20180130_15100b_5_19g	Y_20180130_15100b_5_6g	Y_20180130_15100b_6_4g	Y_20180130_15100b_6_9g	Y_20180130_15100b_7_11g	Y_20180130_15100b_8_2g
0	11541.283	12268.338	14941.96	11306.429	13359.811	11105.9	12683.703	12422.539	13217.742	14981.891	12645.669	11628.42	12483.236	11290.285	13639.165	13004	12374.759	11010.429	11748.672	12284.053	14279.004	13172.788	15133.494	12515.127	14017.424	10732.266	10595.635	13622.398	11465.537	10609.583	13743.374	13456.8
0.1334	11324.887	13507.188	15939.824	10974.507	13359.925	10853.356	13397.317	12354.248	12882.675	16411.721	13138.898	11659.788	12476.001	11035.305	14061.968	14254.574	13240.242	12844.654	13263.822	12714.825	14819.511	13661.459	14522.873	13604.118	13623.729	10935.228	10993.905	13753.292	12479.632	11551.143	13256.279	13091.336
0.2668	12043.024	15708.418	15363.887	10975.58	13744.235	13102.955	15223.351	13744.676	13755.061	16376.087	13817.992	11984.619	14756.251	12691.628	15995.396	18384.527	14178.121	15202.29	15861.592	13082.699	15909.746	14417.964	15134.054	16193.369	14889.091	13209.335	11247.954	14090.379	13064.979	13367.154	14668.952	13180.589
0.4003	13761.281	17700.543	14282.271	12016.825	15169.834	13747.422	16436.277	15124.336	15740.367	15451.143	16018.263	12956.427	13574.875	14257.357	19264.078	22190.227	16068.396	15954.349	17184.832	13852.173	17257.553	16170.385	17422.26	18620.455	16473.045	15911.065	11553.312	15828.112	13537.73	15350.79	18979.42	14073.759
0.5337	14902.103	19785.811	13689.858	12846.822	17455.701	16756.121	16635.697	15946.987	20331.527	15422.452	14438.676	13603.288	14319.777	16207.722	18476.488	22974.6	17393.793	14863.397	16541.125	14396.282	17457.248	17817.547	22251.893	19315.467	18056.074	17556.482	14358.881	18450.969	15296.436	15415.686	21330.98	14695.81
0.6671	16401.574	19001.891	12644.389	14966.142	17761.246	16439.514	15556.854	16930.648	20689.57	15715.582	14015.656	14555.197	14089.555	17404.203	17081.596	20135.877	17031.076	14988.138	15167.118	14401.094	16546.369	19001.582	23816.297	17327.453	17163.678	16022.355	16637.078	20030.094	15681.769	14206.496	21226.332	15282.828
0.8005	15950.142	17779.885	12819.044	16444.191	17454.859	15455.863	15253.935	16394.504	20832.168	14891.387	13284.771	14283.043	13697.717	16688.123	16297.079	18620.947	17158.484	14684.675	14533.752	14183.188	15801.411	17531.885	22116.605	15557.96	17462.678	15192.674	17213.383	20276.074	15533.896	14429.494	19434.605	15099.058
0.934	14979.89	16800.996	12010.98	16209.874	15748.545	15982.777	14304.677	15857.656	18385.264	14692.784	13311.999	13556.724	13850.862	15239.631	16089.078	16204.823	16526.297	14438.523	14400.777	14250.366	15444.387	17451.625	18899.268	14546.888	15788.781	15385.359	15496.846	19781.742	16182.134	14145.705	18670.635	14157.379
1.0674	15080.85	16449.869	11555.888	16021.147	14927.166	15590.544	13873.397	15858.978	18589.602	14321.212	13050.172	14225.979	14176.816	16052.212	15169.758	16625.227	17411.062	13870.885	14942.662	14273.154	15339.1	17049.262	16779.146	14504.533	15158.696	16008.003	16023.287	18285.496	16492.65	13950.671	17681.291	14118.015
1.2008	15336.944	15111.129	11587.201	15864.315	14797.039	16828.646	13946.045	14459.412	16264.714	14216.466	13423.974	13615.517	13869.809	14998.429	15155.503	15533.769	15735.516	13138.103	15041.707	14220.176	14502.07	17948.602	15002.769	14682.231	15779.346	14151.848	15438.368	17521.205	16699.029	13879.083	16600.098	14505.958
