x	Y_20181208_15100_3_2g	Y_20181208_15100_3_4g	Y_20181208_15100_5_10g	Y_20181208_15100_7_9g
0	30119.7676	28194.4902	28263.6113	28594.6758
0.1334	29149.2441	26534.2871	29062.5078	28118.5898
0.2668	30799.8223	27748.1953	27553.4609	29618.916
0.4003	30302.7148	28559.7969	27619.9824	29554.709
0.5337	30779.3203	28228.5977	29383.9199	31673.0938
0.6671	30916.7754	28735.4004	29069.3086	30955.9297
0.8005	30759.5391	28852.4941	30585.0039	31866.2773
0.934	31863.498	29110.0918	30798.6484	32201.7598
1.0674	31301.1309	30862.0605	29570.3672	31535.2129
1.2008	33623.2852	31456.5137	30433.3066	31628.7246
1.3342	33380.0234	32717.2891	31516.8184	31484.3672
1.4676	33555.7734	32605.752	32129.7148	29486.6426
1.6011	33430.6016	32670.1797	33422.6562	29283.334
1.7345	33374.4531	33850.7344	31757.4121	30053.75
1.8679	34264.2266	34526.668	32096.793	32483.9004
2.0013	37701.9141	35788.5742	36855.3984	36614.4141
2.1347	40877.5547	40907.2617	44587.4922	41868.2461
2.2682	48964.6211	54755.7539	59127.25	55103.1875
2.4016	65033.9258	65006.0508	62173.0742	70319.5312
2.535	65614.0156	50326.5	51066.082	61820.8789
2.6684	51595.2969	37033.5547	38736.4727	46162.9805
2.8019	40100.9648	34127.2422	34312.9922	35977.1602
2.9353	36174.7266	31386.5469	32827.1211	NaN
3.0687	32963.6602	29758.1504	32657.793	NaN
3.2021	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN
