x	Y_20180130_15100_1_6g	Y_20180130_15100_2_3g	Y_20180130_15100_2_8g	Y_20180130_15100_3_12g	Y_20180130_15100_3_14g	Y_20180130_15100_3_16g	Y_20180130_15100_3_18g	Y_20180130_15100_3_2g	Y_20180130_15100_4_16g	Y_20180130_15100_4_2g	Y_20180130_15100_4_6g	Y_20180130_15100_4_7g	Y_20180130_15100_4_8g	Y_20180130_15100_5_10_2g	Y_20180130_15100_5_13g	Y_20180130_15100_5_19g	Y_20180130_15100_5_1g	Y_20180130_15100_5_20g	Y_20180130_15100_5_22g	Y_20180130_15100_5_26g	Y_20180130_15100_5_6g	Y_20180130_15100_5_9_2g	Y_20180130_15100_6_15g	Y_20180130_15100_6_4g	Y_20180130_15100_7_1g	Y_20180130_15100_7_2g	Y_20180130_15100_7_4g	Y_20180130_15100_7_7g
0	15725.052	15225.123	15687.739	15689.71	15996.368	16771	15213.542	15003.958	15257.957	15486.276	16618.166	15633.439	14979.9	16637.746	15854.567	15683.19	15362.4	15381.066	15597.719	16040.079	15812.048	16479.844	15090.588	14554.505	14740.607	16751.1	14202.367	16509.465
0.1334	15124.847	14865.943	16927.441	14969.206	16233.589	16453.363	15685.229	14994.688	15169.274	15754.74	16090.522	16160.238	16670.789	15951.552	16769.668	15093.372	15612.903	15177.336	15173.242	16588.314	16404.867	17030.191	15167.605	14768.369	14782.814	17114.598	14030.979	16018.429
0.2668	15321.707	15294.604	16467.568	15811.409	15964.001	17357.715	15109.954	14323.095	15418.143	15779.14	16500.92	16638.773	15304.856	16781.574	16570.652	15914.233	15870.169	14789.854	14887.101	16461.613	15673.721	16838.164	15206.812	14535.434	15457.866	16477.516	13866.473	15638.632
0.4003	15140.479	16089.425	15964.171	15598.92	15828.718	15276.571	14993.878	14545.467	15148.147	15985.766	15969.701	16409.719	15798.092	16431.77	16376.065	15555.083	16070.034	15428.55	14961.925	15847.513	15008.824	16898.973	14737.598	14660.616	14921.963	16459.639	14108.303	15209.036
0.5337	15326.003	14885.149	16384.51	15999.56	16131.61	16041.534	13780.402	14614.272	14641.478	15234.854	16467.201	16193.278	15105.866	17324.906	16648.236	15109.134	16793.9	14947.895	15022.721	15960.686	15908.594	17271.582	15193.66	14341.944	16368.646	16033.29	14284.043	15493.797
0.6671	14520.499	14704.377	16503.654	16349.447	15577.525	14911.582	14689.705	14967.312	14783.558	16832.592	16792.859	15080.396	14614.824	16742.971	15896.137	15955.812	15911.761	15179.102	15524.362	17076.84	16463.84	17516.113	16287.934	15201.149	16803.824	17910.441	14487.623	15764.381
0.8005	14976.24	15379.908	16202.648	16396.496	16568.488	16580.09	15485.709	14550.956	14843.604	16548.943	16091.317	15611.204	16232.279	16804.48	16637.219	15926.366	16175.343	14684.555	15245.164	16713.621	16626.377	17008.732	16996.961	14520.037	16209.103	15915.775	14423.97	15923.667
0.934	15123.284	14948.199	16374.822	15688.392	15921.441	16004.235	15991.585	14812.969	14776.311	15681.771	15607.724	15497.686	14628.459	17329.658	16407.961	15725.033	16867.123	14832.37	14596.409	16896.031	16387.184	16967.018	16369.482	15257.736	15935.358	15813.531	13961.416	16057.014
1.0674	15499.157	15333.318	16399.344	16398.293	16930.766	15624.308	15932.7	15186.724	14918.826	15418.471	16181.756	16673.631	15418.18	16458.021	15545.701	15435.516	16797.816	15645.548	14779.947	16460.324	16110.702	16329.809	15975.599	15139.37	16789.252	15857.271	14770.916	15621.217
1.2008	15941.045	15414.653	16245.298	15609.866	16261.094	16121.206	15753.338	15418.844	15103.475	15688.192	15540.364	16152.441	15061.376	17099.213	16225.065	15751.821	17323.912	15680.604	14860.458	16102.397	15618.2	17042.672	15850.147	15209.885	17796.678	17290.281	15136.42	15896.504
