x	Y_20181208_15100_1_4g	Y_20181208_15100_18_2g	Y_20181208_15100_9_2g
0	29931.123	30860.0645	27221.0195
0.1334	31068.6387	31422.8613	27136.2246
0.2668	29604.3613	32393.3379	27779
0.4003	30463.4434	31640.873	27821.1152
0.5337	30346.9062	32118.375	27963.5137
0.6671	31118.1074	31755.1543	30907.9609
0.8005	30769.9961	30968.7051	30149.9707
0.934	31934.1309	31547.5098	30849.7559
1.0674	31284.0703	32140.3984	30300.0234
1.2008	30289.8828	31672.4375	30926.918
1.3342	30624.4238	31583.2773	31505.0605
1.4676	29907.2871	32003.2012	30907.4863
1.6011	30960.8125	31130.332	31339.3086
1.7345	30163.4297	31183.3457	30824.0234
1.8679	30572.2051	31202.7852	29860.0078
2.0013	31968.1973	31814.9902	31405.6289
2.1347	32252.6543	31590.0254	31063.9316
2.2682	31400	32050.2012	32225.8066
2.4016	31046.002	32868.3359	31724.0664
2.535	33622.6914	32552.9219	32837.9609
2.6684	33018.5469	33432.332	34536.7422
2.8019	32322.4961	35777.7344	39368.5781
2.9353	31906.8047	39776.5195	53156.2422
3.0687	32353.1973	52722.875	77350.4531
3.2021	34598.8008	83383.1797	108962.2812
3.3355	39864.9766	106057.9062	120412.3672
3.469	47014.1406	90045.3047	89865.8047
3.6024	54919.543	59939.3555	55326.2266
3.7358	51590.7344	44602.7305	39903.6992
3.8692	40806.1758	38107.0859	35732.0234
4.0027	36257.4531	34104.4062	32045.6504
4.1361	33215.7617	32833.3281	32414.0703
4.2695	32372.0762	31676.5352	NaN
4.4029	NaN	31726.0312	NaN
4.5363	NaN	NaN	NaN
