x	Y_20181208_15692_37_2g	Y_20181208_15692_38_10g	Y_20181208_15692_40_7g	Y_20181208_15692_43_15g
0	26105.6641	28279.9961	25186.3262	26687.7207
0.1334	27065.2637	26840.2031	24519.6758	26815.8418
0.2668	26128.4414	26728.5195	24359.8438	28221.3086
0.4003	26541.1699	26859.3105	25096.4805	28285.0938
0.5337	27665.5039	28186.3301	25192.5977	28555.0977
0.6671	26275.877	28180.3789	26165.2285	28895.9922
0.8005	27235.2207	28282.1836	27560.6426	29908.8633
0.934	27194.3457	28458.9199	26920.6445	28650.9375
1.0674	27326.2773	28972.6641	26968.5352	28582.6895
1.2008	27882.8223	29503.5918	26656.8535	29447.9453
1.3342	27966.0645	29066.8711	26935.0723	30262.3848
1.4676	28493.4082	30224.0234	27260.791	29452.4102
1.6011	28569.7539	29832.168	27037.168	29656.4062
1.7345	29212.668	29191	26365.9453	29885.3555
1.8679	28665.8945	30126.3125	28025.1152	29487.9297
2.0013	28766.3828	30312.3242	27575.5156	30260.6191
2.1347	28693.9629	30352.0918	26506.5059	30167.1992
2.2682	28222.8125	29534.8867	28066.4316	31679.0703
2.4016	27760.0977	29308.4688	27245.1953	30144.6973
2.535	28022.166	29192.0469	27140.5156	31895.6191
2.6684	27922.3184	29001.3223	27830.1602	31944.5215
2.8019	28593.4941	28318.6016	28329.3262	30393.6504
2.9353	28653.3887	29513.707	26626.5039	29536.4121
3.0687	27388.0566	30171.1484	27607.8574	28992.793
3.2021	29049.9062	29727.707	26947.3613	29055.2949
3.3355	32941.7734	29995.0918	27166.0312	30546.9062
3.469	40124.332	30967.1758	29350.3984	29712.4453
3.6024	47990.4609	33260.1133	33470.418	32746.3906
3.7358	46266.5312	34818.1328	41764.2266	40094.1211
3.8692	38425.6914	45277.3984	51689.9805	42963.5117
4.0027	32540.7109	60843.2227	49354.0859	39253.8789
4.1361	28434.6406	67110.9219	39175.8555	33613.1172
4.2695	27346.1328	51111.6758	32584.125	36761.043
4.4029	27253.0527	36940.7891	28625.9961	NaN
4.5363	26352.7949	31468.418	27402.1035	NaN
4.6698	NaN	29179.0957	NaN	NaN
