x	Y_20180224_15102_1_1g	Y_20180224_15102_10_8g	Y_20180224_15102_10_9g	Y_20180224_15102_11_11g	Y_20180224_15102_12_2g	Y_20180224_15102_12_4g	Y_20180224_15102_13_8g	Y_20180224_15102_14_2g	Y_20180224_15102_15_6g	Y_20180224_15102_16_7g	Y_20180224_15102_18_6g	Y_20180224_15102_19_8g	Y_20180224_15102_20_2g	Y_20180224_15102_20_6g	Y_20180224_15102_21_2_S_g	Y_20180224_15102_21_9g	Y_20180224_15102_22_1g	Y_20180224_15102_22_5g	Y_20180224_15102_23_6g	Y_20180224_15102_25_13g	Y_20180224_15102_25_4g	Y_20180224_15102_26_1g	Y_20180224_15102_26_5g	Y_20180224_15102_27_10g	Y_20180224_15102_27_2_S_g	Y_20180224_15102_27_5g	Y_20180224_15102_27_7g	Y_20180224_15102_28_1g	Y_20180224_15102_28_9_S_g	Y_20180224_15102_29_2_1_S_g	Y_20180224_15102_29_2_2_S_g	Y_20180224_15102_3_6g	Y_20180224_15102_4_3g	Y_20180224_15102_4_5g	Y_20180224_15102_4_7g	Y_20180224_15102_4_8g	Y_20180224_15102_4_9_S_g	Y_20180224_15102_6_2g	Y_20180224_15102_8_3g
0	37192.418	40287.512	39650.078	39588.199	29418.904	37719.793	37658.887	34185.234	37735.582	34705.746	38131.633	41279.703	36603.98	38265.633	40132.188	37782.672	36997.914	32931.082	38604.184	37040.863	37359.523	34430.043	39884.125	35132.352	37308.027	36764.574	38964.582	34255.184	39365.121	38834.352	36607.73	39599.301	35526.445	35505.543	31157.799	38641.66	35326.84	33341.117	41315.449
0.1334	37334.602	39910.227	40913.949	41116.715	29673.826	37930.051	37395.309	35934.805	38648.258	35071.719	37604.945	40411.613	36772.227	38822.695	36821.895	39186.191	37357.355	34722.188	37099.359	36345.594	39628.09	34548.664	40243.156	34501.562	39815.793	37503.641	38899.785	35745.781	37014.68	37509.945	37734.895	42886.699	36269.445	36263.719	33128.211	39036.547	34846.543	32202.951	38955.531
0.2668	39850.43	37603.668	40022.016	41461.312	30148.527	37481.07	36795.574	36247.484	39687.707	35547.973	39371.098	40890.457	37900.508	39606.184	40355.887	38414.547	38383.168	33965.645	37555.16	37178.148	38372.734	34274.883	39206.258	33920.469	38724.75	39642.988	40697.211	35001.379	36861.34	37110.801	37041.828	41453.93	37093.98	37113.973	33397.621	36949.211	35346.207	33234.262	40318.188
0.4003	39034.246	36315.199	39758.375	41067.215	31726.869	37822.68	36296.727	35139.375	40993.086	35360.156	38132.203	40741.305	38405.82	36355.598	38970.848	37036.703	38888.762	32964.23	36538.426	38197.934	37313.738	35763.77	40456.977	34025.23	38934.07	39431.773	40475.449	33273.93	39008.156	37026.891	37736.746	40834.105	36133.172	36121.723	33395.605	35369.281	35391.379	33219.738	41172.871
0.5337	37716.047	37730.371	39626.875	42904.332	31430.639	39630.938	36984.141	36666.984	42035.082	33093.98	39418.523	39487.242	38350.867	37061.723	40499.688	37262.395	38021.938	33789.43	37150.352	36803.391	38527.164	37176.906	39024.727	32739.682	37616.23	38398.754	38969.859	33679.438	39668.336	36977.141	37400.492	40805.637	34285.355	34334.625	33956.824	37790.621	35847.594	35169.969	40485.094
0.6671	38031.961	39431.301	39650.316	43384.535	31346.744	39477.633	38565.332	34990.891	42729.57	34929.355	38214.453	40231.168	40148.398	38125.711	39741.23	35169.332	39112.699	32703.338	36867.848	36640.324	38535.27	36986.93	38829.48	33270.75	37008.078	37353.836	38287.238	33897.727	39828.137	37846.879	39518.285	40396.52	36250.754	36155.434	34054.562	37906.684	34570.625	34156.352	39678.727
0.8005	37084.285	39576.551	40616.562	43646.777	31329.92	37482.035	40048.973	34411.594	41975.137	34634.344	37587.484	41580.641	40495.23	39006.672	40402.461	35928.016	37820.629	34211.684	37907.047	36125.91	39886.844	35519.332	38836.285	32714.932	38259.75	39513.754	37736.723	33641.395	39482.84	38532.355	38622.055	40089.262	35737.754	35603.551	34222.555	37991.969	36279.793	34635.492	40829.91
0.934	35105.387	40650.535	40451.574	43560.102	32644.543	39274.258	38118.793	35633.582	42238.957	33483.668	36904.684	38774.703	42559.617	39245.812	37681.918	35681.254	37567.398	36089.699	37962.738	37706.805	38194.898	35480.047	39736.223	32575.191	38097.008	38244.277	38142.625	33310.789	41281.32	37336.684	38228.75	41067.699	36740.754	36546.152	35171.086	37686.191	36331.703	35307.988	41203.359
1.0674	37421.863	39295.07	39951.863	41588.406	31726.729	38060.605	39782.094	34788.23	43524.848	33034.891	37815.504	40436.07	43205.43	39664.426	40016.211	36272.184	37538.895	35072.062	38798.352	38776.547	37178.207	33358.582	40829.457	32252.652	39356.508	37956.582	38868.906	34376.883	42532.422	36002.105	37121.816	40819.734	37286.695	37070.082	33100.352	38205.793	35944.691	35249.234	40568.715
1.2008	37375.777	39149.09	39152.668	39767.602	30776.496	38251.758	39636.793	35950.258	43107.43	32429.354	38084.109	40414.891	41818.789	38734.02	39848.055	36390.723	37549.727	34975.754	37903.68	37173.215	37192.934	33340.07	43376.672	32304.178	38822.066	37681.953	38860.25	33774.211	38809.707	35526.762	37709.91	42343.012	36637.031	36512.031	32593.186	37361.156	36420.547	34776.465	41150.551
