x	Y_20181208_15693b_10_8g	Y_20181208_15693b_11_16g	Y_20181208_15693b_12_10g	Y_20181208_15693b_12_12g	Y_20181208_15693b_12_1g	Y_20181208_15693b_12_6g	Y_20181208_15693b_13_10g	Y_20181208_15693b_13_19g	Y_20181208_15693b_13_2g	Y_20181208_15693b_13_8g	Y_20181208_15693b_2_11g	Y_20181208_15693b_2_5g	Y_20181208_15693b_2_8g	Y_20181208_15693b_2_9g	Y_20181208_15693b_3_15g	Y_20181208_15693b_3_19g	Y_20181208_15693b_4_13g	Y_20181208_15693b_4_7g	Y_20181208_15693b_4_8g	Y_20181208_15693b_5_12g	Y_20181208_15693b_5_21g	Y_20181208_15693b_5_4g	Y_20181208_15693b_5_7g	Y_20181208_15693b_6_17g	Y_20181208_15693b_7_14g	Y_20181208_15693b_8_11g	Y_20181208_15693b_9_10g	Y_20181208_15693b_9_19g	Y_20181208_15693b_9_1g	Y_20181208_15693b_9_3g	Y_20181208_15693b_9_8g
0	28484.8906	26499.748	29864.541	30972.7598	28804.2754	28010.9551	25000.0488	34894.2422	27828.0176	26686.1543	28725.291	31116.1445	29814.2891	28209.9297	33041.2461	28892.748	34238.7383	29933.5195	30285.123	33423.6641	29814.5195	28012.9609	28304.1133	30534.6797	29750.4609	31796.9512	30246.9629	30265.0918	29027.9414	28939.9746	29835.7383
0.1334	29864.375	27122.1211	28883.6895	31185.3535	27292.9805	27268.2461	23914.0117	34694.8281	29369.2383	26858.9648	29367.7598	30189.3828	29539.3984	28646.6133	34284.1094	28479.5586	34755	28893.3613	30486.2578	33720.3438	29566.0781	29926.1406	29888.3652	33320.3711	30127.1191	32128.8477	29666.8398	29973.7637	28131.9844	28003.0488	29993.0391
0.2668	31697.2305	28487.3418	28958.7461	31286.2559	28798.9375	27579.0391	23840.8828	33296.293	29114.4922	26827.7695	30637.1094	30528.377	29485.8047	29072.6992	33533.1875	29842.4199	34264.7578	29668.6953	27941.9727	34781.2266	30806.3926	28328.8047	30175.1367	32293.6367	30467.4727	33083.9492	30114.2949	29811.4922	29095.8398	27497.1602	29314.7949
0.4003	29521.8438	27799.8809	28509.5605	29961.791	28898.2832	28156.1523	24732.7266	35000.5234	28929.1426	26165.5723	28197.7852	32750.6387	29274.6133	28905.7461	33149.5469	30474.1777	35759.1797	31023.4453	28609.459	33494.707	30382.2969	30068.1016	29093.1055	31791.8125	31587.5059	32897.8516	28664.3848	30357.4238	30066.5098	29313.7969	28794.873
0.5337	30319.1367	29015.1582	29794.8027	31545.1348	30603.5996	29826.9453	25039.3574	34967.5938	29003.1035	26413.043	31701.0469	32309.418	28807.207	28086.459	32798.9766	29342.3984	35091.3828	30503.6719	28700.0254	33607.8438	30884.3184	30843.8906	30350.0586	34035.1367	32701.2793	32015.0684	29014.5859	31137.8867	29444.2344	29205.3652	29454.7227
0.6671	29862.3789	28938.4395	30779.2031	31221.0449	28910.625	29212.6133	24201.959	35655.3867	29440.3457	27397.4473	31151.7578	32245.4707	29178.4531	29707.498	30503.6113	31721.9277	36632.1328	31773.4023	30134.8164	33373.1836	31252.2812	31593.0879	29849.7695	32903.7109	33504.9102	31797.7656	29033.7812	32280.0605	29534.6426	29504.1406	30160.3301
0.8005	30977.5938	28275.8809	30344.9414	31878.623	29006.2363	29926.4922	24161.1562	34617.0664	30672.5059	27718.1816	32510.0918	32996.7188	28322.7812	30990.8887	31422.2949	30777.373	36357.1523	31846.8516	30844.8066	33522.4141	32022.5879	31693.791	30891.4355	33449.6484	32536.9453	32047.9727	30110.291	32613.543	29374.6211	29619.6309	31508.6348
0.934	30851.3809	28244.2402	30131.5117	32449.209	30130.9609	31951.6816	25490.9141	34066.875	32468.2988	27045.1289	33060.2617	33548.9883	28327.5977	33321.0703	31650.5996	30377.1289	34419.3594	32223.2109	31026.9668	31328.9277	33013.1641	32779.0508	34854.2656	34337.3828	31842.1562	32925.9883	31796.5508	32943.4844	29648.0723	29029.8203	31045.625
1.0674	30704.7773	29884.7246	30993.4727	32938.4531	28343.5996	31421.8633	25522.6641	35150.6289	34776.2969	28737.4668	36506.5078	35704.2539	29524.209	36608.4102	33215.8477	30930.666	34643.0547	31958.6309	30914.3145	33884.3828	32230.4531	33588.3789	38687.5	33445.6367	32853.8789	33435.2969	34592.0625	33584.9492	29340.8281	29240.0957	30714.2207
1.2008	33327.2461	31581.2129	30934.3672	32956.6719	30309.3223	37432.7812	26052.6211	37437.7266	38299.1758	30620.6152	43713.043	43806.0859	29799.8984	45505.0586	31820.4082	32677.9941	35383.1133	31412.0957	30349.998	34591.8359	30920.4375	34782.4922	47436.8047	35171.8633	33478.6133	33970.957	46164.8828	36175.0664	31015.8652	31689.0488	31484.1445
