x	Y_20180224_15100_10_4g	Y_20180224_15100_12_11g	Y_20180224_15100_12_1g	Y_20180224_15100_13_10g	Y_20180224_15100_17_5g	Y_20180224_15100_19_5_1g	Y_20180224_15100_19_7_1g	Y_20180224_15100_20_6g	Y_20180224_15100_20_7g	Y_20180224_15100_24_5g	Y_20180224_15100_28_6g	Y_20180224_15100_28_9g	Y_20180224_15100_30_4g	Y_20180224_15100_33_7g	Y_20180224_15100_7_1_1g	Y_20180224_15100_8_8g	Y_20180224_15100_9_4g
0	40107.184	38891.926	34957.996	31900.969	39305.801	35164.805	34207.352	40354.594	39585.562	35441.559	39908.773	39313.164	40308.906	37488.875	37066.648	36764.238	39024.938
0.1334	39921.477	38621.578	33548.586	30975.721	41209.957	35192.797	33304.801	41868.902	38724.387	34677.137	39158.18	38400.957	42042.465	37528.691	35764.754	37158.395	39081.332
0.2668	39896.191	38175.527	33530.98	32526.432	39519.863	35485.051	33426.238	39984.789	39637.219	35488.969	38552.422	40409.98	41480.367	37962.133	36939.016	37120.461	38822.598
0.4003	38896.906	35795.816	33694.18	33104.211	40062.543	35978.875	31742.965	38971.93	40626.855	34097.828	38592.328	38866.422	41126.48	35645.777	36281	37357.594	38939.625
0.5337	39107.875	36199.812	34133.773	32838.414	40122.324	37211.309	33391.395	40798.043	40115.094	36193.723	37916.234	38515.176	38063.422	34948.547	36135.801	37448.895	39263.676
0.6671	38209.582	37737.461	34590.863	31526.373	39969.426	37173.281	34842.23	40626.695	38772.902	36507.137	38125.887	38518.68	40295.645	36010.801	35151.258	37043.516	41579.277
0.8005	39422.938	37179.336	35588.41	33815.047	38269.277	37349.121	35465.613	39593.055	38932.777	34443.801	37462.742	37759.523	40800.293	36542.965	36367.184	37770.762	38373.492
0.934	40260.082	36175.977	35521.133	33998.672	40488.188	36045.801	33897.438	38707.832	39053.496	34549.68	38903.746	36969.336	41242.762	38296.91	35799.926	36372.668	38353.133
1.0674	39961.27	35619.613	36138.488	34566.617	40928.836	37076.266	34466.73	39785.148	39669.469	34505.512	38080.137	38245.047	41556.301	38533.234	34554.324	37354.621	40015.883
1.2008	39009.012	35760.371	37482.879	34060.582	41529.281	38757.285	35787.566	42761.762	43285.527	36472.5	38473.668	40073.5	41384.703	39711.316	36622.004	37332.062	41529.199
1.3342	41057.84	36272.441	41618.641	35453.82	45043.328	43933.336	36978.516	44042.355	45858.797	37304.469	37600.59	40774.691	45553.41	41207.52	36601.883	38472.477	42204.445
1.4676	47456.5	36716.027	47160.551	38229.488	48696.676	52389.98	38499.871	47491.703	54918.469	39094.727	42241.625	45143.223	54616.922	45734.203	37709.551	44445.652	44279.633
1.6011	53735.238	36978.906	61290.168	45074.336	66750.07	67664.68	40579.828	55630.309	83213.68	40967.305	53671.664	56850.043	84175.203	60744.449	43834.023	53769.953	47434.105
1.7345	71651.867	38870.039	96907.18	68628.57	96319.227	82093.766	47718.934	77957.844	126826.008	47482.625	77799.992	86929.039	108784.141	84336.594	55874.422	66118.086	59740.852
1.8679	111359.109	40854.992	139538.984	108064.984	111789.141	97741.336	58044.824	115398.344	118989.594	60083.742	95706.594	121450.344	94648.695	86460.773	87469.422	71042.383	91859.305
2.0013	143848.656	53166.465	134381.938	120292.164	91034.859	93889.469	57810.375	131260.703	84510.75	69334.945	82778.367	116602.711	64266.477	66454.117	109642.867	59680.812	148776.5
2.1348	120929.594	78038.727	86274.867	91142.945	61441.25	66863.359	46257.965	99763.273	58364.551	64545.66	58916.332	81219.914	48128.543	47768.957	89506.695	46910.602	156868.125
2.2682	80561.445	95343.859	54734.645	59469.035	50405.41	NaN	39693.801	66879.703	48487.891	49517.574	47420.77	56669.715	NaN	40967.941	61499.191	41141.312	102800.273
2.4016	56181.133	82221.469	44414.379	45340.516	44414.797	NaN	NaN	50243.527	NaN	42965.375	42125.641	45336.301	NaN	40300.852	47306.531	39817.414	64191.66
2.535	50499.055	59770.082	NaN	38730.141	42549.305	NaN	NaN	44237.121	NaN	41613.547	39790.102	NaN	NaN	NaN	41381.773	NaN	49955.93
2.6684	49979.012	46542.129	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40938.031	NaN	45921.102
2.8019	NaN	41460.258	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
