x	Y_20181208_15794b_1_1g	Y_20181208_15794b_10_5g	Y_20181208_15794b_3_2g	Y_20181208_15794b_6_4g	Y_20181208_15794b_6_8g
0	27913.877	26525.4727	28496.2188	29549.7363	25269.6289
0.1334	26955.5156	27116.3438	26333.9746	29878.8535	26426.7871
0.2668	25991.2656	27749.9883	27299.6309	30664.6895	25820.0566
0.4003	27716.2812	27667.6797	27387.7734	31837.0527	24447.3711
0.5337	26078.6309	27130.9141	28778.0586	32035.7578	26096.6699
0.6671	27013.2305	28587.6328	28238.5684	30930.2598	26643.0801
0.8005	27112.291	30329.1484	28192.1777	30782.0957	26315.8652
0.934	26862.7227	28358.9043	28160.4375	32380.3418	25633.1914
1.0674	27774.8887	32173.9277	27491.1699	32794.4258	25830.9434
1.2008	28205.1035	36527.5781	28527.9395	33637.5703	27505.2676
1.3342	28867.2461	44089.7656	30483.5977	34732.1562	29744.8359
1.4676	28488.7168	57690.543	33402.2109	37166.4961	30625.8555
1.6011	32506.9043	58432.7344	40966.207	41769.9688	36698.5234
1.7345	41858.6133	45397.4375	57139.4453	53134.9844	49233.3398
1.8679	48442.1367	39656.1055	77856.4844	70454.2656	63543.4805
2.0013	43959.1523	NaN	75605.0156	72824.2734	60662.3711
2.1347	35413.2031	NaN	55957.5156	58510.8828	43764.6562
2.2682	30562.7871	NaN	39441.9102	41847.1836	35044.8438
2.4016	28481.4414	NaN	37271.6055	35757.7344	NaN
2.535	27523.7715	NaN	36358.8008	33834.2734	NaN
2.6684	NaN	NaN	35836.4883	33009.2461	NaN
2.8019	NaN	NaN	NaN	33811.2109	NaN
2.9353	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN
