x	Y_20181208_15692b_10_3g	Y_20181208_15692b_3_4g
0	30829.3828	29587.5293
0.1334	29817.0039	29849.2949
0.2668	29590.709	28456.3613
0.4003	30852.8789	29927.5645
0.5337	30091.9414	29641.7715
0.6671	30783.418	29937.8438
0.8005	32654.998	29277.7871
0.934	34058.5586	29701.3926
1.0674	32950.3711	30817.5977
1.2008	33623.5898	30009.0391
1.3342	33456.0039	31194.5957
1.4676	32560.9941	29901.1836
1.6011	33331.4336	32080.7734
1.7345	31833.1172	30027.9043
1.8679	32987.2227	29251.0312
2.0013	30617.0898	30087.3867
2.1347	31915.6211	30520.834
2.2682	30358.7812	30508.5469
2.4016	30223.2695	30160.498
2.535	31984.4512	29588.0879
2.6684	31592.3867	30490.0664
2.8019	29951.4785	33609.9844
2.9353	30595.043	39606.5312
3.0687	31148.2227	55842.2539
3.2021	31588.8145	80396.4531
3.3355	32870.5078	87928.9922
3.469	38115.3242	67602.1953
3.6024	52088.3555	45957.1953
3.7358	78166.2578	37405.3203
3.8692	84136.1328	33452.5977
4.0027	60310.043	32825.6602
4.1361	41994.4609	33603.8398
4.2695	35733.4727	NaN
