x	Y_20181208_15794_12_3g	Y_20181208_15794_16_1g	Y_20181208_15794_20_1g	Y_20181208_15794_24_3g	Y_20181208_15794_29_11g	Y_20181208_15794_3_19g	Y_20181208_15794_7_4g
0	28230.9277	24898.2578	27927.4727	26244.3965	28418.4414	28890.6289	28597.5527
0.1334	29171.4941	25386.418	27505.5312	26010.8027	28369.0312	28589.7227	28064.1523
0.2668	28102.7754	26118.5371	27978.2578	25393.5156	29459.9727	26645.7012	28010.1719
0.4003	28867.3613	25264.0879	28258.8477	26941.1172	29985.5762	27900.1758	29060.0762
0.5337	28342.9199	25070.7676	29150.916	26822.752	29140.2383	29576.2988	29705.8613
0.6671	27838.2637	26282.4531	29435.0059	27480.5918	29721.3125	29919.9883	29202.6719
0.8005	28741.9355	26600.502	28198.7207	27754.9883	31397.6504	30522.1953	30872.8594
0.934	29446.6602	25286.5215	29687.5098	27104.0898	31047.9375	29137.4531	28700.9766
1.0674	29294.9961	25635.0273	30428.6328	26986.9648	32778.5977	29819.5156	29876.0176
1.2008	30291.2637	27286.4238	30073.9336	28429.8574	30908.0684	29999.6895	30815.0176
1.3342	31129.5254	27425.5488	30045.3926	29236.2871	29962.6523	29769.1875	30525.3848
1.4676	31061.5918	25714.7988	29795.3633	28778.1895	31299.5605	28607.6602	30424.0039
1.6011	33560.6602	26856.2266	31645.4785	28212.7695	29288.627	29445.3281	30694.0723
1.7345	31733.0078	26577.1172	29935.6387	29000.0566	30997.7617	29306.375	30626.0762
1.8679	32056.3438	26321.3047	30357.0625	28873.1445	30522.5684	28138.5508	31922.9844
2.0013	31279.7188	24906.793	30918.5293	26855.8223	31736.7656	28397.293	30255.6289
2.1347	31150.3242	26795.5195	29511.3086	28092.6973	30580.2012	29056.9062	32793.0117
2.2682	32078.3574	27787.2598	29854.248	27723.4121	29306.1543	27989.3926	34662.7812
2.4016	31844.5273	26844.8164	30366.8848	26963.7188	29907.2266	29616.2227	38192.2148
2.535	31714.4961	26792.543	31210.3516	26858.2012	30437.5254	31389.3184	44212.5312
2.6684	32029.7266	26510.2734	29608.7422	27501.8477	30164.7598	33464.4102	43017.8438
2.8019	33507.4453	25699.5039	29657.4727	27501.6934	33685.7266	36944.9922	37452.9062
2.9353	35573.3438	26162.7285	32433.8555	28303.0859	39696.8711	37964.8594	33856.5234
3.0687	35606.2969	25723.1953	35230.3438	27341.3789	50295.8945	36047.7227	29955.2246
3.2021	35010.2852	26198.7227	46299.5977	28277.7129	58977.9648	31694.2305	28767.1387
3.3355	34884.5859	26139.2832	64593.1055	29835.5312	52091.5742	29726.127	29139.6289
3.469	36833.9023	27935.416	74880.5547	34595.6602	43629.8242	28815.5098	29804.8242
3.6024	41121.8672	29992.1387	57599.6484	42949.0039	38101.2812	29541.6797	28557.2637
3.7358	52801.7852	35865.0156	40220.0195	42991.4531	33106.1406	28498.5215	NaN
3.8692	77220.4531	49162.8047	33295.7773	36506.8711	30517.6426	NaN	NaN
4.0027	104960.9766	73531.0625	31127.3438	30096.7695	NaN	NaN	NaN
4.1361	93231.875	84809.875	NaN	29750.5293	NaN	NaN	NaN
4.2695	60066.0859	68779.3047	NaN	27411.541	NaN	NaN	NaN
4.4029	41349.5938	45167.1875	NaN	27066.1992	NaN	NaN	NaN
4.5363	35266.9336	33747.8516	NaN	NaN	NaN	NaN	NaN
4.6698	31367.9766	28742.0586	NaN	NaN	NaN	NaN	NaN
4.8032	30505.2598	25831.3184	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	25108.2441	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN
