x	Y_20180224_15102_1_4g	Y_20180224_15102_10_1g	Y_20180224_15102_11_9g	Y_20180224_15102_12_14g	Y_20180224_15102_12_5g	Y_20180224_15102_12_7g	Y_20180224_15102_13_4_2g	Y_20180224_15102_15_3g	Y_20180224_15102_15_4g	Y_20180224_15102_15_7g	Y_20180224_15102_16_1g	Y_20180224_15102_17_2g	Y_20180224_15102_17_4g	Y_20180224_15102_17_7g	Y_20180224_15102_19_2g	Y_20180224_15102_2_3g	Y_20180224_15102_20_12g	Y_20180224_15102_20_1g	Y_20180224_15102_21_1_S_g	Y_20180224_15102_21_5g	Y_20180224_15102_21_6g	Y_20180224_15102_21_8g	Y_20180224_15102_22_3g	Y_20180224_15102_23_1g	Y_20180224_15102_24_4g	Y_20180224_15102_24_5g	Y_20180224_15102_24_6g	Y_20180224_15102_25_12g	Y_20180224_15102_25_14g	Y_20180224_15102_25_5g	Y_20180224_15102_25_7_1g	Y_20180224_15102_25_7_2g	Y_20180224_15102_26_6g	Y_20180224_15102_27_14g	Y_20180224_15102_27_3g	Y_20180224_15102_28_11_2_S_g	Y_20180224_15102_28_4g	Y_20180224_15102_29_4_1g	Y_20180224_15102_29_5g	Y_20180224_15102_3_5g	Y_20180224_15102_4_1g	Y_20180224_15102_5_1g	Y_20180224_15102_6_4g	Y_20180224_15102_6_5g	Y_20180224_15102_6_7g	Y_20180224_15102_7_4g	Y_20180224_15102_9_5g
0	32112.66	39396.758	38994.84	39632.742	40679.398	33843.547	39970.844	37472.414	39575.605	38169.531	34202.816	35111.332	37093.52	30826.67	35513.191	36395.957	32837.254	35160.699	33550.398	35923.492	35142.324	39222.738	33549.312	38888.773	39091.359	37481.129	38066.383	40688.559	37560.938	34845.949	36432.93	38115.57	39611.055	37739.988	36359	39589.551	40017.117	32979.219	35575.289	39228.715	38234.961	34429.699	37515.223	39242.078	38730.434	29503.373	39406.406
0.1334	33707.977	38607.66	39952.32	38559.273	40409.598	34666.277	38987.645	35984.113	40542.547	41049.793	32174.701	35222.09	36184.016	32915.707	34490.395	36338.914	33588.617	37529.195	33757.785	34310.934	34711.234	38056.41	31753.973	37157.59	39636.594	36093.664	37743.012	43071.172	39224.902	34748.812	38588.059	38774.656	40888.582	39311.25	36733.047	38024.02	39183.906	33540.93	36725.43	39021.559	37699.16	36100.527	37711.383	38206.586	39088.773	31176.117	39660.609
0.2668	32817.621	37296.723	38395.246	38669.375	41521.828	35870.637	40183.637	35290.453	37907.91	41923.641	32456.5	34778.785	34313.484	32130.207	34677.031	36397.008	31945.992	35692.332	34134.672	34601.547	36158.242	37053.965	30802.674	38782.328	38022.492	36221.664	38348.195	41297.227	38311.789	32644.576	39123.73	37660.023	39720.379	40679.086	37861.266	40088.945	38470.652	33402.496	36591.953	40449.621	38194.473	36420.34	40124.777	38016.191	38591.812	30461.51	39098.254
0.4003	32939.785	35976.148	38408.238	36889.723	41539.859	35041.891	38676.664	38079.395	38337.875	40584.48	32078.951	36066.066	35014.141	33698.988	35742.828	35630.32	32351.402	34981.621	31639.793	35098.668	35865.637	37357.223	31652.27	39563.656	38063.918	36755.309	37544.316	42644.781	37912.887	33327.16	36719.371	40069.391	38220.871	39334.457	38128.594	38336.656	38907.289	33789.316	39032.934	38570.773	37397.355	35573.066	39294.613	39094.238	39479.488	30048.912	41290.16
0.5337	33476.707	37710.629	38979.422	36474.75	40033.047	35492.879	39381.973	36658.41	38405.23	39001.145	30459.807	35801.641	35986.68	32549.764	36108.027	35032.215	33469.992	36189.191	31427.66	35468.602	34857.141	38108.57	31618.248	38489.465	39134.055	37121.617	37778.082	41855.359	36711.312	33462.426	37231.242	39733.516	37265.793	40211.023	37031.371	38495.34	38969.824	33309.844	37398.922	39537.23	37395.344	36420.484	38857.324	39618.895	41067.016	30356.299	40464.293
0.6671	33220.703	35869.238	39659.688	36604.23	39885.402	35469.082	39810.762	36668.035	38150.328	41167.613	31220.084	35252.312	34474.98	33475.574	35928.281	34454.172	32852.227	37060.887	31972.361	34426.156	35665.934	37758.824	31967.432	39071.902	37850.09	35652.949	35853.398	42137.801	37655.941	33400.492	35823.984	38509.594	40794.336	40353.859	38626.762	38240.137	39159.102	33813.43	37692.273	38756.281	38653.477	35353.949	38767.945	40390.578	41913.043	29784.209	39866.039
0.8005	32754.117	35953.168	38706.434	35815.172	40690.164	34795.676	39953.852	38272.078	38747.672	39307.43	34467.68	35170.621	34946.113	32457.809	35768.379	35372.453	32717.113	37165.234	31570.418	35794.125	35492.879	36002.246	33714.539	38459.191	38565.492	34579.012	36524.797	41745.145	37499.012	33818.578	36577.324	39951.465	39027.094	38399.734	38350.082	37601.844	38546.562	33029.188	39649.32	37338.762	38812.148	36724.754	39839.438	39232.441	41136.785	30577.463	40102.137
0.934	33198.723	36113.07	39556.523	35855.816	39912.957	36259.961	39274.789	38384.07	38467.469	39002.461	33398.957	34286.461	35327.922	33956.484	35514.824	35003.238	33561.887	35339.844	32366.582	39285.57	34696.121	35542.852	35646.883	39186.293	38741.379	33666.898	36080.891	43497.883	36717.289	34295.285	36319.762	39876.73	39016.117	38671.078	39783.281	38203.98	40540.887	32918.527	39103.539	38956.551	39320.637	36987.609	39242.613	38358.805	40080.551	29613.57	39104.289
1.0674	33081.93	35789.254	38144.242	36183.156	39176.73	35295.055	42917.59	38719.598	39827.258	38328.234	32729.344	33900.773	35643.234	32449.678	35513.047	34801.645	33209.18	35511.453	34056.84	38585.652	36649.004	37237.844	38012.734	38982.586	38210.18	34425.078	35191.195	41373.203	37001.215	33657.395	37176.832	39792.738	39038.168	39017.629	38648.648	40382.207	40023.176	33922.004	38798.699	37985.113	38797.801	34470.27	38739.309	38468.145	40068.469	31323.416	39553.836
1.2008	33280.465	36534.445	39729.812	34465.75	40069.977	35468.258	45003.496	37573.859	39031.234	39823.184	33195.188	33241.32	35412.383	33925.742	36873.965	36203.207	32852.273	36973.754	31374.51	39778.414	34903.656	37356.281	35783.16	39111.836	40084.27	35423.344	34915.848	39956.672	37477.43	36925.445	38562.164	41306.703	39357.77	39737.316	39540.469	41519.91	40069.629	34394.168	40235.047	37686.074	40186.219	36461.383	40776.582	40179.621	39599.621	32758.414	38400.691
