x	Y_20180224_15100_11_2g	Y_20180224_15100_13_9g	Y_20180224_15100_14_3g	Y_20180224_15100_19_15g	Y_20180224_15100_21_2g	Y_20180224_15100_25_3g	Y_20180224_15100_26_4g	Y_20180224_15100_26_5g	Y_20180224_15100_29_8g	Y_20180224_15100_31_1g	Y_20180224_15100_4_11_2g	Y_20180224_15100_4_1_1g	Y_20180224_15100_4_4g	Y_20180224_15100_6_4g	Y_20180224_15100_7_3g
0	36593.781	35726.223	38435.199	37918.438	35474.805	38854.426	38868.328	39002.695	38252.07	35526.363	34822.602	37364.719	45118.609	35830.773	36840.098
0.1334	36837.184	35052.004	37543.801	37502.551	36103.301	39999.203	38803.18	37917.125	38724.113	34282.566	36132.621	36209	44261.195	36028.367	35708.703
0.2668	36708.66	33790.297	38553.352	37905.305	34403.855	39756.262	37533.695	39533.57	37105.727	35687.797	36789.02	35575.555	44029.746	35873.562	38369.797
0.4003	37446.926	36323.195	38166.453	37205.633	36931.664	39787.238	38148.609	38161.719	37978.129	36350.512	37074.32	37250.273	43790.598	37489.703	35956.543
0.5337	37819.047	34969.41	39281.543	37482.488	37251.637	39219.387	38771.293	38860.539	38000.914	34722.379	35423.172	36251.766	43548.094	37163.039	37132.273
0.6671	38372.363	33937.141	39635.719	38107.395	37373.512	38474.109	41286.48	38280.164	40342.617	35087.859	37395.797	37031.465	42756.094	37065.328	36558.375
0.8005	37982.363	33827	39713.531	37618.582	36536.871	40316.168	42768.859	38168.465	39613.094	35178.453	37074.695	37962.25	42567.848	37971.316	37423.117
0.934	36080.262	34173.082	39887.543	37545.148	36389.859	39718.426	40941.691	37401.949	38487.965	35548.867	38119.016	36792.527	40775.656	39100.539	36539.746
1.0674	36405.93	33366.051	38976.152	38058.73	34960.195	40008.008	38395.051	36926.391	39745.477	35037.66	35297.797	35109.75	43467.473	39031.449	37095.242
1.2008	37067.895	34000.867	39181.289	39652.418	35078.266	40426.379	40922.309	36750.41	39599.871	35142.285	37544.305	34478.035	43891.168	39459.777	39121.371
1.3342	36902.23	32899.852	41073.902	39711.086	35716.867	40200.535	40378.281	37992.277	40919.449	35016.559	34857.367	35051.84	41211.422	37773.852	35850.137
1.4676	35518.113	34306.863	40614.477	37764.965	35843.43	40326.152	38107.77	38362.734	39272.922	35409.09	35850.848	36037.371	40870.918	38143.281	35299.273
1.6011	37636.562	34585.723	40782.512	38558.012	35384.07	42344.461	39995.832	38546.051	40215.59	35331.801	36049.914	36663.746	40710.555	38122.289	36287.223
1.7345	35749.996	34271.301	41596.891	38503.203	35872.785	41665.656	41553.035	38160.316	39461.52	37191.945	34853.016	35256.57	43339.246	38137.754	37966.953
1.8679	34504.773	34438.547	39198.301	36458.359	36292.066	42711.32	41220.527	39486.836	39856.758	37625.051	37257.008	35995.207	44734.117	37545.133	36315.207
2.0013	35209.773	35229.504	39632.438	38220.574	37495.664	43910.777	41285.742	38739.887	40860.504	37759.902	36671.832	36323.438	44108.594	40342.875	37414.844
2.1348	36900.238	34209.012	39847.059	40828.016	38603.211	47385.363	42710.633	40570.555	42988.145	38695.859	40152.113	37448.719	46906.422	40641.949	36778.98
2.2682	35608.121	35280.625	41674.449	46119.102	40119.512	55799.949	43633.66	43787.188	50017.836	39966.648	37769.055	37506.324	55174.09	44328.254	36792.133
2.4016	36255.438	38467.148	41375.426	59808.266	46399.984	78145.688	46876.68	49276.582	63918.52	44911.727	41772.016	39583.523	73444.586	52597.535	38698.477
2.535	36833.391	47079.727	41033.023	88457.781	61683.078	125246.43	55498.496	66489.977	95094.953	56116.125	42897.57	45416.266	124932.047	71676.586	42875.855
2.6684	43639.438	63493.941	42311.195	109012.477	76970.766	146660.078	60108.441	91983.281	108979.906	87170.289	51105.258	59655.312	184974.312	100024.484	51252.645
