x	Y_20181208_15693_1_10g	Y_20181208_15693_1_14g	Y_20181208_15693_1_4g	Y_20181208_15693_1_6g	Y_20181208_15693_10_14g	Y_20181208_15693_11_11g	Y_20181208_15693_12_6g	Y_20181208_15693_13_3g	Y_20181208_15693_13_6g	Y_20181208_15693_14_13g	Y_20181208_15693_14_1g	Y_20181208_15693_15_5g	Y_20181208_15693_2_10g	Y_20181208_15693_2_7g	Y_20181208_15693_20_5g	Y_20181208_15693_3_9g	Y_20181208_15693_6_2g	Y_20181208_15693_7_2g	Y_20181208_15693_8_3g	Y_20181208_15693_9_11g	Y_20181208_15693_9_13g	Y_20181208_15693_9_1g	Y_20181208_15693_9_6g
0	29801.5176	30786.9863	28825.6777	29334.7812	32932.3594	30891.0078	27977.3418	31034.4082	27771.9668	31349.9004	28023.5703	31897.0566	32144.1387	27299.1875	27634.4277	29421.4961	30880.9922	28053.7168	27619.4531	30318.9531	25970.9512	28280.5605	30729.3809
0.1334	31687.1699	31341.9922	29376.8105	28735.3125	31987.9844	30190.5098	27494.1582	29899.3691	30015.7031	32101.709	29245.5332	31190.7695	31309.8125	27472.4961	28388.1387	29268.3223	30019.4297	27489.1211	29384.9434	32186.5234	26909.3496	29141.2246	29230.1191
0.2668	30766.4336	32388.2188	29354.8027	28615.0371	31661.8027	30367.8887	28169.5391	30459.791	27564.2168	32750.0059	29264.8359	29825.4434	30451.8398	28181.3691	28222.8379	29788.6836	29891.8262	28408.5215	29622.8223	31494.9512	27759.8125	27442.6152	31202.8242
0.4003	32924.1641	31462.7539	29641.5566	29141.9043	31690.2891	31881.9414	28802.1816	31619.4688	28230.2988	32419.002	27637.0391	29231.1797	32180.9219	28704.2539	29241.2168	30158.9785	29801.1074	28637.4746	30304.0977	30544.8184	28910.207	28011.7188	31376.2012
0.5337	32168.3359	31580.9551	29845.3477	29593.9922	33169.2422	30777.0703	27725.8379	32021.8789	28350.3359	32481.5566	26491.5293	30477.8613	31317.9199	29123.582	28812.7891	29395.5879	30001.5098	29595.3203	29779.3242	32121.3867	29377.2207	30089.5039	30873
0.6671	31534.8047	31743.2383	28821.7969	28547.4258	32938.3867	30106.6777	28640.6055	32191.3105	28847.084	32809.3789	25635.6016	30625.6875	29876.3516	29694.9355	28726.2246	29881.1172	29254.9688	29008.3457	29228.4473	31957.7656	29450.3262	28971.5684	30872.5527
0.8005	30712.7715	31981.707	29684.3125	28972.8711	32488.7734	31539.4316	28654.3535	30954.9375	28396.8945	34172.5352	24849.6387	29660.5234	30209.4961	28807.6172	29192.4395	29015.6348	28872.2949	29739.5566	29302.5273	30728.498	30247.9434	28060.5098	30992.4414
0.934	30675.1094	33735.4922	30601.6777	29569.8008	32226.6152	31695.4961	30044.1836	31839.9453	28918.7266	34033.9766	26018.5605	29123.6406	32707.2617	30182.9844	29231.7988	28532.0879	29678.8242	29109.1562	29175.5078	29810.916	29962.3711	28392.2773	30290
1.0674	30268.7617	34021.9961	27830.8496	29613.3613	32596.1016	30870.8223	28868.3027	31074.2051	28792.2812	33284.1836	27608.0293	29207.2949	30478.3398	29781.9492	27877.5059	29073.3398	30327.7461	29333.9707	30503.3379	30732.9434	29443.6777	28873.6758	31402.293
1.2008	29026.9023	31954.1387	31704.2207	26807.1016	31945.7266	30614.127	28371.9863	30756.4492	27852.5469	34174.2617	25881.2227	30151.1172	30614.1055	29519.6406	28846.6875	29699.2773	27884.25	28235.7832	30063.8633	30451.1172	30448.043	29563.1816	30883.8145
1.3342	28848.9023	33137.5039	30345.0625	27987.084	30997.0781	30962.7188	29368.5488	30914.4707	28691.6895	33904.4727	25535.1172	29373.9004	32703.793	28720.8281	28572.2363	28830.0254	27023.6016	29626.9648	29400.5977	30151.9863	31089.3066	30317.2891	31144.7754
1.4676	29136.4141	33581.6133	30947.5781	28589.7871	31579.0312	32832.4492	28845.373	31265.8555	29084.1992	33164.7148	24675.875	31176.166	32056.5195	30457.8711	28555.6973	28924.209	28353.3301	28586.6367	28818.6016	29805.7949	30313.2168	30132.4883	30597.8242
1.6011	30855.0957	31394.7227	29852.6953	29019.6875	32627.8594	33180.7148	29432.7539	29525.2168	27392.3379	32049.9082	25522.1582	33486.2891	31210.7812	29419.9883	28765.584	29641.582	28397.3984	29732.9492	28687.1836	29720.957	30490.6973	29564.3164	29735.2793
1.7345	29924.4297	30254.7129	31445.877	27767.4824	33737.0117	32012.8711	30920.0449	29696.1055	28712.5332	33265.0938	25948.4258	36697.1289	30775.4629	29636.1484	28936.4219	30450.7832	29498.5605	30680.7168	30207.3203	30814.8008	28218.4004	28339.9082	29140.3398
1.8679	31232.418	32469.5176	32487.9043	29339.1621	32833.5977	30768.1309	29893.9355	31651.3027	28818.6133	34304.7734	24902.1035	42062.3203	31664.6172	29673.2363	28552.918	28934.3164	29618.041	29896.9707	30952.5371	30785.1152	29299.791	30278	30188.7832
2.0013	30148.7207	32210.8027	33980.4688	30024.7793	32850.375	31081.5156	28734.0293	30938.1992	28369.4336	35508.6367	25268.5586	42141.2461	32281.291	31557.2285	28707.9082	29106.8027	30791.9023	29571.207	29514.7715	32556.5078	29453.5859	31281.5391	29666.0273
2.1347	30226.3594	32130.3047	34712.6914	27717.1152	35108.1953	32398.1133	28613.7441	33248.9961	30504.2852	35709.8047	25730.7266	38129.418	31142.9375	30257.1113	31082.3047	29773.1934	31640.6426	29652.6953	29393.6797	34013.668	29204.873	31313.3398	29756.9766
2.2682	32088.9238	31900.4688	39359.4961	29360.8086	35371.4961	34611.1875	28465.6328	35374.5938	32143.0684	38353.3906	26525.3848	35212.4219	30188.9023	30624.7168	30412.6445	29948.0566	34311.1992	30914.9844	30041.7734	34892.7539	29567.1191	33542.3555	31148.5371
