x	Y_20181208_15692_30_10g	Y_20181208_15692_30_13g	Y_20181208_15692_30_15g	Y_20181208_15692_30_3g	Y_20181208_15692_30_5g	Y_20181208_15692_31_10g	Y_20181208_15692_31_15g	Y_20181208_15692_31_16g	Y_20181208_15692_31_4g	Y_20181208_15692_32_10g	Y_20181208_15692_32_12g	Y_20181208_15692_32_1g	Y_20181208_15692_32_6g	Y_20181208_15692_33_11g	Y_20181208_15692_34_2g	Y_20181208_15692_34_3g	Y_20181208_15692_34_6g	Y_20181208_15692_36_12g	Y_20181208_15692_36_2g	Y_20181208_15692_36_8g	Y_20181208_15692_37_10g	Y_20181208_15692_37_13g	Y_20181208_15692_37_18g	Y_20181208_15692_37_19g	Y_20181208_15692_37_1g	Y_20181208_15692_37_9g	Y_20181208_15692_38_18g	Y_20181208_15692_38_1g	Y_20181208_15692_38_5g	Y_20181208_15692_39_12g	Y_20181208_15692_39_8g	Y_20181208_15692_40_10g	Y_20181208_15692_40_11g	Y_20181208_15692_40_16g	Y_20181208_15692_40_1g	Y_20181208_15692_40_6g	Y_20181208_15692_41_15g	Y_20181208_15692_41_2g	Y_20181208_15692_42_12g	Y_20181208_15692_42_13g	Y_20181208_15692_42_16g	Y_20181208_15692_42_18g	Y_20181208_15692_42_2g	Y_20181208_15692_42_8g	Y_20181208_15692_43_15g	Y_20181208_15692_43_16g	Y_20181208_15692_43_9g	Y_20181208_15692_45_11g	Y_20181208_15692_45_12g	Y_20181208_15692_45_20g	Y_20181208_15692_45_9g	Y_20181208_15692_46_10g	Y_20181208_15692_46_1g	Y_20181208_15692_46_20g	Y_20181208_15692_46_4g	Y_20181208_15692_47_14g	Y_20181208_15692_47_1g	Y_20181208_15692_47_3g	Y_20181208_15692_47_7g	Y_20181208_15692_47_9g	Y_20181208_15692_6_13g	Y_20181208_15692_6_7g	Y_20181208_15692_6_8g	Y_20181208_15692_6_9g	Y_20181208_15692_7_3g	Y_20181208_15692_7_4g	Y_20181208_15692_7_5g	Y_20181208_15692_8_1g	Y_20181208_15692_8_5g	Y_20181208_15692b_11_10g	Y_20181208_15692b_11_12g	Y_20181208_15692b_11_13g	Y_20181208_15692b_11_21g	Y_20181208_15692b_11_22g	Y_20181208_15692b_11_23g	Y_20181208_15692b_11_8g	Y_20181208_15692b_12_6g	Y_20181208_15692b_16_5g	Y_20181208_15692b_17_1g	Y_20181208_15692b_17_2g	Y_20181208_15692b_17_3g	Y_20181208_15692b_17_5g	Y_20181208_15692b_17_6g	Y_20181208_15692b_2_3g	Y_20181208_15692b_3_1g	Y_20181208_15692b_3_2g	Y_20181208_15692b_3_6g	Y_20181208_15692b_3_7g	Y_20181208_15692b_5_2g	Y_20181208_15692b_5_5g	Y_20181208_15692b_8_6g
0	29681.5488	27754.7168	30055.4824	30160.2812	27501.7676	27879.3945	30216.582	26674.707	29844.4531	25873.8496	32686.0957	26203.7832	30033.4355	32887.9062	28315.7285	30521.1113	29083.2305	31627.0215	29164.8555	31280.8984	25722.7285	29981.8555	31775.7188	31865.0371	27667.5664	27609.002	33598.5469	26694.6836	26969.0742	24285.8008	32135.0449	30742.0059	25545.3242	25504.9043	24313.9121	27998.1523	25076.1934	32071.7441	30315.2676	28492.6035	28030.9082	30453.3203	28620.8145	27931.3496	30692.4629	30230.1348	31513.4199	32016.8438	29924.5879	28426.7988	28819.3633	28540.498	29153.5898	28231.293	28038.4688	30333.6504	25933.8516	31703.1914	27189.9023	24012.5469	29757.293	31216.1016	31639	28310.3867	32112.7246	28158.0723	29028.7559	29633.3496	27144.0723	31761.209	29507.2402	31858.5	25968.9863	24898.1582	31819.3301	31285.4336	28780.0234	33059.9023	28486.0645	30795.6504	28794.7949	28957.1016	26913.0898	30895.3574	26731.7461	28477.2012	32724.4746	31172.7461	28451.5469	32661.3086	30032.4082
0.1334	29067.3574	27842.6348	29891.957	29765.1172	29118.9336	28088.1035	30227.6387	25691.0254	29316.2129	25913.6562	33024.6914	26972.0664	29460.7461	32093.541	27648.6836	31315.1992	29904.9727	31091.2812	29232.2207	32243.7852	25807.3516	27747.8691	31023.7324	31516.5508	27187.5742	27694.4844	32308.2227	25312.6348	27521.5391	24644.0039	31651.6426	29904.9414	27011.7715	26194.1211	23732.459	28172.5234	25589.8125	31048.209	30607.3398	28498.4434	28646.2285	30769.6406	28696.8418	28248.6738	31361.4844	29557.6934	31648.0684	32287.4746	30123.125	27559.6641	28897.4844	27728.4922	28722.8652	28730.6875	26721.3477	31977.0273	25878.5625	30946.293	26579.5312	23695.0117	29748.8984	31548.8965	30973.8926	28595.5371	31702.252	28927.6484	28645.0781	29284.8535	28469.4883	30748.0117	30978.7559	32152.3027	26591.2285	23151.1797	32752.207	31057.9551	28589.8164	31472.5039	30027.8652	29799.6172	30221.8906	27945.6562	28027.707	30426.7422	28492.5527	28564	31342.0996	31607.9766	28445.8477	30480.8867	30679.2129
0.2668	30143.4473	25935.6152	29622.5605	28709.6094	28308.6895	27580.8867	29533.7539	26084.8574	29475.0664	26570.8516	31747.7559	26422.8086	29693.9844	31211.207	27268.7246	31946.748	30541.5293	31055.6504	28159.6895	30628.252	25021.4883	29410.7695	30449.5137	31533.5879	27970.9922	28414.9277	31641.2598	25238.125	27916.7168	25696.7949	31562.4707	30376.7676	27144.9473	25247.5117	24220.9121	28486.1953	24821.5957	28979.0801	29751.7422	28137.7773	28088.9668	29703.2031	29645.3965	28928.5781	32678.5098	30393.2344	30842.5469	33318.793	32089.2734	28666.7695	29641.9219	27772.2793	29865.5762	28010.748	26209.0605	30548.1875	25432.3027	32038.0645	26551.332	24291.5703	31055.2617	31692.7578	31591.3477	27019.291	31014.7734	29758.5977	30074.3301	28344.6582	29004.2305	30824.0391	32860.793	31879.4062	26826.2754	23936.668	31859.4922	31621.1465	28824.6191	32199.7949	29524.1895	30151.4453	30052.8848	28984.084	27743.0801	30607.3535	28981.7871	27608.3672	30670.4434	32201.9688	28297.2363	30797.1562	32234.377
0.4003	30406.9258	26473.2539	28674.9316	29153.5312	27987.1113	28370.0859	30763.7188	25675.7402	30050.6094	26337.0215	31577.4961	26823.0371	30515.8359	31734.8711	27613.1211	30833.4141	28882.6152	31843.1582	28543.9531	30557.1172	25397.873	30186.7773	30536.7383	32339.8848	26371.75	27846.7891	31397.8516	25636.9863	27896.916	26010.4531	30746.6152	31521.8594	25977.6602	26406.7637	25531.8438	27971.457	23948.8301	30630.8691	29891.9355	29126.9277	29050.7969	29926.2363	30140.6953	29840.8516	30920.2285	30313.4609	31792.377	31688.6523	30853.8672	28309.6777	30415.7988	30105.7246	31264.0156	27823.5957	26988.5078	28943.4199	26562.998	32352.0547	27637.3809	23753.9121	29518.457	31400.1465	32869.7969	27226.1426	30369.5898	29087.8086	30537.5762	29792.166	29344.377	28814.3242	33308.7305	32071.6543	27702.9844	24317.6992	32053.709	31510.5957	29204.7168	31913.0977	29954.5625	30023.0957	28986.3027	28236.123	27559.1992	31987.1738	28233.3965	27652.3965	32632.2988	32977.5195	28826.0586	32122.8555	31514.0332
0.5337	30085.3281	26902.6016	29819.4922	28372.1992	26986.0742	29280.1289	29060.5664	25633.6797	30094.9688	26610.6758	30223.1426	26452.7285	32543.8867	32279.6387	27582.9844	29974.1406	29179.459	30216.8555	29563.2129	30334.1348	25975.9648	30641.2383	29963.4258	32508.2969	27328.5469	28535.9023	30346.7383	24867.627	28101.7266	24351.1855	30387.7812	29782.2168	25980.7598	25529.0566	25087.1621	27429.5391	25130.7031	30352.9102	29730.1035	29845.9434	29707.2207	29160.9492	31003.5508	29050.6719	32568.2109	31005.5312	29940.8145	31318.3125	31639.2637	28680.5547	29884.4512	29237.3223	30512.4297	27821.7285	25703.3242	28312.707	27781.1602	30766.375	26770.6699	23768.5195	29580.75	32007.5352	33755.6406	26118.2559	30615.8359	30143.4219	30357.4043	31144.4941	30083.1055	29884.6953	32086.252	31692.873	26047.7754	25756.6543	31924.3594	31297.2559	29578.0449	31539.9805	30614.8594	31407.9316	30390.9512	28523.3027	26855.7227	29174.4531	28293.3418	27075.2793	31495.3711	31695.1504	29705	31722.3535	31916.3242
0.6671	30296.4102	27567.7441	30073.2793	29832.9238	26428.8828	29315.1895	28455.0117	25944.332	30430.5312	27231.1035	31433.418	26645.4922	31809.9375	33079.6289	27371.7988	31195.6895	29442.9336	30942.1895	28265.4902	30821.1387	26680.3887	30154.0508	30727.0996	32075.6855	26353.0137	29345.6895	29850.1719	25191.7793	26849.7969	24933.4707	31571.9062	30752.3516	25157.6582	25496.7656	24498.0293	26282.2051	23738.6387	28518.2949	30086.5254	29959.168	29183.0801	30762.9668	32055.5527	28147.3262	31387.1602	31296.6504	29648.8535	32428.3418	31998.5938	27708.3203	29752.0469	28020.1055	29628.3262	28635.1914	27167.7285	29914.4746	27526.1055	31152.0762	27085.8867	23826.4258	29292.3906	31324.748	33307.1133	27396.8574	30540.7207	29468.1035	30133.5547	31197.4492	30738.4961	29551.3125	32530.3613	30776.0508	27339.8438	25734.1562	29280.0898	31626.5996	28600.3047	32559.959	29426.7949	31199.8945	30913.2207	27896.7109	26943.9648	31090.0801	27123.3984	27666.6426	31532.3047	32569.4668	29666.7695	31062.6152	30360.2383
0.8005	30887.459	28391.8945	30665.3066	29381.084	27314.5273	29240.4004	29337.3125	26600.6758	30454.3594	27064.6289	30393.5176	27232.8301	31697.4492	33577.457	28600.4102	31429.748	30121.1328	30143.7793	29600.6953	28293.5391	27534.5488	30682.6777	31000.1191	32104.748	27087.7266	30346.4043	31412.0664	25802.8672	26969.1621	25035.8789	31287.9824	29270.8672	27404.2129	24313.0117	24666.1738	25659.5605	24654.2051	29993.207	31821.7344	30399.0059	28644.8887	29013.8633	31126.3457	28254.2188	31339.8477	31379.1621	29031.1328	31825.2578	31832.8066	27796.0371	30382.2285	29948.7949	30698.332	28491.7988	26849.7773	31365.7539	26416.9102	30187.4727	26721.4707	23344.627	29641.5547	31041.416	32737.1523	26832.123	30287.123	31508.7031	30124.7695	30123.041	30956.3691	31205.041	30912.9082	30263.6074	27158.1641	27413.2188	29838.7988	31238.5664	27940.3574	32276.2695	29058.043	30919.8008	31249.6621	29226.4629	27179.0098	30763.7207	28335.9199	28945.0684	32085.5195	31607.5215	30298.8516	31215.7891	31641.4043
0.934	30472.2637	27971.4922	32935.4102	30121.2832	27782.6133	30226.8594	29856.2734	27604.8184	29820.416	28689.2363	31895.1367	27334.9395	33344.8242	34096.2656	28631.4375	30292.4316	33053.0469	32629.3965	30675.2969	30396.4609	28017.4531	31831.6602	31058.0391	32750.8047	26729.8457	34413.043	31183.9316	25913.3105	27511.4863	26631.9004	31199.1445	30131.0234	27337.0332	25624.7285	25119.7695	25563.6719	26066.4395	29892.1855	32592.8457	30928.1602	30659.7949	29981.834	31009.0723	29340.123	32223.1348	30186.7617	29087.8438	33461.0469	31096.1387	27604.2461	32035.2676	30666.1621	29242.5918	28776.6172	26885.8594	31889.668	26985.125	31884.1738	26368.793	24180.5176	30255.5	31657.9102	33552.6953	28524.6641	29366.1289	32154.3184	30278.2422	30733.002	31496.6855	32408.0801	30455.3047	29941.0273	27901.5664	31111.084	30016.7031	32222.0508	27677.7129	31151.4277	27496.4922	32173.1484	31729.6699	29296.0938	27149.4453	32788.5156	28900.293	33235.75	31900.9062	31696.7461	30501.541	30756.5508	30605.8516
1.0674	32160.9062	29548.707	31280.2578	29677.5469	30532.0469	30918.4648	30421.498	29236.2891	31416.7559	28595.8691	31273.3242	28449.6562	33962.6758	34928.2773	31141.7539	31664.75	35030.9258	32792.7383	29977.9688	29750.3359	28664.0332	34003.0234	32015.4922	33139.8789	27661.2363	46087.4258	32258.0117	26952.3145	29379.0859	26265.7051	30594.9824	31407.709	28124.9844	24826.7461	26654.4297	27956.7188	25393.0098	32503.9277	32540.668	33187.8984	30722.1465	30544.7031	32116.6719	30053	33529.6641	31654.4844	30835.6504	33523.1836	31701.3867	28536.9902	35699.9531	33592.9023	28693.3066	28622.8496	25567.2441	31487.668	28269.082	32348.4805	28292.3066	24433.5352	29597.5312	32853.3711	34187.3945	28640.3105	30377.0898	35006.7031	32175.3672	31539.2695	32983.1523	32898.0586	28957.3984	30710.7168	26975.6543	38033.3203	30893.625	34194.7617	27426.3496	31210.9375	29466.7793	32921.2148	32037.9512	31515.8926	28975.4961	33625.2891	30579.6113	45741.7227	32487.1836	31783.1699	29278.6074	30681.3418	31060.3691
1.2008	34556.5664	29282.668	31389.584	29447.4941	31263.8848	32466.8867	32139.2031	32261.502	32205.3164	33535.9414	32518.4141	31449.1895	39773.4766	36820.6484	31819.1562	32446.4668	39717.7461	31699.4316	33219.6289	30586.377	31128.9102	40359.8203	32688.2148	34846.7109	29587.0039	69160.9297	30599.041	26209.0488	31081.0625	30927.1992	31982.2402	30457.0938	29382.834	25348.3965	26583.9805	26875.8828	25051.9746	32754.5547	32240.1211	35734.9688	32897.2422	30940.3848	30738.5723	30214.3535	31698.1816	32823.25	30572.8691	34113.0547	33211.1719	27112.8672	41701.1523	38052.4883	29570.0391	28733.5195	26051.2227	33219.1797	28728.8418	34567.5859	27845.6387	25439.9668	31636.7031	33249.8438	34011.5938	31529.9512	31449.4355	42118.0391	31900.0938	30974.3828	35831.25	36357.5547	30507.6973	31653.6465	28813.4395	53953.4414	31080.8438	39462.3359	28593.1523	31260.834	29078.3574	34694.5352	32886.4961	33431.0898	30824.2695	36993.6602	34798.8477	67447.3828	33512.2266	32107.8398	31949.4258	32391.3145	32946.0859
