x	Y_20180130_15100b_1_10g	Y_20180130_15100b_1_12g	Y_20180130_15100b_1_1g	Y_20180130_15100b_10_12g	Y_20180130_15100b_11_11g	Y_20180130_15100b_12_15g	Y_20180130_15100b_14_10g	Y_20180130_15100b_14_9g	Y_20180130_15100b_16_5g	Y_20180130_15100b_17_7g	Y_20180130_15100b_18_14g	Y_20180130_15100b_18_2g	Y_20180130_15100b_2_7g	Y_20180130_15100b_2_9g	Y_20180130_15100b_21_15g	Y_20180130_15100b_21_16g	Y_20180130_15100b_21_8g	Y_20180130_15100b_22_19g	Y_20180130_15100b_24_13g	Y_20180130_15100b_24_4g	Y_20180130_15100b_4_19g	Y_20180130_15100b_4_4g	Y_20180130_15100b_7_7g	Y_20180130_15100b_8_1g	Y_20180130_15100b_8_6g	Y_20180130_15100b_8_9g	Y_20180130_15100b_9_11g	Y_20180130_15100b_9_13g	Y_20180130_15100_2_8g	Y_20180130_15100_3_18g	Y_20180130_15100_4_16g	Y_20180130_15100_4_2g	Y_20180130_15100_4_7g	Y_20180130_15100_5_20g	Y_20180130_15100_5_22g	Y_20180130_15100_5_26g	Y_20180130_15100_5_9_2g	Y_20180130_15100_6_15g	Y_20180130_15100_6_4g
0	39747.551	36751.754	35956.551	36723.824	36720.379	37728.812	37223.312	35824.742	41017.707	34667.703	38148.711	29218.955	36172.555	39155.773	35278.125	38047.484	38795.742	33196.262	31172.537	39408.191	33214.199	34654.707	35876.832	36361	35857.621	40268.75	38016.266	37999.559	39219.3475	38033.855	38144.8925	38715.69	39083.5975	38452.665	38994.2975	40100.1975	41199.61	37726.47	36386.2625
0.1334	40752.641	36976.348	36340.684	37461.98	36313.508	37331.094	37481.059	37060.648	39131.699	33011.617	38416.855	28142.803	36754.945	38810.992	35667.16	37040.074	40011.945	35316.383	32535.002	39871.879	32071.123	34189.781	36703.094	37395.664	36344.863	39798.457	37742.648	37802.27	42318.6025	39213.0725	37923.185	39386.85	40400.595	37943.34	37933.105	41470.785	42575.4775	37919.0125	36920.9225
0.2668	40039.32	37495.852	36833.32	35452.441	36314.551	35900.523	37700.152	36014.207	38708.25	32523.977	39887.883	29302.572	37125.422	39057.484	35396.676	36702.836	39966.465	34376.023	32160.045	40717.285	33037.09	35714.477	35999.746	37395.148	36535.152	40501.809	40043.414	36910.223	41168.92	37774.885	38545.3575	39447.85	41596.9325	36974.635	37217.7525	41154.0325	42095.41	38017.03	36338.585
0.4003	39306.863	37727.871	37173.965	35507.832	37057.688	35363.414	38816.934	35168.656	38700.605	33411.996	39744.512	28929.473	36824.102	37732.172	35819.977	37657.238	40621.203	33731.828	29195.141	39948.141	33324.598	35418.965	36494.109	38194.668	35628.484	39125.508	36737.781	37855.871	39910.4275	37484.695	37870.3675	39964.415	41024.2975	38571.375	37404.8125	39618.7825	42247.4325	36843.995	36651.54
0.5337	38603.07	37128.352	36507.785	35917.387	36536.469	35390.828	38974.41	35716.922	38370.977	33399.559	42688.293	29570.725	35339.488	37749.559	35493.355	37961.926	41540.23	34988.727	31982.758	40702.137	31846.926	34709.969	35544.191	38438.77	35968.434	40340.984	35961.082	36528.188	40961.275	34451.005	36603.695	38087.135	40483.195	37369.7375	37556.8025	39901.715	43178.955	37984.15	35854.86
0.6671	41025.406	36008.062	37088.262	35061.344	37349.754	35899.629	38715.426	34416.398	39603.457	33319.594	41616.973	30331.73	37099.477	37925.879	34845.703	38859.703	40250.215	34627.844	32197.889	39572.555	33971.652	36514.539	35189.312	36810.934	35536.016	39046.305	38472.168	37731.801	41259.135	36724.2625	36958.895	42081.48	37700.99	37947.755	38810.905	42692.1	43790.2825	40719.835	38002.8725
0.8005	39383.645	38187.574	38437.273	36653.18	37269.164	36569.332	38785.465	34450.379	40334.785	32394.963	39858.609	29950.217	36828.52	37749.258	35371.16	39067.777	39934.211	33848.75	31287.494	38952.508	32268.861	35367.719	34819.27	36840.344	34629.848	38350.547	38083.234	36639.207	40506.62	38714.2725	37109.01	41372.3575	39028.01	36711.3875	38112.91	41784.0525	42521.83	42492.4025	36300.0925
0.934	37741.953	36428.293	37618.438	38732.242	37704.18	36988.27	38076.348	34188.418	40600.695	33206.219	38414.324	30034.945	37115.633	37390.137	34713.562	40365.582	39627.828	33612.152	30181.029	38319.098	32706.145	35319.117	36661.711	38289.73	34276.121	40444.969	36691.48	34791.988	40937.055	39978.9625	36940.7775	39204.4275	38744.215	37080.925	36491.0225	42240.0775	42417.545	40923.705	38144.34
1.0674	37664.461	36285.656	36194.625	35970.684	39036.582	37054.688	39621.078	33433.059	42507.43	34091.316	38733.055	29960.764	37627.828	37889.371	36091.578	40991.219	39850.219	36052.398	32592.471	36877.93	32739.375	35892.918	35214.852	36161.602	35225.781	39831.734	37831.957	35850.285	40998.36	39831.75	37297.065	38546.1775	41684.0775	39113.87	36949.8675	41150.81	40824.5225	39938.9975	37848.425
1.2008	38821.379	36297.434	39742.805	34850.246	40658.766	37077.938	39375.086	33933.641	41123.066	32694.402	35683.145	29118.115	37945.922	37295.266	36841.332	41703.805	40858.875	33665.875	30226.025	38299.477	31301.229	34807.836	37526.5	36254.434	34569.598	38658.137	38022.371	36787.559	40613.245	39383.345	37758.6875	39220.48	40381.1025	39201.51	37151.145	40255.9925	42606.68	39625.3675	38024.7125
