x	Y_20181208_15100b_1_6g	Y_20181208_15100b_13_4g	Y_20181208_15100b_13_6g	Y_20181208_15100b_13_9g	Y_20181208_15100b_2_2g	Y_20181208_15100b_22_10g	Y_20181208_15100b_22_2g	Y_20181208_15100b_4_1g	Y_20181208_15100b_6_1g	Y_20181208_15100b_7_3g
0	29243.3789	28521.3398	27471.7812	29009.1309	29374.3535	30213.7539	26593.6836	23514.6348	30922.7637	28698.5801
0.1334	31023.4219	27103.7578	27752.1504	30650.2422	29606.1914	30301.4199	27164.0918	24772.666	29318.9863	28128.334
0.2668	30718.9727	29073.4473	28056.5879	30937.9922	30505.3926	31041.0938	26439.9375	24096.0781	30774.1641	27662.3789
0.4003	32363.2109	28374.457	29111.6445	30483.1777	29996.2656	31360.7734	26867.3027	24354.3262	30404.5293	28361.4863
0.5337	31567.3047	28621.4785	29062.2266	30932.3809	28466.3242	31160.0625	28913.0254	23513.4336	30622.3574	29076.1367
0.6671	31389.3516	29276.6855	28990.8359	30183.7188	29330.5762	32888.9062	27543.7324	24312.3066	30589.6348	29374.4922
0.8005	30680.2422	27686.5625	28929.375	29619.8027	30456.0879	32864.6914	27106.8047	24896.0684	29704.4609	29680.8359
0.934	30690.9902	28121.1504	28402.6504	30391.0039	30728.1074	31824.6328	26498.7305	25581.832	28865.3145	28254.2559
1.0674	32199.5508	29070.7344	28761.0625	31430.9863	31209.1895	32694.6016	29346.293	24394.4492	28886.3418	29057.9629
1.2008	32119.4043	30721.7188	29540.6328	30352.9668	32448.2617	34679.5859	28493.3789	25900.7539	30045.5742	29743.375
1.3342	30920.4355	29436.5684	28681.5137	29784.2715	32415.7578	34240.8281	29383.5527	26324.0566	31644.8926	29681.8066
1.4676	32054.498	29575.6211	28546.8965	30881.2344	31770.0801	35343.8711	29529.0156	27140.0449	34471.4414	28332.7969
1.6011	33140.0508	28531.0781	29144.0918	30526.1328	34946.918	40265.582	29037.0332	29541.7812	40703.332	30803.8945
1.7345	35001.3555	30079.6445	29984.6641	32038.2539	38827.2617	50163.1797	30294.6973	35182.1211	46993.4531	29368.3789
1.8679	40877.0977	32522.1387	30126.3184	33650.9141	44927.6719	65806.8203	36466.8984	40849.0469	43590.2344	30385.4805
2.0013	52746.6641	38191.2695	32102.3223	40791.9531	57067.6172	70813.8906	47821.1797	40826.4961	35912.7969	29696.3535
2.1347	60488.1992	53270.9336	35482.8281	46077.6992	64514.4844	53793.3789	70004.2656	35406.3359	32339.6855	32012.2793
2.2682	56270.8203	64249.582	42339.4688	38944.125	58929.082	42137.8477	81501.1641	29189.8477	31350.623	34088.8945
2.4016	41747.8672	58866.5234	47574.5625	32840.8906	48374.082	37522.9922	67377.0312	28561.4062	NaN	40611.4062
2.535	34705.9414	40141.6289	45970.6562	29820.4121	NaN	34055.2773	46508.6289	NaN	NaN	40020.3867
2.6684	32959.5312	31792.334	37874.0352	29026.5117	NaN	NaN	35907.3828	NaN	NaN	38620.957
2.8019	NaN	31805.6719	32015.127	NaN	NaN	NaN	NaN	NaN	NaN	36910.3789
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43938.8008
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
