x	Y_20181208_15692b_10_6g	Y_20181208_15692b_10_7g	Y_20181208_15692b_11_2g	Y_20181208_15692b_12_11g	Y_20181208_15692b_12_16g	Y_20181208_15692b_12_1g	Y_20181208_15692b_12_5g	Y_20181208_15692b_13_3g	Y_20181208_15692b_13_4g	Y_20181208_15692b_14_1g	Y_20181208_15692b_14_2g	Y_20181208_15692b_16_4g	Y_20181208_15692b_16_7g	Y_20181208_15692b_17_4g	Y_20181208_15692b_3_5g	Y_20181208_15692b_5_4g	Y_20181208_15692b_6_2g	Y_20181208_15692b_6_5g	Y_20181208_15692b_7_4g	Y_20181208_15692b_7_5g	Y_20181208_15692b_7_6g	Y_20181208_15692b_7_8g	Y_20181208_15692b_8_1g	Y_20181208_15692b_8_4g	Y_20181208_15692b_8_7g	Y_20181208_15692b_9_1g	Y_20181208_15692b_9_5g
0	11904.3193	8958.6318	12230.917	13688.9121	11674.7012	15318.9268	12172.9668	12761.5762	11570.4727	10548.5215	12077.3545	12521.084	11419.6045	8895.3994	12490.502	11686.0557	13325.3008	12698.7588	13285.4072	11414.585	11435.248	12217.8975	11583.3379	11558.6787	11688.3506	12005.7842	11143.0762
0.1334	12383.2119	8896.3594	13862.9902	14389.7266	12425.167	16764.6328	12264.8223	12648.0068	11794.0459	11433.0742	12454.5098	12583.1777	13085.9727	9626.25	13408.7305	12340.5635	13853.3232	12323.9609	13663.6406	12729.498	12576.3145	12400.5381	12627.0205	13911.8428	11598.2949	13497.459	11852.3613
0.2668	13387.3721	9624.3311	16235.209	17696.7246	14319.0742	20441.8047	13586.2891	13511.5283	12714.8379	13241.249	14265.7002	13162.3887	15494.1484	10349.7344	14843.8574	13682.9404	15477.1143	12557.8633	14913.0195	14480.4834	17222.7832	13304.2207	13875.0674	15118.626	12940.8438	15230.7383	12830.6602
0.4003	13677.6533	10323.71	19254.0781	20246.6582	18249.1641	24292.9043	16859.9512	16049.4766	14913.2041	14973.3652	18112.1094	14788.9639	16426.9609	11056.3604	18050.332	16907.2109	16607.4727	13053.9688	16688.7246	16704.0059	20703.2891	14248.5596	13618.4268	14115.666	15368.1094	15085.4189	15562.6855
0.5337	13618.2422	11046.5566	16681.8203	22440.377	19710.2812	25178.8477	19232.332	17610.2793	17614.4102	18947.8789	22377.3828	17389.3477	15214.4111	13570.666	21347.7188	18025.627	16668.0234	14178.1631	21172.127	19229.6465	18220.9648	14154.9463	13519.6094	13172.918	18983.6621	13668.334	16803.1152
0.6671	12439.793	13301.8086	14683.6475	21721.5918	17329.9824	22077.1016	17729.7148	17136.4219	20410.084	21121.0273	23320.1543	18204	13801.1406	19003.418	19937.5547	17094.1758	16499.0762	17302.0234	22619.0254	20208.5508	15456.9629	13657.543	12368.7158	12428.6162	20509.3379	12094.9102	16768.0215
0.8005	11793.3408	15367.1299	13000.7393	21981.2695	15367.458	17806.5605	14730.5186	14617.0479	17735.9219	20132.9199	19416.6016	18008.25	13534.7949	19692.3867	19279.248	14494.7852	15189.5791	20393.418	20234.373	18524.0879	14380.4932	12459.4795	12106.3701	12254.7822	17126.2773	11524.6621	15527.0459
0.934	11551.0088	15647.4854	12831.2686	20087.8184	14270.6846	17453.5723	13568.6084	13526.7432	15720.4844	16358.2783	17039.1113	16500.8301	13142.7412	15535.4453	18490.5879	13154.5957	14667.0186	20559.3145	20056.9297	17567.2637	14785.6885	12709.2188	12544.5996	11764.8623	13891.6113	12097.1631	14859.9648
1.0674	11037.4414	13914.7861	13037.8623	18383.2539	13946.3037	15916.083	13764.4746	13730.5898	15430.2812	15953.793	14621.9004	15999.8271	14633.0332	13079.5928	16557.0078	12553.2539	16113.8623	20040.5547	19967.1973	17277.877	14998.4785	13425.6982	12290.3525	11889.8896	13096.54	12007.4824	15319.9424
1.2008	11545.4385	13548.4248	14333.793	18084.6797	14109.6895	16281.5322	14763.2178	13754.5996	15236.4912	14724.9854	14000.749	14666.5488	16633.6094	12434.3623	15779.1758	12391.9883	14874.5596	19113.877	19892.8301	17869.3086	13773.7539	14325.6523	12027.708	12222.6748	12342.4326	11907.3359	14669.4795
1.3342	11430.5264	14189.8457	15343.043	16728.6602	14956.2646	16474.0117	13566.4395	13321.3428	13547.4971	15069.6553	14678.5508	15058.9131	17247.9922	12891.2607	16290.5361	11696.2852	13324.5547	17503.7344	17985.3867	18508.8516	14454.0156	14988.7949	11153.7266	13238.4102	12161.4072	12457.3174	13498.3271
1.4676	11612.7285	14156.4043	14361.4658	15865.04	13885.4551	17218.0039	14802.3096	13071.1387	12480.0557	15435.9492	14182.8555	15000.0732	17857.1016	12757.1904	15809.751	11154.0479	12625.96	16206.3281	16865.9453	17553.6914	17035.9922	15008.2002	11647.1709	13221.6816	11343.9844	11571.6289	13822.5273
1.6011	11304.2988	13986.8076	13108.3369	14917.5449	13863.666	17066.0723	14641.0801	13077.958	12232.8135	15011.0547	15453.874	14500.9268	16442.1797	11594.9072	15347.1982	12032.7422	12222.3115	15315.5557	14205.5928	17210.2539	16382.2646	14771.0352	13172.0723	12799.043	11884.251	11046.2217	13742.667
1.7345	12007.9707	13554.2217	12328.8574	14411.1172	13258.0146	16521.1758	15048.29	13812.2891	12614.1064	15164.3037	16639.0117	14184.5918	15795.6875	13166.8818	17304.291	12206.0303	11919.6631	15899.002	13943.333	18473.8359	15613.998	14410.5381	12510.4912	12400.0293	11797.3818	11252.4297	14349.499
1.8679	12061.2598	13773.9385	12547.8447	13954.502	12234.2549	16234.2764	14118.29	14050.7197	13164.2744	15232.46	16471.5488	13758.4795	13873.9688	13662.4072	18678.2188	12281.29	12750.1963	15066.3232	15815.9453	16509.6426	15917.4521	14433.3223	12526.875	12595.9229	11680.5234	11507.6367	16057.0059
2.0013	11719.4629	13003.6992	11697.54	13777.3047	13338.2109	14857.1641	13136.4619	13887.708	13473.54	15256.9023	16214.6797	13305.0459	13597.3604	13855.0508	17647.8438	12740.8809	12761.8623	14088.3359	15677.7236	16931.6367	15562.6562	13652.9395	11622.9277	13514.8047	11415.0596	11250.3584	16301.7451
2.1347	10910.5176	13347.042	11492.6699	13114.4307	12818.0645	13950.6572	13069.2295	14027.8018	13058.1758	14983.501	15526.8027	13339.3496	12796.1465	14773.2559	15314.5205	12543.958	12748.1963	13514.3369	15424.2178	16168.7939	14912.7959	12645.9062	11358.9082	13418.8857	11220.917	11322.6807	14072.6357
2.2682	10529.8789	13162.8906	11399.2021	12472.3652	12953.1553	12271.5459	12733.6572	13556.4775	12391.5254	14563.0508	14908.8887	13092.9951	12460.1475	14471.1777	13177.4648	12059.6504	12567.8623	12691.9268	14886.3027	15701.3018	14891.2773	12236.1826	10939.5938	NaN	10953.3115	10805.5352	12932.3984
2.4016	10221.4502	13629.1191	11101.4434	11986.4717	13499.3184	12188.3555	11541.3867	13346.2129	11528.4121	12911.8281	13745.4453	13787.248	12305.6074	14312.7451	12308.7402	12217.0244	12240.1562	12500.6396	13971.4707	14092.2969	14351.6738	11804.0762	10900.7773	NaN	11188.873	11294.6064	12024.7168
2.535	10489.8145	12422.0586	10641.4014	11613.4629	12458.4336	11865.1035	10945.4551	12811.8965	11880.0498	11937.7109	12988.7676	13743.2178	11356.8535	14773.3496	12477.9473	12336.7295	11610.7529	12479.2002	13291.9219	12650.0918	13738.2383	11600.2148	11003.0996	NaN	11112.3555	NaN	11475.2148
2.6684	10630.8857	13219.25	10665.04	11985.1348	11920.9531	11767.1201	11296.3428	13039.5029	11486.9287	11678.2236	13569.0361	13065.4775	11243.3662	13859.4648	12004.1367	12048.8496	11865.6133	12522.293	13248.2266	12432.8145	13234.2119	11918.1094	11201.9834	NaN	11424.9443	NaN	11863.3477
2.8019	10710.4385	12562.9756	10774.6367	11521.0752	NaN	11577.0537	11164.6182	12880.7344	11538.2822	11837.1025	12631.2148	13125.3027	11407.7119	13304.917	11739.0049	12547.5615	11851.2373	11418.082	13421.2539	12156.9033	13358.3271	NaN	NaN	NaN	11093.8711	NaN	11075.3408
