x	Y_20181208_15794b_1_6g	Y_20181208_15794b_3_5g	Y_20181208_15794b_6_6g
0	32140.9355	27604.043	30927.2773
0.1334	31168.4941	27096.0703	30612.7383
0.2668	31019.8633	26157.3672	30699.4805
0.4003	31089.2734	26920.0332	29686.959
0.5337	32324.5332	27731.8848	32123.3711
0.6671	33067.0078	28788.5859	32011.7012
0.8005	33475.7812	28606.9004	34409.4492
0.934	34737.2812	31935.9746	39184.957
1.0674	40565.5938	40152.8242	51165.6875
1.2008	55479.4805	58555.3047	71995.0625
1.3342	85712.0781	71039.4141	84354.2656
1.4676	104060.7969	58747.1094	70210.6328
1.6011	83453.2266	41595.3047	51774.4883
1.7345	54683.8281	36697.0234	39703.7188
1.8679	41441.7695	35402.7148	37141.2656
2.0013	38372.0312	NaN	NaN
2.1347	34609.0117	NaN	NaN
2.2682	33343.4492	NaN	NaN
2.4016	NaN	NaN	NaN
2.535	NaN	NaN	NaN
2.6684	NaN	NaN	NaN
2.8019	NaN	NaN	NaN
2.9353	NaN	NaN	NaN
3.0687	NaN	NaN	NaN
3.2021	NaN	NaN	NaN
3.3355	NaN	NaN	NaN
3.469	NaN	NaN	NaN
3.6024	NaN	NaN	NaN
3.7358	NaN	NaN	NaN
3.8692	NaN	NaN	NaN
4.0027	NaN	NaN	NaN
