x	Y_20181208_15693_1_1g	Y_20181208_15693_1_5g	Y_20181208_15693_10_10g	Y_20181208_15693_10_7g	Y_20181208_15693_11_2g	Y_20181208_15693_12_2g	Y_20181208_15693_12_7g	Y_20181208_15693_13_1g	Y_20181208_15693_13_5g	Y_20181208_15693_13_9g	Y_20181208_15693_17_10g	Y_20181208_15693_17_2g	Y_20181208_15693_18_1g	Y_20181208_15693_18_7g	Y_20181208_15693_18_8g	Y_20181208_15693_2_1g	Y_20181208_15693_2_7g	Y_20181208_15693_20_4g	Y_20181208_15693_20_7g	Y_20181208_15693_4_10g	Y_20181208_15693_5_2g	Y_20181208_15693_5_5g	Y_20181208_15693_5_9g	Y_20181208_15693_6_3g	Y_20181208_15693_6_5g	Y_20181208_15693_7_3g	Y_20181208_15693_8_3g	Y_20181208_15693_9_12g	Y_20181208_15693_9_13g	Y_20181208_15693_9_15g	Y_20181208_15693_9_4g	Y_20181208_15693_9_6g
0	26770.8242	26792.7637	32972.1094	31164.7871	27557.4395	30140.7109	29006.0215	27683.3359	28536.7305	26157.0371	27039.2891	31948.4102	29836.4941	31152.0117	31222.0957	26535.6719	27837.3008	29820.5215	30960.8164	26512.3555	27271.002	31991.248	31368.9043	26555.0918	29141.5117	27706.6895	30686.5547	28944.8672	27263.9297	29105.2969	25780.5312	30218.209
0.1334	26752.9746	26525.4453	31276.2949	31335.5137	28168.1797	29351.082	29146.0176	27995.0879	29069.3574	27650.2363	27198.209	31380.7676	30309.7812	30634.3789	30907.2266	26291.3301	29388.2969	29651.0977	31907.3008	27970.1719	27012.5273	31974.5859	31104.2695	27422.25	29921.1719	29105.9238	30779.6211	29374.4141	28374.5547	29409.5273	27437.8105	29855.7324
0.2668	25801.3047	27600.6934	33074.1953	31468.957	28187.2363	29160.0234	29898.3301	28664.9648	28470.4648	27183.4434	27423.1738	30559.5645	30733.4688	32832.6016	31210.3457	26881.8105	29958.3047	29691.8184	32191.1367	26843.0254	26677.6621	31348.2598	31513.8652	27078.3496	30179.9375	29334.4668	31897.7227	28864.9863	28361.1172	30576.9727	29027.416	30225.6562
0.4003	27181.8828	27242.2793	32119.877	29896.0195	27419.375	29139.6387	29616.6699	28877.6719	29602.4395	27551.6211	28037.3418	31735.627	31973.3496	31655.0645	30669.2266	25637.9238	29154.3086	30049.5879	30996.7441	27538.8555	26905.4668	31553.8086	31185.4805	27027.1133	30453.7168	30349.7988	32312.9941	29023.666	28515.7324	30578.8848	28798.0801	30109.3887
0.5337	26652.1016	27218.3594	32956.7188	29626.3926	27571.8164	29021.248	29849.8574	29354.707	31454.1133	27531.2891	27742.9551	32279.6309	31783.8027	30968.127	31556.4746	26077.7676	30045.2812	30249.8945	32081.9727	27902.6523	28211.502	32317.2266	30674.8066	26414.7559	30595.1602	29434.2734	32436.2363	29397.0293	29569.9395	32613.2891	27172.0273	30230.3535
0.6671	26080.7188	27249.3145	33295.8672	30821.793	28608.3477	29525.8398	30106.4902	29096.3867	30506.9609	27274.7734	28793.4375	32804.5352	31435.8242	31753.1289	31120.7598	26716.2305	31162.1914	30980.9766	31652.5938	28228.5156	28305.9277	31709.4844	31257.7324	27325.834	28952.9121	30912.2539	30623.6504	28659.7559	28410.9766	30777.5898	27016.8926	30113.9219
0.8005	28311.3633	27833.5547	32959.2539	31234.6406	27445.2363	29485.8379	31999.6367	31487.3457	30736.3809	26793.3594	28296.4004	33395.3203	32228.7891	32302.877	30019.4688	26617.4902	29955.7656	29417.9219	32178.6523	29176.2695	28586.8906	30240.0684	32146.3418	28198.3555	30141.8555	28977.2168	31253.2266	30176.3438	29450.6484	31756.752	27020.6582	29908.9375
0.934	27682.8535	27963.1719	34215.9922	31713.6309	28256.1426	31338.3105	30346.0996	30351.9102	30751.0977	27821.4746	29047.127	34200.0273	33233.6172	31201.3711	31944.9199	26926.7852	29979.6211	31035.5117	33633.5977	28556.8613	28721.9629	29866.4082	32153.9629	25840.9746	31984.5586	30603.9414	32457.543	29985.5	29296.1875	32527.7539	27826.25	30486.5156
1.0674	29174.5449	27258.3965	34398.4102	32396.418	28131.3906	29221.8809	31842.6133	31103.1445	30947.6875	27027.9043	30851.5977	34990.457	32620.6816	31520.2188	31249.3008	27907.207	31673.3594	29941.3691	33613.3633	27978.8652	28783.8359	31468.0977	32798.1562	28584.2695	32038.291	32825.7266	33843.7578	28713.1895	31210.2012	32811.8125	28674.5898	31581.166
1.2008	32305.8242	26868.0586	34100.0938	32406.5586	27587.5156	29395.0352	33362.2578	29801.3262	32294.1875	28232.666	29380.3027	36682.1953	32768.8359	32008.5977	31355.2383	28682.7363	31939.5801	31551.3594	34663.8438	29546.7988	29183.2715	35066.3477	36056.4766	26655.1719	35340.8789	30774.9102	36443.6562	29825.2539	33580.7344	31702.3418	28441.332	32060.8047
1.3342	40150.9648	27491.0977	33801.9766	32706.123	30117.6758	30661.541	35469.9062	31352.4258	30289.9473	28395.1289	29896.5449	43494.3867	35530.3438	33416.7695	32963.7969	34462.1016	31736.3984	30313.9922	39159.168	29765.5977	32888.8164	36514.9609	38987.332	26483.0918	37506.668	35251.9727	42153.4883	30554.9609	38960.625	33830.5977	28534.6367	35053.0508
1.4676	57052.6719	27642.9785	32946.9922	33047.1758	29024.8672	30475.4688	37946.1328	32636.4141	31047.3066	29097.1816	30576.7734	59830.7344	40430.582	32928.1289	34914.4297	50403.5	35538.1172	31143.418	48813.1211	31153.6328	41801.1719	43491.1523	42857.4414	27642.8457	45596.1367	43483.2031	59309.5859	29890.4805	53557.375	38376.7969	29442.4375	39025.2578
1.6011	67619.4531	27329.6367	37022.7891	37062.0625	32382.6113	32561.2559	42247.168	36548.3203	32788.8633	30067.959	36166.3633	82942.5391	51699.7578	33052.5039	39888.4375	74251.6406	45304.9453	32789.4336	55388.332	36780.7266	60821.1719	56521.7305	41421.3867	28454.4414	68499.5312	60892.3789	88750.6953	30956.3125	66292.875	49404.75	28489.2871	50263.8008
1.7345	58082.3633	26978.0039	37910.4375	50466.9727	36759.6484	38484.9961	46780.0977	46162.7656	31884.6543	36813.3594	44163.2617	83959.5469	58375.4688	35837.6172	47090.6211	82598.3594	58669.6016	33665.5117	50759.5859	50548.2148	63247.7188	80119.6406	37029.1758	30436.3945	85214.1328	72056.9375	109196.9297	31531.2734	61900.0469	55607.6328	27304.7441	51567.5781
1.8679	39512.7461	30249.2871	42022.1562	60656.9727	43130.2383	48626.2031	39957	70381	31927.5957	44160.1836	47847.5898	60038.5664	49961.7227	40301.3242	44561.9961	61715.3945	63669.2188	36923.4609	39369.043	64017.0078	50318.8711	92265.4219	34303.4258	29605.8516	75474.3125	62939.0781	84626.3516	31802.9023	46955.2656	49420.2891	27617.4609	40284.6523
2.0013	31708.9785	37638.8594	51434.4688	61618.4062	41716.2422	49613.6055	33996.6602	86255.0547	31083.4102	49794.9609	43881.2812	40848.1875	39663.4258	56042.2461	37699.8086	42379.6602	47652.8242	41775.1719	35558.9844	58155.9375	38562.375	71917.875	34593.2227	31092.6367	52414.2773	44949.1953	56916.7852	31769.1445	38384.8125	42894.4414	29000.1445	34927.8828
2.1347	30111.7539	45362.3594	61263.7344	45844.6641	33370.5156	40659.5195	30569.0312	67987.8359	32370.3848	42802.2773	36212.3633	33728.7852	35679.957	71839.9219	34544.7188	37972.3516	38311.6289	45904.0547	32602.5273	43428.793	33999.8945	56686.7031	NaN	35631.3984	41301.6133	35275.8438	39837.918	31978.7188	33748.1641	39007.1172	29341.1348	33239.125
2.2682	29405.9629	42747.1914	59217.9258	36873.8398	32187.8301	34558.7109	29944.0391	44435.7109	32278.5586	34097.3867	32895.6445	31785.9922	34737.9609	63815.1562	32095.4551	NaN	33848.0078	38737.6328	32653.0449	36223.9922	NaN	NaN	NaN	48707.1523	35441.6289	32786.543	36253.3828	36982.6484	35356.4297	38840.1836	36357.9453	NaN
2.4016	NaN	37522.1094	45088.4258	32598.6035	28735.0371	30723.502	29180.5	34170.8828	33343.418	30746.0215	30203.3555	31861.7793	35320.3984	51923.6914	34005.3438	NaN	31856.1699	35817.8672	32577.2852	33717.668	NaN	NaN	NaN	75446.2578	33337.8633	NaN	34609.5117	43636.2344	NaN	NaN	47597.5508	NaN
2.535	NaN	33097.2891	38943.1758	31460.332	28415.377	30086.6504	NaN	31560.4512	32642.127	NaN	28573.125	NaN	NaN	43719.0312	NaN	NaN	NaN	34169.1367	NaN	NaN	NaN	NaN	NaN	102271.7969	33928.7422	NaN	NaN	50087.1797	NaN	NaN	54090.3516	NaN
2.6684	NaN	34942.1797	35938.9844	30565.998	27868.3828	28986.1914	NaN	28510.9141	33376.6094	NaN	29111.4531	NaN	NaN	40619.8477	NaN	NaN	NaN	32689.6895	NaN	NaN	NaN	NaN	NaN	87960.4453	34101.8867	NaN	NaN	48240.8984	NaN	NaN	47788.3477	NaN
2.8019	NaN	NaN	34990.5	NaN	NaN	NaN	NaN	28191.002	37238.9844	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	61225.9492	NaN	NaN	NaN	39757.0156	NaN	NaN	36601.6133	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46273.6797	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43942.75	NaN	NaN	NaN	33802.3633	NaN	NaN	31428.0996	NaN
