x	Y_20181208_15100_1_6g	Y_20181208_15100_13_10g	Y_20181208_15100_13_4g	Y_20181208_15100_13_6g	Y_20181208_15100_13_9g	Y_20181208_15100_17_4g	Y_20181208_15100_19_4g	Y_20181208_15100_2_2g	Y_20181208_15100_22_10g	Y_20181208_15100_22_2g	Y_20181208_15100_25_3g	Y_20181208_15100_25_4g	Y_20181208_15100_26_3g	Y_20181208_15100_4_1g	Y_20181208_15100_6_1g	Y_20181208_15100_7_1g	Y_20181208_15100_7_3g
0	29243.3789	29197.6641	28521.3398	27471.7812	29009.1309	30724.2891	30662.3398	29374.3535	30213.7539	26593.6836	30935.6543	30476.0996	28714.3125	23514.6348	30922.7637	27165.1699	28698.5801
0.1334	31023.4219	28227.373	27103.7578	27752.1504	30650.2422	29652.4727	28646.8613	29606.1914	30301.4199	27164.0918	31661.4512	30812.5059	28301.8457	24772.666	29318.9863	27110.0977	28128.334
0.2668	30718.9727	28784.5898	29073.4473	28056.5879	30937.9922	29154.5	28481.8066	30505.3926	31041.0938	26439.9375	30249.6523	30088.6074	28372.7266	24096.0781	30774.1641	27487.1699	27662.3789
0.4003	32363.2109	29691.0996	28374.457	29111.6445	30483.1777	29106.7969	28900.043	29996.2656	31360.7734	26867.3027	31588.8555	29286.8867	28578.4395	24354.3262	30404.5293	26701.0801	28361.4863
0.5337	31567.3047	29560.3535	28621.4785	29062.2266	30932.3809	29935.5918	28523.9883	28466.3242	31160.0625	28913.0254	31176.2402	29392.0391	28414.7578	23513.4336	30622.3574	27714.6699	29076.1367
0.6671	31389.3516	29947.9453	29276.6855	28990.8359	30183.7188	30870.0508	28796.2324	29330.5762	32888.9062	27543.7324	30982.3359	30768.1973	29539.4648	24312.3066	30589.6348	28441.3672	29374.4922
0.8005	30680.2422	30034.1582	27686.5625	28929.375	29619.8027	31521.4316	29383.8711	30456.0879	32864.6914	27106.8047	31303.5	31440.6543	28478.9023	24896.0684	29704.4609	27566.3652	29680.8359
0.934	30690.9902	29067.6152	28121.1504	28402.6504	30391.0039	31458.6289	28432.2812	30728.1074	31824.6328	26498.7305	32108.8086	31710.9531	29463.5137	25581.832	28865.3145	29318.2949	28254.2559
1.0674	32199.5508	29591.2168	29070.7344	28761.0625	31430.9863	30945.9258	28127.1484	31209.1895	32694.6016	29346.293	32696.6602	31432.2148	29738.7598	24394.4492	28886.3418	31593.0117	29057.9629
1.2008	32119.4043	33469.6328	30721.7188	29540.6328	30352.9668	30334.5605	27648.1113	32448.2617	34679.5859	28493.3789	33802.0391	32641.5352	28971.9863	25900.7539	30045.5742	31327.6055	29743.375
1.3342	30920.4355	31385.8398	29436.5684	28681.5137	29784.2715	31156.4727	28718.2227	32415.7578	34240.8281	29383.5527	39212.5195	32254.8418	28870.5977	26324.0566	31644.8926	30851.543	29681.8066
1.4676	32054.498	31482.1289	29575.6211	28546.8965	30881.2344	31417.6445	29647.002	31770.0801	35343.8711	29529.0156	46130.5195	31326.6523	29578.8223	27140.0449	34471.4414	31737.7344	28332.7969
1.6011	33140.0508	37492.1836	28531.0781	29144.0918	30526.1328	31788.9824	29877.0957	34946.918	40265.582	29037.0332	49016.1172	32147.2734	29499.627	29541.7812	40703.332	31127.6855	30803.8945
1.7345	35001.3555	54950.2031	30079.6445	29984.6641	32038.2539	30975.1953	34850.75	38827.2617	50163.1797	30294.6973	42827.1445	31309.6895	28945.9551	35182.1211	46993.4531	31948.0195	29368.3789
1.8679	40877.0977	75888.6328	32522.1387	30126.3184	33650.9141	31180.1465	42831.2031	44927.6719	65806.8203	36466.8984	37480.3867	30751.2949	30527.0645	40849.0469	43590.2344	32392.3438	30385.4805
2.0013	52746.6641	83935.1719	38191.2695	32102.3223	40791.9531	30804.8828	52257.1055	57067.6172	70813.8906	47821.1797	32903.1484	31991.0469	35211.418	40826.4961	35912.7969	34648.6562	29696.3535
2.1347	60488.1992	62165.1445	53270.9336	35482.8281	46077.6992	33902.1562	54757.6719	64514.4844	53793.3789	70004.2656	33359.1172	34443.4102	41797.8086	35406.3359	32339.6855	42185.3359	32012.2793
2.2682	56270.8203	45238.0742	64249.582	42339.4688	38944.125	36580.4375	43331.1133	58929.082	42137.8477	81501.1641	33254.7695	40370.1445	47095.6523	29189.8477	31350.623	57243.6875	34088.8945
2.4016	41747.8672	44274.4531	58866.5234	47574.5625	32840.8906	44642.9141	33809.4883	48374.082	37522.9922	67377.0312	NaN	51531.8164	45785.2539	28561.4062	NaN	62958.2539	40611.4062
2.535	34705.9414	NaN	40141.6289	45970.6562	29820.4121	52091.2305	31021.9961	NaN	34055.2773	46508.6289	NaN	56861.5664	37145.5273	NaN	NaN	50030.2109	40020.3867
2.6684	32959.5312	NaN	31792.334	37874.0352	29026.5117	50100.418	29907.373	NaN	NaN	35907.3828	NaN	49921.5781	33404.3789	NaN	NaN	40790.5273	38620.957
2.8019	NaN	NaN	31805.6719	32015.127	NaN	39584.0078	NaN	NaN	NaN	NaN	NaN	41474.6211	32141.168	NaN	NaN	35135.9336	36910.3789
2.9353	NaN	NaN	NaN	NaN	NaN	35349.375	NaN	NaN	NaN	NaN	NaN	35525.168	31140.8105	NaN	NaN	NaN	43938.8008
3.0687	NaN	NaN	NaN	NaN	NaN	34639.9141	NaN	NaN	NaN	NaN	NaN	33941.7188	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	33742.0898	NaN	NaN	NaN	NaN	NaN	32661.1797	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
