x	Y_20181208_15694b_1_1g	Y_20181208_15694b_1_3g	Y_20181208_15694b_1_6g	Y_20181208_15694b_10_5g	Y_20181208_15694b_2_6g	Y_20181208_15694b_3_2g	Y_20181208_15694b_6_4g	Y_20181208_15694b_6_6g	Y_20181208_15694b_6_8g
0	27913.877	29080.3965	32140.9355	26525.4727	27566.1367	28496.2188	29549.7363	30927.2773	25269.6289
0.1334	26955.5156	27929.2773	31168.4941	27116.3438	27901.1348	26333.9746	29878.8535	30612.7383	26426.7871
0.2668	25991.2656	27909.3496	31019.8633	27749.9883	28693.5098	27299.6309	30664.6895	30699.4805	25820.0566
0.4003	27716.2812	29390.7969	31089.2734	27667.6797	28222.5469	27387.7734	31837.0527	29686.959	24447.3711
0.5337	26078.6309	29840.6016	32324.5332	27130.9141	28369.6211	28778.0586	32035.7578	32123.3711	26096.6699
0.6671	27013.2305	29109.459	33067.0078	28587.6328	29009.2246	28238.5684	30930.2598	32011.7012	26643.0801
0.8005	27112.291	28285.4004	33475.7812	30329.1484	29001.3887	28192.1777	30782.0957	34409.4492	26315.8652
0.934	26862.7227	28733.5391	34737.2812	28358.9043	29864.5469	28160.4375	32380.3418	39184.957	25633.1914
1.0674	27774.8887	29010.1992	40565.5938	32173.9277	30052.7051	27491.1699	32794.4258	51165.6875	25830.9434
1.2008	28205.1035	29363.9277	55479.4805	36527.5781	31522.5996	28527.9395	33637.5703	71995.0625	27505.2676
1.3342	28867.2461	28649.8691	85712.0781	44089.7656	34649.5508	30483.5977	34732.1562	84354.2656	29744.8359
1.4676	28488.7168	30046.4785	104060.7969	57690.543	43816.3789	33402.2109	37166.4961	70210.6328	30625.8555
1.6011	32506.9043	29903.4512	83453.2266	58432.7344	65980.3906	40966.207	41769.9688	51774.4883	36698.5234
1.7345	41858.6133	34878.9922	54683.8281	45397.4375	91468.7109	57139.4453	53134.9844	39703.7188	49233.3398
1.8679	48442.1367	39475.7852	41441.7695	39656.1055	89569.2578	77856.4844	70454.2656	37141.2656	63543.4805
2.0013	43959.1523	37587.6055	38372.0312	NaN	61576.0234	75605.0156	72824.2734	NaN	60662.3711
2.1347	35413.2031	34582.3633	34609.0117	NaN	43039.6172	55957.5156	58510.8828	NaN	43764.6562
2.2682	30562.7871	31510.0469	33343.4492	NaN	34441.5117	39441.9102	41847.1836	NaN	35044.8438
2.4016	28481.4414	29536.7832	NaN	NaN	31476.4395	37271.6055	35757.7344	NaN	NaN
2.535	27523.7715	29198.3359	NaN	NaN	29459.4824	36358.8008	33834.2734	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	29098.5098	35836.4883	33009.2461	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	29869.3594	NaN	33811.2109	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
