x	Y_20181208_15693_17_11g	Y_20181208_15693b_11_8g	Y_20181208_15693b_12_14g	Y_20181208_15693b_4_11g	Y_20181208_15693b_4_5g
0	28731.2578	25377.7129	26479.6602	28893.9746	28028.6074
0.1334	30583.8184	26007.9453	27950.0957	28907.1953	27820.0742
0.2668	31463.9746	27268.375	27947.0684	28174.6426	27626.5449
0.4003	30403.5527	27097.7969	29162.041	28614.3848	28806.5605
0.5337	31230.8164	27584.5312	28853.6465	28704.8789	28999.8965
0.6671	30630.3594	28071.0957	29022.0762	31019.9648	28052.5273
0.8005	31254.0273	27229.7832	29407.6016	29474.0625	28372.6387
0.934	31198.166	28138.4707	28696.0215	29502.6562	29554.127
1.0674	31158.9727	27100.3242	29597.6895	29556.2715	29799.7617
1.2008	30959.0586	26330.5059	31363.8184	30222.0586	27731.5254
1.3342	29749.8906	27821.2637	31832.334	28935.418	29686.0391
1.4676	30765.752	28912.5078	31575.1309	30471.2148	30461.1328
1.6011	32343.7734	28780.3027	30778.373	32313.8672	29382.3496
1.7345	30488.9648	29270.8281	30049.9629	29203.0156	29532.8574
1.8679	31729.6621	28006.3477	30232.2637	30442.1289	30190.5215
2.0013	31747.7891	28436.1328	29782.3574	31752.9531	30698.7363
2.1347	30922.8711	28168.3418	29836.0762	30671.6797	28888.4629
2.2682	31419.6387	27867.8223	29251.1348	29521.2441	30172.293
2.4016	31868.1328	28934.6191	29550.1172	29929.0039	29913.377
2.535	31105.8066	29426.7617	29569.8965	29921.0117	31050.5801
2.6684	31092.9375	29412.5117	28418.6738	29106.1172	29714.8516
2.8019	30631.1719	31280.6777	28252.0254	29892.4316	28364.4668
2.9353	31531.6328	37514.0664	27070.9336	30731.6289	29693.4512
3.0687	31766.8008	49657.8047	29019.9258	32007.9824	30516.4238
3.2021	31858.5645	71575.2734	32574.3027	38060.2656	31283.748
3.3355	33096.0781	84523.6562	39465.6875	51046.2539	32230.2012
3.469	34866.2148	68250.1406	57154.4844	78591.1875	32417.4902
3.6024	39503.8945	44083.6523	68598.9141	87611.125	34288.7148
3.7358	44687.2461	33567.6562	57608.4023	68985.9609	42882.8242
3.8692	46643.6992	31890.9902	39148.8945	46759.8359	48559.457
4.0027	39131.875	30076.9961	31647.6504	37041.0156	46397.3477
4.1361	34115.6289	NaN	27448.127	38694.332	34628.5625
4.2695	33559.4219	NaN	NaN	NaN	31276.2637
4.4029	31916.3379	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN
