x	Y_20181208_15694_1_5g	Y_20181208_15694_10_2g	Y_20181208_15694_10_7g	Y_20181208_15694_12_11g	Y_20181208_15694_13_15g	Y_20181208_15694_14_8g	Y_20181208_15694_15_7g	Y_20181208_15694_17_2g	Y_20181208_15694_17_3g	Y_20181208_15694_17_4g	Y_20181208_15694_21_3g	Y_20181208_15694_22_4g	Y_20181208_15694_22_9g	Y_20181208_15694_23_11g	Y_20181208_15694_24_1g	Y_20181208_15694_25_1g	Y_20181208_15694_25_3g	Y_20181208_15694_25_4g	Y_20181208_15694_26_23g	Y_20181208_15694_26_8g	Y_20181208_15694_28_4g	Y_20181208_15694_29_3g	Y_20181208_15694_29_5g	Y_20181208_15694_3_16g	Y_20181208_15694_30_5g	Y_20181208_15694_5_1g	Y_20181208_15694_5_21g	Y_20181208_15694_6_1g	Y_20181208_15694_7_11g	Y_20181208_15694_7_16g	Y_20181208_15694_8_10g	Y_20181208_15694_9_12g	Y_20181208_15694_9_20g	Y_20181208_15694_9_3g
0	13419.165	9171.6904	13532.5361	10824.2012	9581.1348	10519.0947	10839.6572	9731.7695	9650.8711	10611.3037	9497.4824	11458.1631	10965.8447	12140.4199	11904.9072	9521.3887	9961.5215	13134.6611	10153.71	10092.459	13482.3994	9832.873	9829.6826	9922.8428	10358.2627	10854.0986	8954.8506	13531.0215	11308.7148	10049.7773	14114.0439	9681.5479	13106.876	10362.3193
0.1334	15188.5068	9474.1475	13485.8066	10817.2227	10876.0664	11331.0322	12488.8975	9387.0957	9901.1992	11221.1396	9266.8428	12098.8613	10353.9658	14145.2314	11596.3223	9838.7861	10259.5557	13232.7432	11699.6113	10807.7646	16329.6865	10561.5518	10198.5186	10127.9561	11059.832	11295.9395	8832.5654	15532.4785	11980.3301	10523.1289	16634.9316	9907.9648	15010.8115	10178.4326
0.2668	16368.915	9884.5605	13604.0049	11997.9805	12357.1611	13583.3613	14908.3125	9831.2744	10470.0391	12529.9033	10458.0957	12994.6777	11250.9414	15497.3945	11876.7188	9990.9834	11930.7383	14792.4248	14809.9922	11369.8184	18412.8516	12522.6885	10799.5488	10636.1016	12839.54	11600.0156	9627.5039	17402.8047	15098.0059	11454.002	16814.4805	10266.3643	17808.959	10878.0615
0.4003	15270.0811	10468.875	15599.9102	12998.2969	14002.9678	14873.1885	17181.3457	10692.3457	10494.25	13974.8291	11123.1191	14114.9619	12347.1328	16169.1367	12359.6328	10850.335	13544.8887	16281.3906	18623.332	12953.8711	17550.6641	14466.0498	11504.6953	11945.292	15738.6934	11913.123	10365.1973	17345.0938	18464.332	13289.0361	15515.2012	12002.0996	19425.7695	13553.251
0.5337	15052.7021	13231.5049	16587.7012	13415.3818	14470.3584	16705.3516	17853.8691	12091.9775	11283.0332	14093.7471	13511.084	13276.5098	13675.1523	16013.9932	12680.9238	11905.5918	15903.8506	16394.5898	19291.1348	13476.0801	16278.2041	15292.1504	13078.4336	13258.1328	17805.4922	12794.5166	11226.1533	16402.5176	19234.8516	15821.5713	15092.8506	14195.9795	18319.75	16339.832
0.6671	14328.6494	15187.0469	16764.3984	13351.2158	14600.6719	16368.6016	16335.25	14781.7324	13391.9385	13303.4912	17434.5195	13238.6533	15040.6191	15884.2783	13805.0361	13658.0664	17770.0273	15076.5244	17223.4219	12835.8525	15315.9033	14965.3652	15190.7949	14073.8018	17504.3984	14578.8613	12051.1025	15076.415	17621.2891	15457.5371	15045.6631	17674.2227	16752.666	16623.582
0.8005	13546.4102	14785.71	14971.8066	13659.7031	14713.9785	15821.627	15537.2695	16067.2959	14283.3311	13124.1396	18619.7754	13097.4834	14193.0986	15709.251	14334.085	14377.9355	17276.4902	14724.1885	15601.0859	12846.0244	15296.4951	14342.2158	15249.4346	14026.4189	16739.8809	16454.4062	13918.4014	15581.0146	16746.5117	14178.5039	15643.9561	19107.1621	16922.3809	15074.6143
0.934	13784.2959	14070.6387	13950.2207	14463.1699	14540.4316	16106.6709	13900.9912	17509.375	14229.6582	13584.415	16829.8086	13483.7705	12743.9277	15191.5547	14265	14353.1855	16830.6855	14236.582	15736.2021	13113.5146	15308.416	14399.915	15132.4736	13602.3877	16075.7939	16297.9004	14173.4873	15031.0518	15335.8682	14493.7529	15602.6748	18122.4883	16894.8496	15559.6533
1.0674	14146.4443	14209.3535	13524.6484	14098.7529	16740.6016	15011.166	14017.9736	17570.6055	14950.1094	13780.7822	15175.2764	12667.4805	12714.7012	14533.7188	14184.9746	13159.9414	16888.3535	13655.2686	16256.6133	12787.4072	14703.6172	15361.9395	14628.6699	13041.7295	16336.6055	15186.8838	14537.8467	14609.7402	15124.3301	14541.3574	17258.5059	17097.1152	17867.4199	16105.665
1.2008	14190.5293	14890.251	14060.3125	12734.3936	16231.4502	15097.1543	13917.7646	16760.0137	14568.4912	13900.9775	14799.8467	13097.4434	12519.8389	14031.1143	14189.4561	13414.3506	16699.7402	14349.7939	16205.9971	12873.335	15406.2363	13645.4072	14449.0117	13363.1074	16758.8301	14193.3594	13375.3057	14260.9023	14967.9863	14574.4375	16519.4844	17142.3633	17196.3848	14601.0381
1.3342	13132.7559	14840.582	14713.8398	12272.2266	15508.0195	15652.793	13909.8096	16774.4609	14093.6445	13683.1738	14031.6807	13070.1553	12716.1152	14037.8408	13731.6621	14210.3174	18033.1426	13464.4395	16316.6035	13293.3828	14943.416	14588.6475	13910.8672	13286.8691	15890.1895	14107.0986	12832.5674	13425.4619	14870.0898	15179.2354	16647.2227	16811.8906	17175.7656	14494.0449
1.4676	13390.1318	14853.8564	14693.5225	12507.3594	14481.0615	16124.0137	13614.9346	17364.4141	13707.3574	14273.5459	13783.7695	12830.9961	13023.9082	13883.4102	13701.1006	13251.9766	17311.8145	13076.8184	15384.876	13421.3242	15308.4092	15185.8672	14298.9951	13721.79	15718.8135	13716.833	13381.1406	13134.9697	15639.0215	15129.3271	16589.3613	15698.4102	17181.8672	13450.3838
