x	Y_20180224_15102_1_2g	Y_20180224_15102_10_2g	Y_20180224_15102_11_5g	Y_20180224_15102_11_8g	Y_20180224_15102_12_1g	Y_20180224_15102_13_13g	Y_20180224_15102_13_1g	Y_20180224_15102_13_3g	Y_20180224_15102_13_4_1g	Y_20180224_15102_13_6g	Y_20180224_15102_13_7g	Y_20180224_15102_13_9g	Y_20180224_15102_15_17g	Y_20180224_15102_15_1g	Y_20180224_15102_15_9g	Y_20180224_15102_16_3g	Y_20180224_15102_16_4g	Y_20180224_15102_16_5g	Y_20180224_15102_18_3_2g	Y_20180224_15102_19_1g	Y_20180224_15102_19_7g	Y_20180224_15102_2_4g	Y_20180224_15102_2_7g	Y_20180224_15102_20_5g	Y_20180224_15102_20_8g	Y_20180224_15102_21_3g	Y_20180224_15102_22_4_S_g	Y_20180224_15102_23_2g	Y_20180224_15102_23_3_S_g	Y_20180224_15102_23_4g	Y_20180224_15102_23_8g	Y_20180224_15102_24_7g	Y_20180224_15102_25_11g	Y_20180224_15102_25_6g	Y_20180224_15102_25_8g	Y_20180224_15102_26_8g	Y_20180224_15102_27_11g	Y_20180224_15102_27_6g	Y_20180224_15102_28_12g	Y_20180224_15102_28_15g	Y_20180224_15102_28_7g	Y_20180224_15102_4_6g	Y_20180224_15102_5_2g	Y_20180224_15102_5_3g	Y_20180224_15102_5_5g	Y_20180224_15102_6_1g	Y_20180224_15102_6_3g	Y_20180224_15102_7_2g	Y_20180224_15102_8_10g	Y_20180224_15102_8_1g	Y_20180224_15102_8_2g	Y_20180224_15102_8_5g	Y_20180224_15102_8_8g	Y_20180224_15102_9_2_g	Y_20180224_15102_9_6_S_g
1.3342	14353.666	23707.316	19788.6	22365.779	17516.883	18929.383	25199.531	17327.115	16739.078	22376.039	16462.914	13543.656	17501.744	22806.787	16130.911	29543.518	22528.986	17961.482	17636.873	21880.451	18757.252	18046.879	24441.787	14567.705	30207.572	19418.908	23213.787	21519	20500.27	16321.888	17693.064	20842.207	25175.908	15666.31	24315.445	19004.879	19472.047	15317.68	21458.895	16156.835	20658.215	19960.898	21232.617	15347.463	18069.311	25099.389	17276.182	14725.168	17429.727	16346.245	20090.854	16361.28	23721.336	21218.084	17967.67
1.4676	14906.823	23013.184	19569.303	22006.113	17865.756	18533.729	23718.773	17444.203	16364.521	25403.391	16066.68	13373.693	17873.717	20801.064	15796.063	24738.141	22392.012	19639.615	17541.619	19313.629	20638.404	17308.646	23471.084	15228.375	26536.234	19881.07	22352.994	21798.891	20258.088	15750.935	17739.465	18559.77	26979.49	15784.047	27288.93	19170.189	19876.412	15611.779	20060.789	16957.971	19451.041	17400.658	20924.838	15790.285	17484.889	23704.711	18036.516	14229.543	18131.414	16517.361	20193.639	16130.389	21432.365	19944.277	17584.035
1.6011	14992.474	21646.484	19682.557	21216.008	20019.576	20009.834	21547.07	16232.063	15703.946	26468.27	16365.173	13731.823	17625.801	19584.979	15271.48	20544.773	22153.693	18877.746	18050.357	17748.818	20675.494	16114.392	20542.146	14894.113	24361.801	22283.613	21526.639	23601.344	17823.164	16252.989	17236.324	18934.732	26294.434	16459.496	25706.908	17342.293	19226.559	17095.371	18583.398	17651.625	19614.398	17183.824	20247.02	16923.529	15558.586	21127.049	19210.648	14419.888	17801.719	15916.158	21138.035	15636.613	18563.838	19096.086	15428.447
1.7345	14226.775	19342.396	19514.197	21159.391	18876.203	23232.951	22336.168	15834.815	16906.861	26083.518	16143.126	14551.063	17132.078	18535.994	15127.227	18753.883	24268.729	17840.881	18522.248	17593.488	19508.307	16557.469	18923.428	13899.989	20409.826	21763.998	20421.197	23814.898	16303.47	16797.281	17691.199	17934.953	24455.412	16491.232	24252.045	16461.18	18432.67	15135.878	17781.502	17568.213	17107.76	17643.139	19453.084	18447.883	15727.52	18585.463	21507.219	15277.315	17504.656	15661.019	20237.234	15023.801	17200.951	17975.158	14599.219
1.8679	14968.489	18810.791	20484.543	23263.125	19653.072	22026.449	23717.186	15465.819	14977.889	23909.518	15641.037	15494.363	16164.111	17924.672	14125.203	15763.555	26596.574	17728.195	17888.156	18519.318	20076.551	16384.705	17854.207	14500.615	20312.545	19916.387	21657.115	21776.666	16867.557	16436.281	17662.074	17640.67	22653.486	15495.549	23020.951	16413.484	17763.828	14597.749	16718.338	16611.383	16390.621	18296.785	19432.193	19395.416	15962.746	19217.84	21665.725	14836.887	16089.384	14325.693	18244.314	14480.48	16767.102	16387.316	14706.646
2.0013	14748.708	19116.207	22176.01	22484.162	18976.684	21247.812	23102.732	15452.7	15161.633	20740.02	15298.688	16151.6	16978.172	17144.648	14316.951	14694.193	25868.043	17615.416	17908.391	17310.535	19176.445	15760.882	16420.072	16170.874	19920.664	18502.676	22180.256	19844.033	15790.631	15860.386	17517.047	16708.123	21885.756	15619.553	22238.359	15793.92	16781.715	14013.594	17776.467	15943.692	16070.901	17834.502	20505.65	20456.871	16947.418	22211.119	19645.164	15336.571	17133.893	14641.459	17116.225	14661.117	16171.665	16611.688	14663.444
2.1348	14654.377	20077.307	22012.584	22404.824	16861.654	22430.857	21400.512	15538.209	15029.193	20201.633	14043.646	18284.197	16434.473	17229.035	13704.381	14675.438	23871.074	15345.636	17073.055	16186.078	17728.533	15929.151	17218.465	15973.853	17940.488	16321.899	21228.805	19621.299	15668.032	15449.73	16614.443	16155.891	21745.471	15859.906	25850.832	15225.344	15680.016	14107.254	19003.945	15625.708	14737.333	17930.184	19502.709	20906.918	17499.979	25919.064	18438.156	15637.054	19451.578	15608.731	15589.162	13040.342	14967.332	16445.527	15632.868
2.2682	15648.993	19652.877	20219.998	21495.668	16937.152	19977.826	19569.648	16107.832	15668.785	18862.354	13571.046	16907.641	15516.64	16694.049	13696.552	15249.995	22359.57	15227.985	16331.809	15308.182	16595.953	14817.521	17791.414	16062.889	18324.387	15193.534	20994.033	19472.797	14802.494	16234.139	16726.061	16109.513	21294.332	15977.157	27224.035	15588.254	16463.109	13965.304	19427.27	13911.777	15118.649	18814.658	18879.051	19796.389	18739.338	28077.857	17449.113	15794.158	20627.633	15648.438	15160.183	14246.146	15744.936	16484.52	15412.305
2.4016	17108.41	19153.164	18418.785	20799.145	16348.691	18752.584	18195.697	15405.095	15287.759	16949.615	14288.711	15649.306	14996.189	16053.185	13467.453	14139.581	20022.725	15452.27	15232.339	16567.092	15039.187	14028.608	16726.168	15999.234	18792.291	13591.536	20684.742	19402.426	16016.011	15465.524	16347.447	17503.859	20502.963	15992.36	24895.115	15601.469	16473.035	13697.757	19639.529	13367.407	16071.807	17736.934	18140.182	19835.736	20121.992	28189.754	16250.216	15596.269	21478.404	14767.143	14270.505	14931.735	15279.186	19121.877	15107.559
2.535	17650.607	17349.033	16969.576	19039.285	15763.86	17953.711	16140.221	15637.649	14843.053	16159.391	14345.416	15721.094	14592.748	16836.775	13635.937	14285.325	18459.297	15231.868	15166.13	16915.232	15598.816	14447.837	15654.697	15751.862	21589.018	13671.322	19901.043	19099.166	16489.441	14299.049	16667.816	17532.785	21734.094	16969.916	21796.506	16063.044	16118.077	13760.676	17803.465	12876.109	14706.872	17594.727	16668.457	20187.023	19032.721	28610.904	15359.631	15169.143	18814.834	14159.756	14568.623	16217.094	15611.541	21100.246	15646.432
