x	Y_20180212_14590b_10_5g	Y_20180212_14590b_12_6g	Y_20180212_14590b_17_1g	Y_20180212_14590b_22_2g	Y_20180212_14590b_26_6g	Y_20180212_14590b_30_5g	Y_20180212_14590b_38_2g	Y_20180212_14590b_38_4g	Y_20180212_14590b_3_3g	Y_20180212_14590b_3_4g	Y_20180212_14590b_40_2g	Y_20180212_14590b_47_1g	Y_20180212_14590b_47_7g	Y_20180212_14590b_48_12g	Y_20180212_14590b_5_6g	Y_20180212_14590b_9_7g
0	34738.34	36698.012	34461.766	41578.562	42104.387	36548.789	42698.473	39725.184	39951.051	35328.484	40621.094	36620.441	40942.258	30950.287	36344.125	34048.516
0.1334	35581.074	36986.164	34444.988	43008.293	39733.156	33453.285	44425.77	39892.645	40423.594	35196.023	40208.938	34626.145	40989.93	31820.404	37003.598	33512.504
0.2668	33133.023	38847.379	35051.094	44290.184	39522.637	34316.867	45125.848	41487.609	40031.684	36280.543	41537.922	34523.797	39914.652	30530.709	37350.77	33422.145
0.4003	35638.484	38426.914	35686.449	44761.023	38911.855	34952.113	45013.742	41672.871	41258.801	35248.781	44383.27	36431.855	42436.762	30894.916	38181.281	33893.863
0.5337	34983.559	40321.121	36984.957	45424.367	38851.02	36238.648	44905.469	40552.707	42115.906	35607.355	41790.402	37489.125	43483.262	31560.154	38129.422	32830.031
0.6671	34734.281	40618.738	37027.824	45596.711	41387.895	35824.902	42397.336	40992.168	43498.012	38321.336	46152.258	36811.184	46823.664	32817.781	37543.348	35647.688
0.8005	35759.594	41416.484	36432.199	50426.5	41582.332	36289.836	47185.887	42159.879	44083.031	43691.551	49402.758	40495.863	52676.902	34374.371	38509.543	36487.734
0.934	35351.965	40208.668	36106.145	62167.746	46232.863	35327.18	50577.559	43197.309	53905.074	55078.711	58904.215	52246.246	63398.184	40317.164	39598.98	37284.461
1.0674	36732.695	44156.547	35689.895	84248.047	54061.992	36879.48	66781.047	44181.219	69282.523	80616.445	82798.516	73105.797	70215.086	57610.016	44921.512	41543.52
1.2008	41254.922	49803.387	37370.984	85336.445	83309.031	37838.816	78807.094	50396.691	71541.391	98055.031	123840.227	78680.086	60437.719	81587.023	55405.145	49418.477
1.3342	47285.672	80318.758	41976.625	63292.078	154283.625	40277.105	66417.766	65160.742	59080.949	77620.586	127407.25	60316.824	47692.277	84154.297	59699.043	61237.801
1.4676	60318.562	122735.359	54059.727	49136.293	205164.5	47979.594	55828.625	81437.352	47318.383	53421.832	87498.766	45940.266	42274.777	62113.527	52009.414	66400.773
1.6011	56746.332	133424.359	71017.883	NaN	161461.719	56726.59	55013.062	75431.188	44149.324	43936.613	62331.234	41331.727	42079.055	44321.18	44035.332	58287.25
1.7345	44570.059	96424.398	84074.102	NaN	92945.977	57556.137	NaN	57554.602	NaN	NaN	49702.996	NaN	41175.906	NaN	NaN	46534.355
1.8679	38867.066	61369.719	63991.566	NaN	58274.508	46861.48	NaN	47610.93	NaN	NaN	43118.527	NaN	NaN	NaN	NaN	40553.395
2.0013	36487.895	49089.887	47159.824	NaN	NaN	38843.766	NaN	43550.074	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.1348	NaN	NaN	39047.82	NaN	NaN	35977.613	NaN	42225.203	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.2682	NaN	NaN	NaN	NaN	NaN	34833.227	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.4016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
