x	Y_20181208_15100b_10_2g	Y_20181208_15100b_16_9g	Y_20181208_15100b_18_1g	Y_20181208_15100b_23_2g	Y_20181208_15100b_26_6g	Y_20181208_15100b_27_1g	Y_20181208_15100b_28_1g	Y_20181208_15100b_29_1g	Y_20181208_15100b_8_3g
0	11458.7432	13058.1943	13737.6172	11638.4697	9885.5908	11939.0957	11539.9482	13457.7227	10495.7021
0.1334	12712.0596	13202.3545	14361.8369	13532.1357	10961.1611	11709.083	11272.0293	13529.1006	10736.3223
0.2668	14774.2188	14401.7666	14916.1426	17106.1855	13096.1055	12254.3926	11508.1699	15175.3828	12270.4551
0.4003	16410.2656	16275.7881	15883.5508	19624.9883	14730.1289	12480.3359	13253.3682	17390.1875	13427.6201
0.5337	17542.9336	17316.4629	15533.8379	18227.8789	15182.7441	12790.0078	13265.7539	17681.2266	12974.9834
0.6671	17271.3301	16579.2695	16115.8135	15586.0996	16141.0518	15032.2793	14694.6045	16394.457	12442.8828
0.8005	16210.4424	15644.3477	16468.2871	14561.8711	15980.833	17067.8359	14274.4414	15400.7744	11894.6846
0.934	15713.1328	17173.6836	15517.9248	14220.5293	15617.1523	17942.3828	13354.0859	13950.4902	12114.7109
1.0674	15617.3066	16306.6074	14960.6592	14688.4883	16027.5752	17144.7109	13491.5977	13359.7764	11563.3184
1.2008	14417.4521	14979.1631	14155.3623	14618.0771	15752.6191	15147.7412	13601.4541	13096.6982	11888.1846
1.3342	13148.6445	14750.3906	13558.2256	14521.4531	14683.3604	16390.5566	12310.4434	12940.1152	12075.6797
1.4676	12949.4629	15162.5098	12943.8555	13685.5693	14550.6562	15947.1777	13114.2031	12397.2041	13336.5811
1.6011	13551.6064	14832.208	13213.791	13510.0078	14074.3438	15644.0459	12263.5898	12274.8584	12704.1035
1.7345	13527.1172	14647.167	12700.709	12417.6113	14227.0244	15398.3848	11301.5293	12770.9473	12672.2549
1.8679	13266.9639	13289.25	13225.9639	12169.0361	13053.2012	14297.5361	11448.0283	12224.5723	12376.8125
2.0013	12160.3418	12769.8066	12535.1738	11892.584	12069.0723	13248.3828	11530.7705	11454.749	NaN
2.1347	11500.1016	12929.2881	12448.4824	12116.7793	12326.9834	13429.7939	11185.4541	11734.2539	NaN
2.2682	11720.9482	12743.7734	12143.5264	NaN	12242.1396	12912.6309	10930.7578	11168.0664	NaN
2.4016	11281.9326	NaN	11802.3564	NaN	11946.1094	12860.8486	10657.5186	10365.6611	NaN
2.535	NaN	NaN	NaN	NaN	11479.7227	12472.5967	10473.0137	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	11353.0879	12279.3926	10259.6719	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	12196.9902	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
