x	Y_20180224_15100_10_1g	Y_20180224_15100_10_4g	Y_20180224_15100_10_6g	Y_20180224_15100_10_8g	Y_20180224_15100_11_3g	Y_20180224_15100_11_4g	Y_20180224_15100_12_11g	Y_20180224_15100_12_1g	Y_20180224_15100_13_10g	Y_20180224_15100_13_8g	Y_20180224_15100_15_5g	Y_20180224_15100_16_5g	Y_20180224_15100_16_6g	Y_20180224_15100_16_7g	Y_20180224_15100_17_1g	Y_20180224_15100_17_5g	Y_20180224_15100_17_6g	Y_20180224_15100_17_8g	Y_20180224_15100_18_3g	Y_20180224_15100_18_4_2g	Y_20180224_15100_18_8g	Y_20180224_15100_19_11_1g	Y_20180224_15100_19_11_2g	Y_20180224_15100_19_17g	Y_20180224_15100_19_2g	Y_20180224_15100_19_3g	Y_20180224_15100_19_5_1g	Y_20180224_15100_19_5_2g	Y_20180224_15100_19_7_1g	Y_20180224_15100_2_1g	Y_20180224_15100_2_5g	Y_20180224_15100_2_8g	Y_20180224_15100_20_10g	Y_20180224_15100_20_11g	Y_20180224_15100_20_2g	Y_20180224_15100_20_5g	Y_20180224_15100_20_6g	Y_20180224_15100_20_7g	Y_20180224_15100_21_5g	Y_20180224_15100_21_9g	Y_20180224_15100_23_4g	Y_20180224_15100_24_5g	Y_20180224_15100_26_2g	Y_20180224_15100_27_4g	Y_20180224_15100_28_6g	Y_20180224_15100_28_9g	Y_20180224_15100_29_3g	Y_20180224_15100_29_6g	Y_20180224_15100_29_7g	Y_20180224_15100_30_3g	Y_20180224_15100_30_4g	Y_20180224_15100_30_6g	Y_20180224_15100_31_4g	Y_20180224_15100_32_1g	Y_20180224_15100_33_1g	Y_20180224_15100_33_3_2g	Y_20180224_15100_33_5g	Y_20180224_15100_33_7g	Y_20180224_15100_4_5g	Y_20180224_15100_6_7g	Y_20180224_15100_7_11g	Y_20180224_15100_7_1_1g	Y_20180224_15100_7_2g	Y_20180224_15100_8_2g	Y_20180224_15100_8_6g	Y_20180224_15100_8_7g	Y_20180224_15100_8_8g	Y_20180224_15100_9_10g	Y_20180224_15100_9_4g
0	38662.613	40107.184	37657.637	35995.633	34399.145	32947.531	38891.926	34957.996	31900.969	38545.676	41631.738	35788.836	40941.016	39823.984	32852.301	39305.801	39912.098	32375.65	41891.773	41087.199	35774.23	39873.602	40088.551	35993.527	37642.918	37483	35164.805	36670.945	34207.352	38110.465	41579.898	41396.496	33605.266	41908.344	37529.359	40286.812	40354.594	39585.562	41917.809	40913.586	37630.055	35441.559	36812.137	39113.957	39908.773	39313.164	38590.922	37888.344	35012.07	38421.422	40308.906	39109.016	40277.07	39849.465	39764.938	36881.375	35944.312	37488.875	38523.102	38473.695	39700.902	37066.648	38460.965	39562.125	36788.754	36843.418	36764.238	40049.688	39024.938
0.1334	37847.023	39921.477	37003.246	36917.512	34032.891	33439.785	38621.578	33548.586	30975.721	37886.156	40927.742	37589.258	39746.719	39244.254	32660.475	41209.957	38761.07	33455.953	39753.762	40352.359	36843.184	38862.301	39971.629	34900.73	38555.008	38144.828	35192.797	35475.473	33304.801	37037.859	39358.047	40523.227	34077.047	40303.062	38156.93	39036.996	41868.902	38724.387	42370.133	39841.508	36104.402	34677.137	35990.23	38869.281	39158.18	38400.957	38350.07	38186.594	33636.863	38982.379	42042.465	40570.637	38857.703	39931.316	39224.938	37545.441	35862.082	37528.691	40557.234	38972.406	39061.859	35764.754	38995.871	39346.371	38432.363	37185.793	37158.395	40735.523	39081.332
0.2668	38700.234	39896.191	38131.887	35066.871	34429.98	35201.98	38175.527	33530.98	32526.432	38616.172	41375.422	36294.113	40110.973	37710.602	32837.496	39519.863	38612.914	33303.117	40018.203	40459.223	35487.523	39785.918	39480.289	34687.414	40091.172	40359.914	35485.051	36331.238	33426.238	38386.945	41821.949	40844.91	34425.977	39171.328	38319.613	39534.988	39984.789	39637.219	41323.223	40295.121	35727.934	35488.969	35918.285	38314.586	38552.422	40409.98	38587.375	37036.488	34829.074	38109.176	41480.367	41305.34	40684.547	40745.602	38556.312	39198.707	34471.312	37962.133	41165.055	38564.656	37957.691	36939.016	39542.355	39156.379	39056.633	35634.184	37120.461	40551.547	38822.598
0.4003	38891.508	38896.906	40258.301	36124.262	34812.914	34703.914	35795.816	33694.18	33104.211	39215.023	40894.078	38131.559	42317.168	38528.016	34454.121	40062.543	39964.082	34899.953	39372.266	39574.637	37678.477	39860.32	39531.051	34972.137	37895.867	39097.938	35978.875	37697.387	31742.965	36933.539	40681.117	39839.746	33602.453	38382.031	38490.539	39697.512	38971.93	40626.855	41863.961	38075.844	36308.301	34097.828	35610.25	38960.836	38592.328	38866.422	38712.496	37332.707	32598.977	38454.469	41126.48	40819.656	40713.82	39683.609	37437.074	39449.395	34191.355	35645.777	39105.555	38746.598	38582.098	36281	40270.672	38281.918	38878.695	36162.57	37357.594	40063.402	38939.625
0.5337	38808.691	39107.875	41168.453	37470.254	33279.07	33194.582	36199.812	34133.773	32838.414	37673.637	42170.398	37689.641	40713.93	37826.109	33266.625	40122.324	39374.379	34422.594	38521.172	40828.109	37775.969	40730.773	41044.539	33662.02	38431.371	38838.195	37211.309	37268.402	33391.395	38018.09	40440.027	40976.258	33234.07	37180.656	38823.273	42038.371	40798.043	40115.094	38954.547	38869.309	36326.957	36193.723	36632.074	39105.938	37916.234	38515.176	39208.996	38763.73	36093.551	40082.391	38063.422	40587.145	39381.898	38621.801	38201.5	40842.598	33171.441	34948.547	40600.137	37973.438	38924.941	36135.801	40339.488	38142.004	38447.848	36679.328	37448.895	41043.113	39263.676
0.6671	37625.816	38209.582	40683.102	36906.113	34076.801	33873.336	37737.461	34590.863	31526.373	36435.316	40490.691	37827.254	39558.504	37587.574	33288.363	39969.426	40093.324	34036.637	40870.66	43115.352	37583.309	39549.719	40830.582	34643.324	39168.113	36270.242	37173.281	38751.922	34842.23	37080.938	40897.871	41831.711	35080.125	35694.781	37941.539	41990.402	40626.695	38772.902	39119.457	39849.953	35065.641	36507.137	37092.633	38352.188	38125.887	38518.68	40731.07	39270.023	38894.324	40194.184	40295.645	40828.324	40579.539	38395.719	38010.004	40092.176	33947.215	36010.801	40175.336	37878.637	39228.07	35151.258	39767.32	37031.375	37860.348	36696.848	37043.516	40870.352	41579.277
0.8005	38090.145	39422.938	39923.625	38377.941	34335.254	34337.301	37179.336	35588.41	33815.047	36324.484	43270.922	37826.734	38356.453	38602.797	33197.949	38269.277	38791.629	32764.229	41312.027	43764.195	36703.957	42233.883	43634.848	34400.625	40575.367	38723.762	37349.121	40216.207	35465.613	37822.828	40775.5	43316.711	34566.492	36795.984	38831.41	43399.465	39593.055	38932.777	40619.164	41724.871	36140.219	34443.801	38138.062	39434.914	37462.742	37759.523	43034.809	39382.766	38120.547	39769.387	40800.293	42714.461	41123.266	38570.066	38993.285	41478.492	33387.656	36542.965	40289.969	39723.043	39719.062	36367.184	38812.059	37398.852	36673.598	37034.805	37770.762	38971.102	38373.492
0.934	38848.617	40260.082	42038.254	40596.316	34536.715	36915.082	36175.977	35521.133	33998.672	37682.641	42667.07	39944.312	39968.414	39543.457	33069.062	40488.188	43686.277	32770.168	42404.387	44058.93	36851.453	39468.625	46314.965	36944.93	39269.082	41225.73	36045.801	44250.445	33897.438	38123.391	40479.707	43146.098	34683.879	36847.414	38877.121	43296.469	38707.832	39053.496	40273.582	41866.926	38436.438	34549.68	36949.566	39757.418	38903.746	36969.336	41353.215	38857.496	38378.547	41937.996	41242.762	43299.281	40476.703	39275.055	38864.594	42727.293	32755.516	38296.91	40739.484	38816.242	38076.926	35799.926	38708.5	37598.789	37298.91	38210.273	36372.668	39424.535	38353.133
1.0674	38836.195	39961.27	41785	39770.715	33793.336	37498.859	35619.613	36138.488	34566.617	38393.328	41856.848	41787.039	40390.098	40084.137	34606.227	40928.836	47699.762	32272.191	42309.211	44209.559	38592.117	43318.965	55582.332	39516.109	37255.004	41946.25	37076.266	51682.992	34466.73	38910.301	41989.012	43833.504	37054.129	37012.785	42697.941	45520.996	39785.148	39669.469	40323.102	42323.508	41398.91	34505.512	36770.719	40527.656	38080.137	38245.047	45891.074	40736.863	42136.832	44314.121	41556.301	47089.816	41512.918	38607.883	39269.207	43864.789	35131.938	38533.234	38637.473	40407.809	41662.168	34554.324	37487.273	39820.121	39919.355	39733.871	37354.621	39348.582	40015.883
1.2008	39385.762	39009.012	46086.66	42686.723	36215.449	37730.238	35760.371	37482.879	34060.582	38008.473	45120.941	46600.121	43318.52	42137.008	37480.242	41529.281	58187.824	33883.023	45133.41	47985.586	43687.637	45410.082	76772.797	45163.703	39387.301	45635.695	38757.285	72310.328	35787.566	39404.805	43632.426	45872.281	39811.086	38761.059	46822.418	49026.551	42761.762	43285.527	41985.281	43726.887	51765.57	36472.5	38835.598	45022.984	38473.668	40073.5	56855.559	41790.488	46122.766	51380.664	41384.703	56935.535	47497.617	40140.957	41350.453	47471.312	38235.469	39711.316	39799.281	46494.719	45862.137	36622.004	39923.535	40946.469	39402.184	42894.312	37332.062	41929.809	41529.199
