x	Y_20181208_15693b_8_6g
0	29657.7344
0.1334	28805.7148
0.2668	29083.2949
0.4003	28141.3672
0.5337	29033.0938
0.6671	30280.2715
0.8005	30611.498
0.934	30254.8398
1.0674	30382.1426
1.2008	30009.1699
1.3342	29715.7441
1.4676	29259.125
1.6011	31155.2617
1.7345	31566.2949
1.8679	30590.6309
2.0013	31397.0645
2.1347	30859.5898
2.2682	31039.7168
2.4016	30835.6582
2.535	32287.4785
2.6684	32387.1641
2.8019	33548.0898
2.9353	32852.4453
3.0687	36272.3203
3.2021	42164.3555
3.3355	60732.6367
3.469	90491.6094
3.6024	102577.0391
3.7358	75447.4688
3.8692	48640.0156
4.0027	40116.1289
4.1361	35626.2773
4.2695	34124.207
4.4029	32320.4355
4.5363	NaN
4.6698	NaN
4.8032	NaN
4.9366	NaN
5.07	NaN
5.2035	NaN
