x	Y_20181208_15693b_10_7g
0	12024.4678
0.1334	11645.4922
0.2668	11520.6494
0.4003	12786.5576
0.5337	13465.4648
0.6671	14642.667
0.8005	13880.002
0.934	13412.0479
1.0674	13960.125
1.2008	13296.1543
1.3342	13172.8828
1.4676	13005.2949
1.6011	11980.3516
1.7345	12482.4521
1.8679	12724.0615
2.0013	13413.3887
2.1347	13852.4258
2.2682	13411.0811
2.4016	13647.0986
2.535	12937.8379
2.6684	12524.1279
2.8019	12607.1006
2.9353	12003.4072
3.0687	12719.9023
3.2021	12794.5039
3.3355	11956.375
3.469	11064.4766
3.6024	11359.7471
3.7358	10707.6514
3.8692	10353.6729
4.0027	10341.8789
4.1361	10520.1992
4.2695	NaN
4.4029	NaN
4.5363	NaN
4.6698	NaN
4.8032	NaN
4.9366	NaN
5.07	NaN
5.2035	NaN
