x	Y_20181208_15693b_10_2g	Y_20181208_15693b_10_4g	Y_20181208_15693b_11_11g	Y_20181208_15693b_12_1g	Y_20181208_15693b_13_16g	Y_20181208_15693b_13_19g	Y_20181208_15693b_2_2g	Y_20181208_15693b_2_8g	Y_20181208_15693b_3_3g	Y_20181208_15693b_3_7g	Y_20181208_15693b_4_13g	Y_20181208_15693b_4_3g	Y_20181208_15693b_4_4g	Y_20181208_15693b_4_7g	Y_20181208_15693b_5_21g	Y_20181208_15693b_5_4g	Y_20181208_15693b_7_6g	Y_20181208_15693b_8_16g	Y_20181208_15693b_8_22g	Y_20181208_15693b_8_5g	Y_20181208_15693b_9_13g	Y_20181208_15693b_9_19g	Y_20181208_15693b_9_1g	Y_20181208_15693b_9_8g
0	10665.1211	10714.9824	12906.1504	10262.3164	12407.0439	13367.5713	10010.4922	12509.248	11517.002	12320.5439	11495.4414	10184.417	12051.3984	10377.5674	10208.9551	11571.4141	10446.8555	10315.877	9495.7871	11792.1807	11542.3555	14760.4346	11361.6055	9975.6279
0.1334	10577.6943	12022.9795	13303.3643	10646.2402	13519.1104	13763.9297	11060.5391	12875.5703	11882.3984	12405.7842	11860.7832	11583.3184	13279.9795	10930.542	10599.3887	12829.833	12057.6816	11017.1572	9281.3193	13115.0254	13366.2236	15750.9229	11860.9766	10370.7803
0.2668	12564.9863	15730.2119	14122.3232	11898.376	14690.8643	15002.5547	12452.334	13818.3682	12648.6924	13362.0518	14189.7139	12844.9199	14652.7549	11344.4893	11438.8086	14386.7344	12963.7939	11194.4287	9633.4277	16584.4883	14960.9912	17872.0527	12898.4648	11179.5137
0.4003	15448.7139	19281.9453	15856.5859	13700.6123	15757.6982	16404.6816	14517.6016	15473.916	14981.0938	15326.7158	18157.8145	14680.9307	15159.7549	11606.085	12507.0938	16832.2676	13631.7637	12118.9658	10649.9033	19050.2422	14103.9502	19569.4961	14129.6895	11649.0791
0.5337	17769.4336	19185	17167.1836	15462.5068	16512.2852	18982.2051	15198.8633	15933.748	16867.6426	16598.5508	22333.582	16786.2949	13558.3643	11442.6348	14450.6064	18738.7656	13948.4033	13253.8301	10962.998	18438.8887	13129.3516	18811.1035	14543.6572	13067.998
0.6671	17498.6758	16731.5234	17304.75	15653.7168	15829.752	18393.9512	13279.2676	16393.2676	16923.2227	17196.9375	20247.6172	16582.0879	12807.4131	12387.9834	14653.2949	17140.7949	13543.2529	12697.9648	12408.7266	16530.5938	13834.6816	18443.3516	13001.5078	14124.8682
0.8005	17122.5059	15170.4199	15484.1211	14646.3184	15389.6094	16965.2773	12691.8652	16168.3213	17509.8516	15204.3564	17292.457	19461.1055	11945.0586	14438.3643	14832.1582	16711.6328	14273.6875	11763.375	12835.6943	15035.0537	14281.6025	17199.6035	12276.3428	18527.4004
0.934	15582.4717	14735.7412	13338.7441	14682.5762	14273.3184	15482.4805	13047.9189	16890.6309	17877.9922	14499.2891	15481.9287	18443.877	12483.3789	15281.9258	14718.5859	15544.2314	15553.7842	11751.3057	12568.3086	13611.1357	13457.8389	17969.8691	12576.3623	19391.7656
1.0674	15488.8047	14656.6523	13777.4238	14251.707	13553.7715	15106.5322	13593.666	16577.2754	16295.2646	15953.0508	15517.2061	18624.5215	12924.4102	14592.2607	14253.0342	15453.5342	14937.5879	11506.5107	12527.292	16111.0117	13127.3076	17026.8965	12851.1396	18462.7461
1.2008	15592.9893	14928.373	13470.3574	12910.9805	13243.5732	14741.4092	13345.8926	15862.6416	15370.0273	15805.2715	14904.6299	19654.8418	12110.8613	14565.7422	13942.1572	13766.4395	13728.458	11075.8906	12457.8486	15084.0566	12826.7822	16823.666	13034.0889	17963.8633
